mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219012521,16588.7,6614.63,3780,0.97937,0,0,0.98999,0,0,0,1,0,0,0.05033,0.89875,0.05092
219017895,17156.1,11371.7,3780,0.980291,0,0,0.98994,2.70376e-05,0,0,1,0,0,0.0499101,0.89973,0.0503601
219012521,16588.8,6706.39,3840,0.97869,0,0,0.9897,1.8025e-05,0,0,1,0,0,0.0508301,0.89946,0.0497101
219017895,17144.7,11272.2,3840,0.97966,0,0,0.99023,9.01251e-06,0,0,1,0,0,0.04993,0.89892,0.0511501
219012521,16596.4,6800.16,3900,0.97961,0,0,0.99039,2.70376e-05,0,0,1,0,0,0.0501201,0.900561,0.0493192
219017895,17129.4,11166.9,3900,0.98031,0,0,0.98993,2.70376e-05,0,0,1,0,0,0.0498501,0.89949,0.0506602
219012521,16600.3,6891.2,3960,0.97913,0,0,0.98961,9.01251e-06,0,0,1,0,0,0.05055,0.89926,0.05019
219017895,17111.1,11064,3960,0.98012,0,0,0.98996,0,0,0,1,0,0,0.05093,0.89841,0.05066
219012521,16611.6,6978.77,4020,0.98019,0,0,0.99018,1.8025e-05,0,0,1,0,0,0.0499301,0.89945,0.0506201
219017895,17088.2,10961.1,4020,0.97926,0,0,0.99018,1.8025e-05,0,0,1,0,0,0.0495601,0.90054,0.0499001
219012521,16622.5,7076.71,4080,0.979646,0,0,0.99028,0,0,0,1,0,0,0.0506545,0.89924,0.0501054
219017895,17069.5,10859.6,4080,0.980389,0,0,0.98929,9.0135e-06,0,0,1,0,0,0.0516557,0.897872,0.050472
219012521,16631.4,7167.8,4140,0.979759,0,0,0.99032,9.01379e-06,0,0,1,0,0,0.0504171,0.898476,0.0511064
219017895,17048.6,10758.8,4140,0.980168,0,0,0.99024,1.80279e-05,0,0,1,0,0,0.0490396,0.899055,0.0519055
219012521,16634.3,7261.28,4200,0.979931,0,0,0.99037,9.01294e-06,0,0,1,0,0,0.0501728,0.899886,0.0499415
219017895,17031.7,10651.7,4200,0.980515,0,0,0.98964,9.01497e-06,0,0,1,0,0,0.0502237,0.901585,0.0481909
219012521,16634.5,7355.78,4260,0.980135,0,0,0.99041,9.01631e-06,0,0,1,0,0,0.0485303,0.900951,0.050519
219017895,17012.8,10549.5,4260,0.979715,0,0,0.98998,0,0,0,1,0,0,0.0495869,0.900215,0.0501977
219012521,16645.8,7451.69,4320,0.98023,0,0,0.9897,9.014e-06,0,0,1,0,0,0.049228,0.900955,0.049817
219017895,16981.2,10450.2,4320,0.979613,0,0,0.9898,9.01763e-06,0,0,1,0,0,0.0491677,0.900052,0.0507798
219012521,16646,7542.02,4380,0.980591,0,0,0.9894,9.01356e-06,0,0,1,0,0,0.0503857,0.899551,0.0500631
219017895,16955.8,10347.1,4380,0.979724,0,0,0.99001,9.01687e-06,0,0,1,0,0,0.0496939,0.900653,0.0496535
219012521,16654.3,7634.77,4440,0.979382,0,0,0.98987,1.1527e-05,0,0,1,0,0,0.0494377,0.89913,0.0514326
219017895,16926.7,10249.7,4440,0.980348,0,0,0.98991,3.68659e-05,0,0,1,0,0,0.0490894,0.900286,0.050625
219012521,16668.6,7725.79,4500,0.979058,0,0,0.99012,0,0,0,1,0,0,0.0498418,0.895304,0.0548539
219017895,16901.6,10148.3,4500,0.978889,0,0,0.98978,0,0,0,1,0,0,0.0507536,0.894814,0.0544321
219012521,16688.1,7819.3,4560,0.976678,0,0,0.99014,0,0,0,1,0,0,0.0481031,0.88683,0.0650666
219017895,16874.2,10041.2,4560,0.975741,0,0,0.98965,0,0,0,1,0,0,0.0506282,0.885267,0.0641048
219012521,16702.4,7910.49,4620,0.976689,0,0,0.99026,1.04899e-05,0,0,1,0,0,0.0495335,0.885241,0.0652255
219017895,16851.6,9939.23,4620,0.976237,0,0,0.98981,2.10359e-05,0,0,1,0,0,0.0480937,0.885381,0.0665252
219012521,16724.8,7998.75,4680,0.973298,0,0,0.98982,1.21677e-05,0,0,1,0,0,0.0480379,0.877651,0.0743115
219017895,16818.9,9840.05,4680,0.972912,0,0,0.99053,1.2237e-05,0,0,1,0,0,0.0488172,0.877018,0.0741649
219012521,16747.3,8093.98,4740,0.969411,0,0,0.98993,0,0,0,1,0,0,0.0466528,0.862413,0.0909344
219017895,16795.5,9736.92,4740,0.968781,0,0,0.99029,7.65272e-06,0,0,1,0,0,0.0475963,0.862879,0.0895243
219012521,16758.6,8177.32,4800,0.962119,0,0,0.99028,7.97211e-05,0,0,1,0,0,0.0451764,0.828437,0.126387
219017895,16773,9640.1,4800,0.959558,0,0,0.99023,0,0,0,1,0,0,0.0440203,0.831846,0.124133
219012521,16781,8268.19,4860,0.947303,0,0,0.98976,2.87182e-05,0,0,1,0,0,0.0438589,0.78187,0.174272
219017895,16743.3,9536.14,4860,0.947529,0,0,0.9903,5.94627e-05,0,0,1,0,0,0.0427731,0.788477,0.16875
219012521,16800.7,8356.87,4920,0.923017,0,0,0.9898,4.37517e-05,0,0,1,0,0,0.0386469,0.71143,0.249923
219017895,16722.7,9435.56,4920,0.925113,0,0,0.98977,0,0,0,1,0,0,0.0406181,0.704966,0.254416
219012521,16814.8,8451.52,4980,0.000570344,0,0,0.98958,0.000570344,0,0,1,0,0,0.0497196,0.9016,0.0486806
219017895,16694.3,9336.61,4980,0.926136,0,0,0.98983,0,0,0,1,0,0,0.0393612,0.708351,0.252288
219012521,16837.3,8539.89,5040,0.00129235,0,0,0.98966,0.00130595,0,0,1,0,0,0.0491759,0.899961,0.050863
219017895,16671.8,9236.5,5040,0.87152,0,0,0.9906,9.91337e-05,0,0,1,0,0,0.0289243,0.514032,0.457044
219012521,16848.6,8628.29,5100,0.00105481,0,0,0.98965,0.0010625,0,0,1,0,0,0.0477142,0.901425,0.0508603
219017895,16642,9133.32,5100,0.815364,0,0,0.9898,0.000196821,0,0,1,0,0,0.0145276,0.312978,0.672495
219012521,16871.1,8713.98,5160,0.000340666,0,0,0.99026,0.000350762,0,0,1,0,0,0.0491098,0.901945,0.0489448
219017895,16623.1,9029.1,5160,0.791934,0,0,0.99007,0.000136539,0,0,1,0,0,0.0137399,0.226259,0.760001
