mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
246512000,11132.8,-47638.5,6060,0.98009,0,0,0.99007,9.01251e-06,0,0,1,0,0,0.05039,0.89969,0.04992
305371000,9657.18,-28514.3,6060,0.97978,0,0,0.98991,0,0,0,1,0,0,0.05034,0.89892,0.05074
246512000,11095.6,-47397.4,6120,0.98013,0,0,0.98995,7.9742e-06,0,0,1,0,0,0.0502801,0.89951,0.0502101
305371000,9648.19,-28815.6,6120,0.980206,0,0,0.99021,1.02283e-05,0,0,1,0,0,0.0512851,0.898875,0.0498398
246512000,11060.6,-47165.2,6180,0.9794,0,0,0.99062,0,0,0,1,0,0,0.04907,0.90093,0.05
305371000,9628.09,-29117.7,6180,0.979955,0,0,0.990236,9.73129e-06,0,0,1,0,0,0.0491042,0.901673,0.0492223
246512000,11023.1,-46927.4,6240,0.98017,0,0,0.98994,1.39798e-05,0,0,1,0,0,0.0498403,0.899309,0.0508503
305371000,9627.83,-29418.5,6240,0.979551,0,0,0.830682,0.000202776,0,0,1,0,0,0.00787137,0.153131,0.838997
246512000,10986.9,-46692.4,6300,0.98007,0,0,0.9903,6.12708e-06,0,0,1,0,0,0.0505402,0.89902,0.0504402
305371000,9610.29,-29728.8,6300,0.980494,0,0,0.829844,0.000284767,0,0,1,0,0,0.00903271,0.153098,0.837869
246512000,10949.6,-46455.8,6360,0.9798,0,0,0.99024,5.37078e-06,0,0,1,0,0,0.0516102,0.89975,0.0486402
305371000,9601.66,-30065.8,6360,0.0521066,0,0,0.0547051,0.0547051,0,0,1,0,0,0.0385286,0.922524,0.0389472
246512000,10903.6,-46222.5,6420,0.98009,0,0,0.98992,5.37078e-06,0,0,1,0,0,0.0503302,0.90011,0.0495602
305371000,9581.31,-30322.3,6420,0.0504321,0,0,0.0491068,0.0504321,0,0,1,0,0,0.0746643,0.875565,0.0497709
246512000,10855.1,-45989,6480,0.97963,0,0,0.9905,1.88316e-05,0,0,1,0,0,0.049301,0.899748,0.0509511
305371000,9583.87,-30659.1,6480,0.0559253,0,0,0.0557861,0.0562764,0,0,1,0,0,0.0427739,0.891825,0.0654007
246512000,10819,-45756.9,6540,0.97971,0,0,0.99019,4.70782e-06,0,0,1,0,0,0.0501103,0.899869,0.0500203
305371000,9563.75,-30939.5,6540,0.0446422,0,0,0.0451516,0.0455954,0,0,1,0,0,0.0336212,0.912149,0.0542298
246512000,10784.1,-45524.2,6600,0.97997,0,0,0.99023,4.70782e-06,0,0,1,0,0,0.0494503,0.899789,0.0507603
305371000,9610.33,-31201.9,6600,0.0330981,0,0,0.0333757,0.0340308,0,0,1,0,0,0.0474089,0.908035,0.0445565
246512000,10758,-45287.3,6660,0.97982,0,0,0.98943,9.4157e-06,0,0,1,0,0,0.0504752,0.898814,0.0507105
305371000,9623.74,-31493.3,6660,0.0445051,0,0,0.0454971,0.0457069,0,0,1,0,0,0.0613182,0.886815,0.051867
246512000,10733.1,-45055.1,6720,0.97968,0,0,0.9903,4.70782e-06,0,0,1,0,0,0.0496803,0.901339,0.0489803
305371000,9652.24,-31775.1,6720,0.053434,0,0,0.0538996,0.0545711,0,0,1,0,0,0.0598013,0.900893,0.039306
246512000,10698.3,-44817.1,6780,0.97973,0,0,0.99041,9.4157e-06,0,0,1,0,0,0.0493805,0.899039,0.0515805
305371000,9683.96,-32066,6780,0.0483963,0,0,0.04805,0.0485506,0,0,1,0,0,0.058498,0.898025,0.0434773
246512000,10674.2,-44582.5,6840,0.980085,0,0,0.98971,3.29558e-05,0,0,1,0,0,0.0504119,0.900146,0.0494418
305371000,9712.64,-32365,6840,0.0453315,0,0,0.0462467,0.0469048,0,0,1,0,0,0.0461045,0.91046,0.0434351
