mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258217000,18414.5,9485.33,4.92532,6.4,3720,0.980758,0,0,0.99043,0.00104171,0,0,1,0.99992,1,1,1,0,0.32238,0,0.67762,0,0.0503604,0.900192,0.0494481,0.000122515,1,3.07716e-05,0.956369,0.895465,0.946973,0.606647,0.659689,0,0,-0,-0,-75,-75,6.12,6.12,
258265000,22706.9,13310.2,3.9427,6.6,3720,0.980721,0,0,0.99024,0.00120165,0,0,1,0.99991,1,1,1,0.325418,0,0,0,0.674582,0.0501544,0.901195,0.048651,0.000163349,1,9.20972e-05,0.95744,0.897844,0.422541,0.897844,0.343012,0,0,-0,-0,-135,-135,6.84,6.84,
258217000,18458.8,9291.2,4.92183,6.5,3780,0.980278,0,0,0.98965,0.000787564,0,0,1,0.99993,1,1,1,0,0.2757,0,0.7243,0,0.0499338,0.90137,0.0486966,9.99707e-05,1,0,0.654635,0.896311,0.94573,0.649327,0.701483,0,0,-0,-0,-75,-75,6.84,6.84,
258265000,22546.8,13162.6,3.85718,6.9,3780,0.980648,0,0,0.98996,0.000965938,0,0,1,0.99992,1,1,1,0,0.275054,0,0,0.724946,0.0496234,0.900626,0.0497501,0.000132594,1,0.000122834,0.655094,0.895448,0.0694691,0.648628,0.0497501,0,0,-0,-0,-135,-135,6.84,6.84,
258217000,18502.7,9104.48,4.93056,6.2,3840,0.97981,0,0,0.99058,0.000890416,0,0,1,0.99991,1,1,1,0,0.243031,0,0.756969,0,0.0500733,0.898404,0.0515227,8.22587e-05,1,3.18307e-05,0.653347,0.89591,0.946451,0.678355,0.732088,0,0,-0,-0,-75,-75,6.12,6.12,
258265000,22381.7,13026.2,3.84322,7,3840,0.979889,0,0,0.98988,0.00105082,0,0,1,0.99992,1,1,1,0,0.24334,0,0,0.75666,0.0491017,0.901033,0.0498657,9.16411e-05,1,8.1882e-05,0.653885,0.896799,0.557586,0.677971,0.0498657,0,0,-0,-0,-135,-135,6.84,6.84,
258217000,18546.5,8911.54,4.93405,6.5,3900,0.980286,0,0,0.98979,0.00110724,0,0,1,0.999929,1,1,1,0,0.200875,0,0.799125,0,0.0505341,0.898737,0.0507288,0.00010949,1,0,0.254631,0.894986,0.947091,0.714936,0.769603,0,0,-0,-0,-75,-75,6.84,6.84,
258265000,22215.9,12887.6,3.8502,6.8,3900,0.980403,0,0,0.99005,0.000924527,0,0,1,0.9999,1,1,1,0,0.196504,0,0,0.803496,0.0491284,0.900577,0.0502942,7.19693e-05,1,7.19693e-05,0.254755,0.896244,0.720397,0.71956,0.0502942,0,0,-0,-0,-135,-135,6.84,6.84,
258217000,18591.6,8715.88,4.94975,6.4,3960,0.980445,0,0,0.98998,0.000917105,0,0,1,0.999892,1,1,1,0,0.197919,0,0.802081,0,0.0503542,0.899982,0.0496634,0.00014211,1,9.59779e-06,0.349463,0.895915,0.94665,0.718355,0.771638,0,0,-0,-0,-75,-75,6.84,6.84,
258265000,22068.4,12751.4,3.87463,7,3960,0.979545,0,0,0.98992,0.000919511,0,0,1,0.999907,1,1,1,0,0.195916,0,0,0.804084,0.0496983,0.900411,0.0498904,0.000142864,1,0.000135172,0.343477,0.896563,0.769969,0.720481,0.0498904,0,0,-0,-0,-135,-135,6.84,6.84,
