mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
219762000,985.974,-13808.8,1.19381,2.4,240,0.979711,0,0,0.98996,0.00109158,0,0,1,0.999982,1,1,1,0.109589,0.563758,0.10895,0.106845,0.110858,0.0512229,0.898582,0.0501954,6.98859e-05,0.454609,6.63298e-05,0.998268,0.894109,0.94565,0.797061,0.244403,0,0,-0,-0,65,65,2.52,2.52,
259540000,200.492,-376.823,5.27438,7.2,240,0.979151,0,0,0.99042,0.00103178,0,0,1,0.99994,1,1,1,0.562542,0.10994,0.108939,0.110523,0.108056,0.0512888,0.898997,0.0497138,9.41197e-05,0.452489,3.86782e-05,0.998332,0.89574,0.94675,0.901391,0.654437,0,0,-0,-0,-55,-55,7.56,7.56,
219762000,1025.85,-13745,1.09607,2.5,300,0.980339,0,0,0.98992,0.000782821,0,0,1,0.99991,1,1,1,0.103461,0.58012,0.104924,0.107586,0.103909,0.0495646,0.900728,0.0497079,0.124842,0.476158,0.0960341,0.998333,0.895647,0.947148,0.801045,0.239103,0,0,-0,-0,65,65,2.52,2.52,
259540000,311.888,-562.842,5.13476,6.8,300,0.979826,0,0,0.989151,0.00106542,0.215053,0,0.784947,0.99993,1,1,1,0.568172,0.107993,0.108908,0.109639,0.105288,0.0502699,0.899187,0.0505433,0.0992683,0.460148,0.0412809,0.998266,0.895104,0.946235,0.707279,0.660564,0.215053,0,-0,-0,-60.3985,-65,7.17131,6.84,
219762000,1065.96,-13682.7,1.00007,2.4,360,0.979814,0,0,0.989717,0.00130566,0.272193,0,0.727807,0.99998,1,1,1,0.0925185,0.636159,0.0902736,0.0899666,0.0910827,0.0484254,0.901088,0.0504868,0.00171291,0.546691,0.00139018,0.998524,0.895282,0.947862,0.814061,0.215792,0.272193,0,-0,-0,60.4669,65,2.52,2.52,
259540000,397.789,-756.641,5.18363,7,360,0.980058,0,0,0.990154,0.000844271,0.274534,0,0.725466,0.999969,1,1,1,0.643003,0.0893484,0.0888633,0.0889309,0.0898543,0.05049,0.899398,0.0501118,0.00215421,0.554329,0.000818921,0.99837,0.896963,0.946754,0.65539,0.708641,0.274534,0,-0,-0,-59.4567,-55,7.23912,7.56,
219762000,1103.39,-13619.9,1.03673,2.3,420,0.979199,0,0,0.990267,0.00108153,0.208039,0,0.791961,0.999925,1,1,1,0.0958074,0.603998,0.102772,0.0974769,0.0999453,0.0504887,0.901715,0.0477965,0.247742,0.505449,0.181267,0.998297,0.895795,0.946076,0.803807,0.222404,0.208039,0,-0,-0,60.0545,65,2.52,2.52,
259540000,495.393,-947.16,5.10509,7,420,0.978619,0,0,0.990437,0.00121768,0.203181,0,0.796819,0.999896,1,1,1,0.604174,0.0995991,0.0974263,0.0988496,0.0999508,0.0503563,0.901083,0.0485605,0.247241,0.504971,0.0934258,0.998184,0.896575,0.948593,0.720134,0.681246,0.203181,0,-0,-0,-59.9503,-55,7.20358,7.56,
219762000,1147.74,-13560.1,0.778417,2.5,480,0.980416,0,0,0.979509,0.00205902,0.161971,0,0.838029,1,1,1,1,0.148878,0.410523,0.143925,0.146067,0.150608,0.0474457,0.901564,0.0509899,0.743805,0.263649,0.473263,0.9981,0.896951,0.945606,0.768062,0.316352,0.161971,0,-0,-0,49.1158,45,2.52,2.52,
259540000,583.207,-1140.53,5.15047,6.9,480,0.979637,0,0,0.989565,0.00125803,0.153063,0,0.977801,0.99997,1,1,1,0.591984,0.101413,0.102866,0.0996839,0.104053,0.0454192,0.90519,0.0493911,0.921631,0.488652,0.303041,0.998299,0.897035,0.946838,0.881682,0.677657,0.0221985,0,-0,-0,-61.483,-65,7.09322,6.84,
