mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
219023588,-14146.1,-588.492,5.2517,3.3436,60,0.989563,0,0,0.99044,5.29799e-06,0,0,1,1,0.985591,0.985102,0.985109,0.157178,0.372455,0.157596,0.15537,0.157401,0.0488188,0.899349,0.0518319,0.873419,0.214622,0.555542,0.889615,0.660799,0.908081,0.309529,0.333099,0,0,-0,-0,-55,-55,3.24,3.24,
236112003,-299.464,-147.753,3.60934,5.55552,60,0.990461,0,0,0.99012,1.28112e-05,0,0,1,1,0.986027,0.985965,0.986103,0.385695,0.154319,0.154022,0.152677,0.153287,0.048938,0.901529,0.049533,0.873907,0.232124,0.388659,0.868432,0.661619,0.908042,0.597638,0.535448,0,0,-0,-0,-155,-155,5.4,5.4,
219023588,-14029.8,-764.879,5.26217,3.44648,120,0.990191,0,0,0.98997,3.94615e-06,0,0,1,1,0.98513,0.985635,0.984975,0.12306,0.503326,0.123979,0.124581,0.125054,0.0505154,0.896837,0.0526479,0.868641,0.3797,0.601163,0.907599,0.676557,0.905684,0.253023,0.275755,0,0,-0,-0,-55,-55,3.24,3.24,
236112003,-597.921,-296.249,3.62679,5.50408,120,0.990153,0,0,0.99021,0,0,0,1,1,0.985658,0.985322,0.985937,0.527693,0.116384,0.11902,0.116856,0.120047,0.0501925,0.900616,0.0491913,0.875563,0.408421,0.311001,0.867234,0.6794,0.907649,0.626536,0.6303,0,0,-0,-0,-155,-155,5.4,5.4,
219023588,-13942.3,-933.847,5.2325,3.39504,180,0.989203,0,0,0.9896,3.66251e-05,0,0,1,1,0.985597,0.986503,0.985532,0.122149,0.513742,0.12125,0.121748,0.121111,0.0503459,0.896561,0.0530927,0.550118,0.392179,0.381743,0.892002,0.819924,0.908622,0.300509,0.271738,0,0,-0,-0,-65,-65,3.24,3.24,
236112003,-889.689,-447.65,3.60585,5.45264,180,0.99014,0,0,0.99001,1.61476e-05,0,0,1,1,0.985058,0.985928,0.986091,0.523087,0.118043,0.119654,0.119844,0.119372,0.0497502,0.899727,0.0505224,0.562863,0.405799,0.198444,0.870017,0.824373,0.907841,0.737755,0.629585,0,0,-0,-0,-155,-155,5.4,5.4,
219023588,-13829.3,-1112.09,5.23948,3.39504,240,0.989761,0,0,0.990178,3.12038e-06,0,0.0353536,0.964646,1,0.985435,0.986073,0.984523,0.0884919,0.648055,0.0881812,0.08536,0.0899118,0.0506374,0.897237,0.0521255,0.463206,0.559453,0.352664,0.903568,0.822804,0.908761,0.2176,0.208456,0,0.0353536,-0,-0,-60.5945,-65,3.24,3.24,
236112003,-1183.79,-594.024,3.59712,5.45264,240,0.990298,0,0,0.99004,1.49423e-05,0,0,1,1,0.985685,0.984776,0.985165,0.67755,0.0799215,0.0819829,0.081443,0.0791029,0.0482478,0.901674,0.0500784,0.513325,0.595454,0.112946,0.868151,0.821396,0.9064,0.762847,0.733931,0,0,-0,-0,-155,-155,5.4,5.4,
219023588,-13730.9,-1284.29,5.23599,3.29216,300,0.990075,0,0,0.99008,3.86252e-05,0.00861727,0.0272538,0.991383,1,0.985387,0.984958,0.985626,0.0558167,0.782128,0.0530466,0.0538434,0.0551658,0.0508618,0.895896,0.0532422,0.629915,0.726376,0.503333,0.92084,0.723509,0.907147,0.121063,0.15253,0.00861727,0,-0,-0,-63.3256,-65,3.24,3.24,
236112003,-1477.67,-743.546,3.6041,5.4012,300,0.99012,0,0,0.98992,1.89973e-05,0,0,1,1,0.985314,0.984786,0.986033,0.814061,0.0453056,0.046242,0.0476287,0.046763,0.0481531,0.901283,0.050564,0.689879,0.768011,0.113335,0.866968,0.723432,0.907744,0.699936,0.827436,0,0,-0,-0,-155,-155,5.4,5.4,
