mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
205453000,252.523,-563.322,5.13127,15.7,300,0.980153,0,0,0.98972,0.00103713,0,0,1,0.999921,1,1,1,0.812046,0.0463568,0.0456911,0.048868,0.0470378,0.0406422,0.908507,0.0508508,1,0.764083,0.166234,0.756639,0.0211284,0.94694,0.0619477,0.833531,0,0,-0,-0,-65,-65,15.48,15.48,
218057000,3071.28,-12576.3,1.52716,12.6,300,0.979505,0,0,0.99027,0.00132346,0,0,1,0.999917,1,1,1,0.0578831,0.772684,0.0579579,0.0558872,0.0555882,0.0483652,0.889855,0.0617803,1,0.714643,0.835103,0.915668,0.0203371,0.947336,0.00289252,0.163663,0,0,-0,-0,85,85,12.6,12.6,
205453000,453.527,-1003.84,5.13127,15.6,360,0.979688,0,0,0.98962,0.000837379,0,0,1,0.999871,1,1,1,0.967235,0.00876672,0.00792532,0.00814632,0.00792666,0.0354078,0.913053,0.0515391,1,0.958041,0.0568579,0.561975,0.336302,0.946331,0.340059,0.943098,0,0,-0,-0,-65,-65,15.48,15.48,
218057000,3092.32,-12174.8,1.49924,12.9,360,0.975198,0,0,0.99002,0.00180277,0,0,1,0.999857,1,1,1,0.0137334,0.941323,0.0139882,0.0146268,0.0163285,0.0488837,0.867818,0.0832985,1,0.926286,0.888806,0.922808,0.333107,0.950166,0.01346,0.109368,0,0,-0,-0,85,85,12.6,12.6,
205453000,639.877,-1442.41,5.13476,15.5,420,0.979928,0,0,0.98977,0.000993764,0,0,1,0.999916,1,1,1,0.991566,0.00261836,0.00129675,0.00258535,0.00193328,0.0293487,0.918566,0.0520856,1,0.98868,0.0345032,0.456496,0.199857,0.946152,0.201153,0.965455,0,0,-0,-0,-65,-65,15.48,15.48,
218057000,3113.43,-11782,1.51669,12.9,420,0.975824,0,0,0.98956,0.0023426,0,0,1,0.999769,1,1,1,0.00478397,0.981731,0.0024936,0.00596742,0.0050236,0.0472552,0.851905,0.10084,1,0.975907,0.885953,0.927436,0.201387,0.946424,0.00248893,0.111592,0,0,-0,-0,85,85,12.6,12.6,
205453000,834.179,-1874.1,5.13999,15.5,480,0.980478,0,0,0.99021,0.00117218,0,0,1,0.999784,1,1,1,1,0,0,0,0,0.0243212,0.925199,0.0504799,0.99999,0.999837,0.02428,0.262137,0.262437,0.947426,0.262437,0.975679,0,0,-0,-0,-65,-65,15.48,15.48,
218057000,3134.55,-11381.5,1.50796,13.2,480,0.967268,0,0,0.98937,0.00321041,0,0,1,0.999762,1,1,1,0,1,0,0,0,0.0452592,0.78683,0.167911,1,0.999366,0.828767,0.862742,0.262209,0.950224,0,0.167911,0,0,-0,-0,85,85,13.32,13.32,
205453000,1047.58,-2314.24,5.15221,15.6,540,0.97977,0,0,0.99006,0.000880492,0,0,1,0.999918,1,1,1,1,0,0,0,0,0.00934128,0.939481,0.0511775,1,0.999998,0.00930764,0.123434,0.0685333,0.947336,0.0685333,0.990659,0,0,-0,-0,-65,-65,15.48,15.48,
218057000,3158.45,-10963.1,1.51146,13.1,540,0.973877,0,0,0.98987,0.0058112,0,0,1,0.999634,1,1,1,0,1,0,0,0,0.0349741,0.655908,0.309118,1,0.999972,0.68507,0.71552,0.0747932,0.946006,0,0.309118,0,0,-0,-0,85,85,13.32,13.32,
