mmsi,x,y,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
210445000,10911.8,10303,3720,0.980107,0,0,0.99003,9.01579e-06,0,1,0,0,0,0.049808,0.899113,0.0510795
376317000,6929.23,3726.49,3720,0.97994,0,0,0.98995,0,1,0,0,0,0,0.0493341,0.900406,0.0502599
210445000,10630.7,10196.8,3780,0.979995,0,0,0.9904,1.80343e-05,0,1,0,0,0,0.0495454,0.899699,0.0507554
376317000,6907.25,4034.53,3780,0.980109,0,0,0.99039,9.01282e-06,1,0,0,0,0,0.0504871,0.898241,0.0512718
210445000,10343.2,10087.2,3840,0.97997,0,0,0.99042,0,0,1,0,0,0,0.051739,0.897868,0.0503934
376317000,6891.42,4342.87,3840,0.979954,0,0,0.98987,0,1,0,0,0,0,0.0493142,0.899352,0.0513336
210445000,10056.2,9980.36,3900,0.978933,0,0,0.98985,1.95906e-05,0,1,0,0,0,0.0491209,0.897506,0.0533728
376317000,6874.5,4648.95,3900,0.979408,0,0,0.98976,9.02432e-06,1,0,0,0,0,0.0480695,0.902208,0.0497228
210445000,9837.44,9797.97,3960,0.978106,0,0,0.9904,1.52025e-05,0,1,0,0,0,0.0517166,0.947205,0.00107816
376317000,6852.6,4957.3,3960,0.980209,0,0,0.98974,1.59292e-05,1,0,0,0,0,0.0479471,0.901949,0.0501039
210445000,9644.33,9575.1,4020,0.978417,0,0,0.98982,1.9035e-05,0,1,0,0,0,0.053368,0.945466,0.00116555
376317000,6841.85,5267,4020,0.979634,0,0,0.99026,1.5909e-05,1,0,0,0,0,0.0482632,0.901052,0.050685
210445000,9444.33,9351.81,4080,0.978235,0,0,0.99049,3.80677e-06,0,1,0,0,0,0.0530323,0.945967,0.00100052
376317000,6831.13,5574.98,4080,0.980584,0,0,0.99023,1.5902e-05,1,0,0,0,0,0.0469813,0.902653,0.0503659
210445000,9247.79,9124.05,4140,0.978245,0,0,0.98977,1.52327e-05,0,1,0,0,0,0.0530998,0.945853,0.00104676
376317000,6809.3,5882.86,4140,0.980228,0,0,0.98985,7.93614e-06,1,0,0,0,0,0.0473456,0.902467,0.0501877
