mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
236342000,22.3206,607.232,1.52542,10.6,120,0.978153,0,0,0.99008,0.00116118,0,0,1,0.999889,1,1,1,0,0,1,0,0,0.0502202,0.894797,0.0549826,0.982045,1,0.926633,0.131339,0.843079,0.971703,0.971703,0.0549826,0,0,-0,-0,85,85,10.44,10.44,
257409000,1255.73,8193.04,4.67748,14.8,120,0.979299,0,0,0.98966,0.000954299,0,0,1,0.999937,1,1,1,0,0,1,0,0,0.0500621,0.89763,0.0523083,0.982978,1,0.930488,0.122448,0.844577,0.989253,0.989253,0.0523083,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,33.5193,928.747,1.52542,10.6,180,0.978377,0,0,0.98975,0.00105683,0,0,1,0.999854,1,1,1,0,0,1,0,0,0.0495893,0.893278,0.0571329,0.981959,1,0.924679,0.0484543,0.845012,0.982599,0.982599,0.0571329,0,0,-0,-0,85,85,10.44,10.44,
257409000,1232.56,7742.05,4.68097,14.8,180,0.97921,0,0,0.99015,0.000960846,0,0,1,0.999885,1,1,1,0,0,1,0,0,0.0508732,0.896966,0.0521612,0.982597,1,0.930263,0.0442617,0.843766,0.993305,0.993305,0.0521612,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,49.759,1261.44,1.5132,10.5,240,0.977331,0,0,0.98988,0.00142675,0,0,1,0.999847,1,1,1,0,0,1,0,0,0.0496693,0.892828,0.0575022,0.980925,1,0.92293,0.0145278,0.843621,0.983032,0.983032,0.0575022,0,0,-0,-0,85,85,10.44,10.44,
257409000,1221.01,7284.86,4.68621,14.8,240,0.978679,0,0,0.99035,0.00104056,0,0,1,0.999885,1,1,1,0,0,1,0,0,0.0492875,0.898582,0.0521309,0.98335,1,0.930924,0.0138723,0.842438,0.994769,0.994769,0.0521309,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,55.995,1575.16,1.52716,10.4,300,0.978243,0,0,0.98985,0.000980567,0,0,1,0.999888,1,1,1,0,0,1,0,0,0.050187,0.895355,0.0544577,0.960634,1,0.906872,0.00665504,0.895951,0.986278,0.986278,0.0544577,0,0,-0,-0,85,85,10.44,10.44,
257409000,1208.62,6819.69,4.69494,14.8,300,0.97897,0,0,0.99019,0.00117159,0,0,1,0.999947,1,1,1,0,0,1,0,0,0.0498789,0.897629,0.0524924,0.963514,1,0.911714,0.00671238,0.898152,0.994169,0.994169,0.0524924,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,33.8535,1885.33,1.74533,10,360,0.975944,0,0,0.990111,0.00122232,0,1,0,0.999929,1,1,1,0,0,1,0,0,0.0517548,0.945022,0.00322282,0.959228,1,0.956993,0.00126617,0.895536,0.99652,0.99652,0.00322282,0,1,-0,-0,85,85,10.44,10.44,
257409000,1198.3,6368.66,4.69494,14.8,360,0.97893,0,0,0.99039,0.00113457,0,0,1,0.999944,1,1,1,0,0,1,0,0,0.0508803,0.894729,0.0543909,0.961222,1,0.907675,0.0011405,0.896338,0.994297,0.994297,0.0543909,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,-48.9705,2181.67,1.84656,10,420,0.977017,0,0,0.990129,0.00117967,0,1,0,0.999904,1,1,1,0,0,1,0,0,0.0530664,0.944012,0.00292147,0.958491,1,0.956385,0.000528197,0.898534,0.99674,0.99674,0.00292147,0,1,-0,-0,85,85,10.44,10.44,
257409000,1184.9,5910.03,4.68621,14.8,420,0.978274,0,0,0.99001,0.0010153,0,0,1,0.999959,1,1,1,0,0,1,0,0,0.0498614,0.89455,0.0555887,0.961359,1,0.906843,0.000440828,0.895529,0.99432,0.99432,0.0555887,0,0,-0,-0,-95,-95,14.76,14.76,
236342000,-128.874,2483.44,1.8483,10,480,0.977184,0,0,0.989688,0.00123462,0,1,0,0.999903,1,1,1,0,0,1,0,0,0.0521612,0.944404,0.00343452,0.958588,1,0.956247,8.47314e-05,0.89685,0.996805,0.996805,0.00343452,0,1,-0,-0,85,85,10.44,10.44,
257409000,1173.13,5458.17,4.68621,14.8,480,0.978519,0,0,0.9898,0.00116365,0,0,1,0.99993,1,1,1,0,0,1,0,0,0.0491427,0.895865,0.0549927,0.96135,1,0.907185,6.41211e-05,0.897023,0.993953,0.993953,0.0549927,0,0,-0,-0,-95,-95,14.76,14.76,
