mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
211200040,4869.34,14003.1,4.71064,3.70368,60,0.98788,0,0,0.98967,1.28285e-05,0,0,1,1,0.985949,0.985079,0.984083,0,0,1,0,0,0.0490899,0.884503,0.0664067,0.589865,1,0.519426,0.828427,0.724515,0.90726,0,0.0664067,0,0,-0,-0,-95,-95,3.96,3.96,
259351000,6453.19,6003.22,1.63014,3.0864,60,0.987789,0,0,0.9897,1.28212e-05,0,0,1,1,0.985268,0.986186,0.985665,0,0,1,0,0,0.0479036,0.885262,0.066834,0.589099,1,0.519978,0.826471,0.726223,0.71841,0,0.066834,0,0,-0,-0,95,95,3.24,3.24,
211200040,4880.37,13777.1,4.93579,3.858,120,0.98706,0,0,0.928232,0,0,0.0633422,0.936658,1,0.985555,0.985012,0.987802,0,0,1,0,0,0.0479336,0.889184,0.0628827,0.999901,1,0.89831,0.785628,0.273692,0.0286109,0.0286109,0.0628827,0,0.0633422,-0,-0,-95,-95,3.96,3.96,
259351000,6442.35,6197.6,1.63537,3.24072,120,0.987929,0,0,0.99069,2.94715e-05,0,0,1,1,0.984423,0.985606,0.985382,0,0,1,0,0,0.0477753,0.871232,0.0809922,0.999984,1,0.878242,0.965412,0.272401,0.701082,0,0.0809922,0,0,-0,-0,95,95,3.24,3.24,
211200040,4895.66,13557.9,5.03702,3.29216,180,0.986205,0,0,0.689734,0.0010679,0,0.302625,0.742344,1,0.983554,0.986658,0.979166,0,0,1,0,0,0.060971,0.88976,0.0492694,1,1,0.901956,0.86012,0.0117808,0.739374,0.739374,0.0492694,0,0.257656,-0,-0,-95,-95,3.96,3.96,
259351000,6427.84,6390.15,1.63014,3.18928,180,0.989717,0,0,0.98998,2.76677e-05,0,0,1,1,0.98512,0.984697,0.98536,0,0,1,0,0,0.0482589,0.870218,0.0815234,1,1,0.878039,0.969411,0.00835013,0.714153,0,0.0815234,0,0,-0,-0,95,95,3.24,3.24,
211200040,4924.11,13342.1,4.85027,3.54936,240,0.98542,0,0,0.698289,0.000519107,0,0.292892,0.962442,1,0.988593,0.98451,0.990041,0,0,1,0,0,0.0597242,0.878834,0.0614417,1,1,0.901749,0.747585,0.573184,0.53429,0,0.0614417,0,0.0375582,-0,-0,-95,-95,3.96,3.96,
259351000,6420.68,6576.95,1.60745,3.0864,240,0.989845,0,0,0.99042,3.91356e-05,0,0,1,1,0.985353,0.985143,0.985601,0,0,1,0,0,0.0484613,0.863646,0.0878926,1,1,0.872666,0.960092,0.572813,0.743497,0,0.0878926,0,0,-0,-0,95,95,3.24,3.24,
211200040,4967.58,13149.5,4.90612,3.24072,300,0.964101,0,0,0.636239,0.0132841,0,0.372125,0.973179,1,0.975452,0.989209,0.975382,0,0,1,0,0,0.0235875,0.886993,0.0894197,1,1,0.847252,0.931895,0.473678,0.0363578,0,0.0894197,0,0.0268211,-0,-0,-95,-95,3.96,3.96,
259351000,6409.86,6767.36,1.62316,3.03496,300,0.990055,0,0,0.98998,0,0,0,1,1,0.985623,0.984459,0.98438,0,0,1,0,0,0.0465692,0.863959,0.0894714,1,1,0.869287,0.959972,0.445651,0.717448,0,0.0894714,0,0,-0,-0,95,95,3.24,3.24,
