mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
234629000,4864.35,-11815.4,2.25846,10.1,-780,0.980253,0,0,0.98947,0.00105129,0,0,1,0.99997,1,1,1,1,0,0,0,0,0.0406306,0.908901,0.0504687,0.99999,0.999763,0.0406109,0.678913,0.40426,0.946702,0.40426,0.959369,0,0,-0,-0,125,125,10.44,10.44,
244870420,2464.11,-6253.92,4.6897,9.7,-780,0.976019,0,0,0.9903,0.0015299,0,0,1,0.999956,1,1,1,0,1,0,0,0,0.048782,0.877873,0.0733447,1,0.999721,0.925145,0.971157,0.403082,0.947918,0,0.0733447,0,0,-0,-0,-95,-95,9.72,9.72,
234629000,4661.64,-11582,2.29336,10.1,-720,0.979227,0,0,0.98987,0.000823333,0,0,1,0.999938,1,1,1,1,0,0,0,0,0.0249226,0.923164,0.0519136,1,0.999954,0.0248606,0.449397,0.0677123,0.948041,0.0677123,0.975077,0,0,-0,-0,135,135,10.44,10.44,
244870420,2455.55,-6549.49,4.70366,9.7,-720,0.979281,0,0,0.98909,0.00195174,0,0,1,0.999893,1,1,1,0,1,0,0,0,0.0464053,0.847179,0.106415,1,0.999918,0.891601,0.938935,0.0593359,0.948748,0,0.106415,0,0,-0,-0,-95,-95,9.72,9.72,
234629000,4460.81,-11342,2.30383,9.9,-660,0.980565,0,0,0.98977,0.000992637,0,0,1,0.999969,1,1,1,1,0,0,0,0,0.0173286,0.931151,0.0515203,1,0.999988,0.0172545,0.234308,0.137762,0.946824,0.137762,0.982671,0,0,-0,-0,135,135,9.72,9.72,
244870420,2456.06,-6855.99,4.69319,9.7,-660,0.972994,0,0,0.98976,0.003883,0,0,1,0.999852,1,1,1,0,1,0,0,0,0.0434952,0.772089,0.184416,1,0.99998,0.81183,0.849438,0.126456,0.949852,0,0.184416,0,0,-0,-0,-95,-95,9.72,9.72,
234629000,4259.68,-11107,2.26893,9.8,-600,0.980317,0,0,0.98984,0.00103958,0,0,1,0.999949,1,1,1,1,0,0,0,0,0.0199708,0.927773,0.0522563,1,0.999994,0.0199387,0.0940783,0.341461,0.946214,0.341461,0.980029,0,0,-0,-0,135,135,9.72,9.72,
244870420,2451.89,-7147.76,4.69319,9.7,-600,0.943889,0,0,0.99002,0.00728102,0,0,1,0.999786,1,1,1,0,1,0,0,0,0.0340236,0.612882,0.353094,1,1,0.639622,0.635389,0.353174,0.946674,0,0.353094,0,0,-0,-0,-95,-95,9.72,9.72,
234629000,4069.72,-10879.6,2.25846,10,-540,0.972,0,0,0.990239,0.00220824,0.00991158,0,0.990088,0.999979,1,1,1,1,0,0,0,0,0.0180081,0.928989,0.0530029,1,1,0.0178278,0.0268038,0.416341,0.881176,0.407058,0.981992,0.00991158,0,-0,-0,135,135,9.72,9.72,
244870420,2445.99,-7452.67,4.68795,9.8,-540,0.907113,0,0,0.99091,0.0112657,0,0,1,0.999459,1,1,1,0,1,0,0,0,0.0186137,0.375814,0.605572,1,1,0.383102,0.324233,0.450684,0.947861,0,0.605572,0,0,-0,-0,-95,-95,9.72,9.72,
234629000,3866.49,-10639.7,2.25846,9.9,-480,0.97243,0,0,0.991071,0.00401252,0.0106198,0,0.998058,1,1,1,1,1,0,0,0,0,0.000473111,0.947272,0.0522548,1,1,0.000289337,0.00574431,0,0.815264,0,0.999527,0.00194196,0,-0,-0,135,135,9.72,9.72,
244870420,2463.24,-7744.27,5.00909,9.6,-480,0.790155,0,0,0.988453,0.0259815,0,1,0,0.996794,1,1,1,0,1,0,0,0,0.0499526,0.948358,0.00168961,1,1,0.971027,0.169724,0,0.548128,0,0.00168961,0,1,-0,-0,-95,-95,9.72,9.72,
234629000,3681.57,-10411.8,2.28464,10,-420,0.971233,0,0,0.990819,0.00388075,0.0117875,0,1,0.999915,1,1,1,1,0,0,0,0,0.000361408,0.947917,0.0517219,1,1,0.000117057,0.000364579,0.647284,0.830624,0.647284,0.999639,0,0,-0,-0,135,135,9.72,9.72,
244870420,2624.02,-8003.24,5.28486,10,-420,0.797484,0,0,0.987043,0.0318697,0,1,0,0.999561,1,1,1,0,1,0,0,0,0.0528676,0.946029,0.00110347,1,1,0.967691,0.00782909,0.721853,0.437431,0.721853,0.00110347,0,1,-0,-0,-95,-95,9.72,9.72,
234629000,3465.99,-10166.1,2.30209,10.5,-360,0.973813,0,0,0.989926,0.00430849,0.0105843,0,1,1,1,1,1,1,0,0,0,0,0.000310601,0.945854,0.0538356,1,1,7.5695e-05,0,0.682966,0.832634,0.682966,0.999689,0,0,-0,-0,135,135,9.72,9.72,
244870420,2796.85,-8270.85,5.27438,10.1,-360,0.74245,0,0,0.990923,0.0412263,0,1,0,0.99787,1,1,1,0,1,0,0,0,0.0507974,0.947458,0.00174432,1,1,0.956644,0.00205982,0.988032,0.49432,0.988032,0.00174432,0,1,-0,-0,-95,-95,9.72,9.72,
234629000,3245.77,-9929.35,2.27416,10.6,-300,0.971937,0,0,0.98993,0.00422213,0.01168,0,1,0.999956,1,1,1,1,0,0,0,0,0.000413754,0.944634,0.0549525,1,1,0.000192854,0,0.685511,0.769373,0.685511,0.999586,0,0,-0,-0,135,135,9.72,9.72,
244870420,2973.82,-8532.18,5.29533,10.3,-300,0.732875,0,0,0.99342,0.0417644,0,1,0,0.997902,1,1,1,0,1,0,0,0,0.0477795,0.950913,0.00130712,1,1,0.956138,0,0.985676,0.624679,0.985676,0.00130712,0,1,-0,-0,-95,-95,9.72,9.72,
234629000,3036.57,-9686.54,2.29685,10.4,-240,0.973487,0,0,0.99116,0.00455836,0.011301,0,1,0.999956,1,1,1,1,0,0,0,0,0.000534591,0.947885,0.0515803,1,1,0.000353782,0,0.685507,0.768246,0.685507,0.999465,0,0,-0,-0,135,135,9.72,9.72,
244870420,3150.37,-8801.1,5.28835,10.4,-240,0.73344,0,0,0.991396,0.0382134,0,1,0,0.997918,1,1,1,0,1,0,0,0,0.0562985,0.941975,0.00172663,1,1,0.959705,0,0.988989,0.702605,0.988989,0.00172663,0,1,-0,-0,-95,-95,9.72,9.72,
234629000,2856.4,-9468.08,2.19562,6.5,-180,0.374529,0,0,0.983915,0.380204,0.346206,0,0,0.9988,1,1,1,1,0,0,0,0,0.0200939,0.927806,0.0520998,1,1,0.00286806,0,0.885748,0.730386,0.736878,0.979906,0.207443,0,-1,-0,135,135,9.72,9.72,
