mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
210445000,10672.8,4060.2,4.93928,6.7,240,0.989838,0,0,0.99022,0.000183945,0,0,1,1,0,0.987045,0,0.0116935,0.944465,0.0144847,0.0145883,0.0147688,0.0496716,0.899655,0.0506729,0.000117866,0.931487,0,0.979092,0.999936,1,0.0410505,0.073527,0,0,-0,-0,-75,-75,6.84,6.84,
219829000,16449,4941.75,4.34238,4.8,240,0.989533,0,0,0.99012,0.000114415,0,0,1,1,0,0.987026,0,0.944503,0.0161521,0.0124085,0.0142125,0.012724,0.0504745,0.898609,0.0509169,0.000128383,0.931581,0,0.979203,0.999968,1,0.999968,0.912098,0,0,-0,-0,-115,-115,4.68,4.68,
210445000,10720.8,3857.38,4.94975,6.8,300,0.989906,0,0,0.99003,9.40307e-05,0,0,1,1,0,0.987108,0,0.0137872,0.945462,0.0153316,0.0124007,0.0130181,0.0508425,0.899979,0.0491781,0.000141237,0.93247,0,0.978434,0.999979,1,0.039206,0.0727359,0,0,-0,-0,-75,-75,6.84,6.84,
219829000,16401.6,4804.11,4.34762,4.8,300,0.989972,0,0,0.99001,0.000122542,0,0,1,1,0,0.985713,0,0.9433,0.0161284,0.013794,0.0126857,0.0140917,0.049798,0.89873,0.0514718,0.000119822,0.930325,0,0.978588,0.999979,1,0.999979,0.911694,0,0,-0,-0,-115,-115,4.68,4.68,
210445000,10769.9,3650.8,4.98292,6.8,360,0.990025,0,0,0.99,7.89272e-05,0,0,1,1,0,0.986717,0,0.00502058,0.978591,0.0059989,0.00502604,0.00536363,0.0490663,0.899388,0.0515453,6.25282e-05,0.972687,0,0.979109,0.999979,1,0.0154103,0.0600338,0,0,-0,-0,-75,-75,6.84,6.84,
219829000,16356.7,4665.92,4.3703,4.7,360,0.990174,0,0,0.99005,0.000139311,0,0,1,0.99999,0,0.986646,0,0.972717,0.00813843,0.0040735,0.00690055,0.00817018,0.0503833,0.898379,0.0512373,9.32058e-05,0.966907,0,0.978504,0.999959,1,0.999959,0.931116,0,0,-0,-0,-105,-105,4.68,4.68,
210445000,10863.7,3483.05,5.49255,6,420,0.988842,0,0,0.682135,0.00525404,0,0.315823,0.684177,1,0,0.987235,0,0.104913,0.459252,0.135001,0.154195,0.146639,0.0415556,0.937417,0.0210276,0.998622,0.315823,0,0.982846,0.51304,1,0.205124,0.260202,0,0.315823,-0,-0,-54.4747,-45,6.34739,6.12,
219829000,16311.9,4527.74,4.39299,4.7,420,0.990271,0,0,0.99029,0.000112903,0,0,1,1,0,0.986754,0,0.980596,0.00532054,0.00557694,0.00456235,0.0039441,0.0493962,0.901257,0.049347,0.99258,0.976156,0,0.980097,0.541451,1,0.54132,0.937927,0,0,-0,-0,-105,-105,4.68,4.68,
210445000,11038.2,3477.52,0.122173,6,480,0.990099,0,0,0.677772,0.00398305,0,0.678235,0.321765,1,0,0.988049,0,0.0427313,0.751263,0.0705328,0.073573,0.0618999,0.0547646,0.934739,0.0104962,0.6766,0.678235,0,0.29427,1,1,0.929467,0.11625,0,0.678235,-0,-0,-38.42,-45,6.3482,6.12,
219829000,16267,4389.61,4.41568,4.6,480,0.989735,0,0,0.98992,8.81324e-05,0,0,1,1,0,0.985985,0,0.990421,0.0011974,0.00331897,0.00279025,0.00227259,0.049953,0.900788,0.0492591,0.981026,0.988249,0,0.296762,0.999979,1,0.999979,0.94401,0,0,-0,-0,-105,-105,4.68,4.68,
210445000,11253.1,3497.84,0,7.4,540,0.988495,0,0,0.693682,0.0025292,0,0.659859,0.243175,1,0,0.981941,0,0.0164841,0.928771,0.0367999,0,0.0179453,0.0498256,0.933646,0.0165279,0.757804,0.906809,0,0.0846594,1,1,0.9632,0.033012,0,0.659859,-0,-0.253379,-37.0485,-45,6.47153,6.12,
