mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
219339000,-3072.31,-13878.6,1.34216,3.3436,120,0.990029,0,0,0.99014,0,0,0,1,1,0.98528,0.984591,0.985321,0.157952,0.219614,0.304131,0.159277,0.159026,0.0509387,0.897201,0.0518599,0.546959,0.203851,0.341753,0.721695,0.735248,0.0628652,0.34983,0.336571,0,0,-0,-0,75,75,3.24,3.24,
220628000,-189.303,-505.936,4.34587,6.01848,120,0.989952,0,0,0.98977,9.33495e-06,0,0,1,1,0.985547,0.985849,0.98543,0.161464,0.219262,0.302925,0.156952,0.159398,0.0497584,0.898871,0.0513702,0.544673,0.202777,0.339941,0.720616,0.732226,0.906084,0.349731,0.337992,0,0,-0,-0,-115,-115,6.12,6.12,
219339000,-3027.44,-13678.6,1.32994,3.3436,180,0.989416,0,0,0.99052,0,0,0,1,1,0.985245,0.985506,0.985307,0.126389,0.201792,0.41348,0.128018,0.13032,0.0509582,0.89611,0.0529315,0.533956,0.358392,0.357894,0.73807,0.822083,0.29819,0.316717,0.281534,0,0,-0,-0,75,75,3.24,3.24,
220628000,-324.899,-844.168,4.34936,6.01848,180,0.989305,0,0,0.99035,1.71958e-05,0,0,1,1,0.985232,0.985386,0.985825,0.12614,0.19974,0.417643,0.126923,0.129554,0.050238,0.895473,0.0542888,0.534372,0.361045,0.36047,0.733662,0.822767,0.907385,0.31427,0.282355,0,0,-0,-0,-115,-115,6.12,6.12,
219339000,-2984.54,-13485.1,1.33867,3.3436,240,0.989299,0,0,0.98976,1.71884e-05,0,0,1,1,0.986016,0.98584,0.985755,0.0944953,0.176596,0.539414,0.0950056,0.0944894,0.0499106,0.892268,0.0578213,0.759952,0.524007,0.554282,0.792093,0.69719,0.233605,0.198129,0.229147,0,0,-0,-0,75,75,3.24,3.24,
220628000,-445.322,-1178.61,4.36681,6.01848,240,0.989411,0,0,0.98994,1.32007e-05,0,0,1,1,0.985275,0.985763,0.985636,0.0945254,0.174755,0.543485,0.0930585,0.0941759,0.0508486,0.891079,0.0580725,0.757171,0.528192,0.552164,0.793171,0.692504,0.907865,0.196863,0.227272,0,0,-0,-0,-105,-105,6.12,6.12,
219339000,-2939.65,-13285.2,1.33867,3.3436,300,0.988553,0,0,0.9896,0,0,0,1,1,0.984829,0.985873,0.985239,0.0279797,0.17006,0.742913,0.0297814,0.0292652,0.0477148,0.888452,0.063833,0.767162,0.854919,0.642651,0.869963,0.712123,0.23374,0.0614442,0.116319,0,0,-0,-0,75,75,3.24,3.24,
220628000,-569.722,-1522.83,4.35983,6.01848,300,0.986537,0,0,0.990273,6.10196e-05,0.0294122,0,0.970588,1,0.986838,0.986142,0.984827,0.0293314,0.170158,0.738719,0.0294212,0.0323708,0.0493028,0.887243,0.0634544,0.738851,0.84554,0.621754,0.856825,0.712693,0.904689,0.0644953,0.115901,0.0294122,0,-0,-0,-106.545,-105,6.12,6.12,
219339000,-2896.74,-13091.7,1.32994,3.3436,360,0.987724,0,0,0.98986,0,0,0,1,1,0.985504,0.985741,0.984808,0.0117889,0.171077,0.794511,0.0119312,0.0106919,0.048976,0.884464,0.0665595,0.738694,0.940639,0.643392,0.878771,0.734993,0.404036,0.0256902,0.0884432,0,0,-0,-0,75,75,3.24,3.24,
220628000,-701.225,-1857.32,4.34936,6.06992,360,0.98512,0,0,0.989331,7.53011e-06,0.0611918,0,0.966816,1,0.986271,0.985964,0.986207,0.0119081,0.166623,0.794498,0.0125079,0.0144631,0.0495428,0.883016,0.067441,0.694821,0.933306,0.605502,0.860196,0.734,0.909026,0.0297039,0.0888225,0.0331845,0,-0,-0,-106.459,-105,6.12,6.12,
219339000,-2841.7,-12891.7,1.33867,3.3436,420,0.987247,0,0,0.98968,1.29622e-05,0,0,1,1,0.985349,0.986514,0.986913,0.00442551,0.165596,0.821257,0.00468406,0.00403726,0.048068,0.881784,0.0701478,0.738617,0.978854,0.647801,0.874976,0.713222,0.355161,0.0091573,0.0783319,0,0,-0,-0,75,75,3.24,3.24,
220628000,-825.567,-2201.59,4.35809,6.01848,420,0.986266,0,0,0.990361,0,0.0665111,0,0.964523,1,0.984976,0.985096,0.985383,0.00577824,0.167884,0.817046,0.00473225,0.00455916,0.0497305,0.882885,0.0673849,0.690919,0.976115,0.603926,0.855835,0.714125,0.905293,0.0107431,0.077185,0.0354772,0,-0,-0,-106.418,-105,6.12,6.12,
219339000,-2797.76,-12698.3,1.34739,3.3436,480,0.987246,0,0,0.98935,2.5468e-05,0,0,1,1,0.98574,0.98635,0.984751,0.00130489,0.171406,0.824414,0.00159176,0.00128343,0.0478828,0.877515,0.0746021,0.728396,0.99384,0.638225,0.858311,0.736583,0.350821,0.00333184,0.0770826,0,0,-0,-0,75,75,3.24,3.24,
220628000,-957.018,-2530.16,4.34238,6.06992,480,0.983985,0,0,0.990144,1.36497e-05,0.103282,0,0.96117,1,0.985073,0.986062,0.984751,0.00134388,0.165991,0.830881,0.000673801,0.00110997,0.0488503,0.882,0.0691494,0.653111,0.993598,0.574462,0.833335,0.736303,0.908173,0.00219927,0.0710328,0.0388299,0,-0,-0,-106.458,-105,6.12,6.12,
219339000,-2753.83,-12498.3,1.35088,3.3436,540,0.986712,0,0,0.98986,5.8274e-05,0,0,1,1,0.985152,0.98547,0.985707,0.000251251,0.169835,0.829246,0.00055245,0.000115135,0.0492736,0.874796,0.0759307,0.7159,0.998515,0.624988,0.839716,0.72941,0.354325,0.000667782,0.0767344,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1092.66,-2880.31,4.35285,6.12136,540,0.982243,0,0,0.990036,2.14676e-05,0.144637,0,0.956941,1,0.985666,0.984831,0.985771,0.000312251,0.174234,0.824399,0.000773887,0.000280494,0.0489016,0.878104,0.072994,0.612159,0.998012,0.534411,0.79431,0.725675,0.908012,0.00091245,0.073899,0.0430595,0,-0,-0,-106.544,-105,6.12,6.12,
219339000,-2709,-12302,1.34216,3.3436,600,0.985923,0,0,0.99031,1.15203e-05,0,0,1,1,0.985495,0.985815,0.984866,0.000143416,0.16934,0.830517,0,0,0.0482256,0.869628,0.0821463,0.692018,0.999784,0.597917,0.802513,0.724474,0.485836,0.000143416,0.0822326,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1214.69,-3214.46,4.35285,6.12136,600,0.98257,0,0,0.989766,2.56517e-05,0.153916,0,0.955865,1,0.985013,0.985129,0.986288,0.000323265,0.169727,0.829949,0,0,0.0507086,0.870859,0.0784323,0.586664,0.999446,0.506638,0.746377,0.724888,0.906202,0.000323265,0.0785975,0.0441349,0,-0,-0,-106.551,-105,6.12,6.12,
219339000,-2677.06,-12108.3,1.35088,3.39504,660,0.983526,0,0,0.98971,6.30698e-05,0,0,1,1,0.98508,0.986097,0.984856,0,0.16649,0.83351,0,0,0.0471431,0.85288,0.0999767,0.658474,1,0.55056,0.72014,0.717631,0.446496,0,0.0999767,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1350.05,-3565.32,4.3546,6.12136,660,0.97781,0,0,0.989859,1.4783e-05,0.216995,0,0.945103,1,0.984673,0.985921,0.986137,0,0.174728,0.825051,0.000220791,0,0.0468573,0.861356,0.0917864,0.518952,0.999755,0.43274,0.638469,0.711444,0.905184,0.000220791,0.0920072,0.0548967,0,-0,-0,-106.607,-105,6.12,6.12,
219339000,-2632.11,-11908.3,1.35961,3.3436,720,0.983149,0,0,0.9897,3.07315e-05,0,0,1,1,0.986302,0.985577,0.985401,0,0.16623,0.83377,0,0,0.045532,0.849198,0.10527,0.655852,1,0.544652,0.714148,0.715138,0.442846,0,0.10527,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1481.38,-3905.35,4.3546,6.12136,720,0.976426,0,0,0.990521,2.966e-05,0.264366,0,0.940045,1,0.986452,0.985734,0.984312,0,0.175747,0.824253,0,0,0.0474813,0.860288,0.0922304,0.496394,1,0.411027,0.621057,0.713975,0.904168,0,0.0922304,0.0599552,0,-0,-0,-106.636,-105,6.12,6.12,
219339000,-2589.13,-11715,1.36485,3.3436,780,0.979976,0,0,0.98993,5.28474e-05,0,0,1,1,0.985421,0.985489,0.985986,0,0.169492,0.830508,0,0,0.0446731,0.830917,0.12441,0.58835,1,0.463532,0.594538,0.718208,0.452988,0,0.12441,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1616.67,-4261.13,4.35111,6.1728,780,0.974493,0,0,0.989802,3.46106e-05,0.300352,0,0.931865,1,0.985798,0.98597,0.985812,0,0.1726,0.8274,0,0,0.0488299,0.844338,0.106832,0.426186,1,0.336551,0.491889,0.712701,0.905194,0,0.106832,0.068135,0,-0,-0,-106.581,-105,6.12,6.12,
219339000,-2544.17,-11509.1,1.34914,3.3436,840,0.97834,0,0,0.99005,0,0,0,1,1,0.984716,0.986672,0.986385,0,0.167744,0.832256,0,0,0.0462977,0.813019,0.140683,0.533353,1,0.398916,0.511951,0.730367,0.553903,0,0.140683,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1747.83,-4605.8,4.34587,6.1728,840,0.97053,0,0,0.989876,3.10285e-05,0.366459,0,0.924555,1,0.986177,0.986202,0.986548,0,0.16951,0.83049,0,0,0.0469594,0.845237,0.107804,0.354506,1,0.266975,0.392598,0.731812,0.909581,0,0.107804,0.0754451,0,-0,-0,-106.589,-105,6.12,6.12,
219339000,-2488.91,-11318,1.2898,3.39504,900,0.97623,0,0,0.98955,0,0,0,1,1,0.98489,0.985676,0.98456,0,0.163894,0.836106,0,0,0.0465918,0.794831,0.158577,0.482167,1,0.334828,0.423035,0.827861,0.735259,0,0.158577,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1869.93,-4947.86,4.35111,6.1728,900,0.968287,0,0,0.990042,4.1906e-05,0.437061,0,0.918177,1,0.98414,0.985161,0.98302,0,0.173476,0.826524,0,0,0.0477544,0.840517,0.111728,0.284323,1,0.19869,0.293414,0.825506,0.909252,0,0.111728,0.0818227,0,-0,-0,-106.564,-105,6.12,6.12,
219339000,-2432.88,-11119.5,1.29154,3.39504,960,0.974445,0,0,0.99006,0,0,0,1,1,0.98548,0.985286,0.986997,0,0.170696,0.829304,0,0,0.0459623,0.778031,0.176007,0.413556,1,0.25667,0.318899,0.738247,0.727983,0,0.176007,0,0,-0,-0,75,75,3.24,3.24,
220628000,-1995.7,-5278.98,4.36332,6.1728,960,0.967965,0,0,0.99031,4.50189e-05,0.457049,0,0.912572,1,0.986323,0.985234,0.986324,0,0.171673,0.828327,0,0,0.0473228,0.833043,0.119634,0.242178,1,0.154836,0.22061,0.744698,0.906591,0,0.119634,0.0874279,0,-0,-0,-106.49,-105,6.12,6.12,
219339000,-2378.71,-10930.9,1.29329,3.39504,1020,0.972676,0,0,0.98943,0,0,0,1,1,0.985343,0.985062,0.98488,0,0.167858,0.832142,0,0,0.0447284,0.764078,0.191193,0.358575,1,0.190727,0.229173,0.827481,0.741113,0,0.191193,0,0,-0,-0,75,75,3.24,3.24,
220628000,-2136.31,-5644.39,4.35809,6.1728,1020,0.966766,0,0,0.990283,4.59319e-05,0.518614,0,0.910136,1,0.986628,0.985053,0.987194,0,0.174794,0.825206,0,0,0.0461057,0.832219,0.121675,0.191973,1,0.10757,0.142892,0.827002,0.909387,0,0.121675,0.0898637,0,-0,-0,-106.505,-105,6.12,6.12,
219339000,-2324,-10732.8,1.29154,3.39504,1080,0.97091,0,0,0.99041,6.72118e-06,0,0,1,1,0.98463,0.98867,0.984985,0,0.171961,0.828039,0,0,0.0418828,0.748151,0.209966,0.312439,1,0.129932,0.14578,0.821245,0.739623,0,0.209966,0,0,-0,-0,75,75,3.24,3.24,
220628000,-2256.44,-5985.02,4.34762,6.1728,1080,0.962707,0,0,0.990261,4.98602e-05,0.575087,0,0.906128,1,0.983459,0.984484,0.985615,0,0.172852,0.827148,0,0,0.0433036,0.838181,0.118515,0.143729,1,0.0660234,0.0765277,0.832909,0.908687,0,0.118515,0.0938718,0,-0,-0,-106.418,-105,6.12,6.12,
219339000,-2268.5,-10537.8,1.28282,3.3436,1140,0.96778,0,0,0.98957,0,0,0,1,1,0.986787,0.983822,0.986144,0,0.170106,0.829894,0,0,0.040881,0.73211,0.227009,0.253962,1,0.0617762,0.052175,0.837135,0.782053,0,0.227009,0,0,-0,-0,75,75,3.24,3.24,
