mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258096730,14710.4,-2296.04,2.06647,6.9,180,0.980107,0,0,0.99014,0.000878799,0,0,1,0.999901,1,1,1,0.194597,0.227494,0.19244,0.191682,0.193786,0.0495093,0.900066,0.0504244,7.96593e-05,0.0332213,4.86974e-05,0.996254,0.896223,0.94722,0.519289,0.397645,0,0,-0,-0,115,115,6.84,6.84,
710428000,141.802,385.987,1.20777,4.3,180,0.979698,0,0,0.99002,0.000996272,0,0,1,0.9999,1,1,1,0.225856,0.193952,0.194127,0.192411,0.193654,0.0489747,0.901839,0.0491863,0.000141738,0.0353548,7.2319e-05,0.996014,0.895065,0.946381,0.90498,0.42612,0,0,-0,-0,65,65,3.96,3.96,
258096730,14607.1,-2086.88,2.13105,7.2,240,0.979211,0,0,0.99044,0.00103642,0,0,1,0.999907,1,1,1,0.193898,0.225773,0.19265,0.193423,0.194255,0.0497367,0.899987,0.050276,0.000151893,0.0328555,0.000100294,0.995726,0.896565,0.946128,0.52204,0.399342,0,0,-0,-0,125,125,7.56,7.56,
710428000,187.591,504.464,1.18508,4.2,240,0.980307,0,0,0.98974,0.000917822,0,0,1,0.9999,1,1,1,0.225805,0.195489,0.193803,0.192086,0.192818,0.0506513,0.900092,0.0492563,0.000101744,0.033035,6.19185e-05,0.996163,0.896577,0.946324,0.906689,0.425625,0,0,-0,-0,65,65,3.96,3.96,
258096730,14518.6,-1879.53,1.94255,7.6,300,0.979524,0,0,0.990911,0.000975435,0.0555277,0,0.944472,0.999854,1,1,1,0.177683,0.291673,0.17748,0.175877,0.177287,0.0495248,0.900933,0.0495422,0.000147679,0.113487,7.27793e-05,0.995851,0.897153,0.946802,0.476348,0.368521,0.0555277,0,-0,-0,116.135,115,7.56,7.56,
710428000,244.299,624.653,1.12923,4.2,300,0.979955,0,0,0.99027,0.000940762,0,0,1,0.99992,1,1,1,0.291642,0.178174,0.176186,0.176254,0.177743,0.0511858,0.900454,0.0483607,0.0001223,0.112972,5.63469e-05,0.996014,0.897215,0.94668,0.906681,0.470171,0,0,-0,-0,65,65,3.96,3.96,
258096730,14420.8,-1685.68,1.95826,7.5,360,0.98024,0,0,0.990433,0.000931007,0.057088,0,0.942912,0.999885,1,1,1,0.177678,0.292017,0.175418,0.175454,0.179433,0.0502574,0.899659,0.0500832,0.000267386,0.114153,0.000137626,0.996351,0.894899,0.94799,0.475693,0.368949,0.057088,0,-0,-0,116.142,115,7.56,7.56,
710428000,299.117,742.945,1.16064,4.3,360,0.979855,0,0,0.98956,0.000926784,0,0,1,0.999895,1,1,1,0.288229,0.176063,0.177652,0.179098,0.178959,0.0503165,0.899801,0.049882,0.000133432,0.111638,6.36976e-05,0.99614,0.896893,0.946611,0.906315,0.470987,0,0,-0,-0,65,65,3.96,3.96,
258096730,14329.1,-1489.46,2.17119,7.1,420,0.980043,0,0,0.990295,0.000892006,0.0565921,0.0113669,0.988633,0.999928,1,1,1,0.171432,0.311786,0.172879,0.172309,0.171594,0.0495512,0.900546,0.0499033,8.0489e-05,0.136904,8.0489e-05,0.99584,0.895519,0.946992,0.461438,0.359128,0,0.0113669,-0,-0,124.763,125,6.93857,6.84,
710428000,353.494,866.679,1.13621,4.1,420,0.980337,0,0,0.98975,0.00100175,0,0,1,0.999915,1,1,1,0.308414,0.173329,0.170909,0.174714,0.172635,0.0492359,0.899507,0.0512569,0.000199663,0.134783,8.90031e-05,0.996197,0.895459,0.94517,0.749254,0.485899,0,0,-0,-0,65,65,3.96,3.96,
258096730,14236.2,-1292.23,2.056,6.9,480,0.980312,0,0,0.990345,0.000915554,0.0891413,0.0114401,0.938881,0.999921,1,1,1,0.168006,0.318167,0.171369,0.170258,0.172201,0.0504613,0.898395,0.0511434,8.95545e-05,0.147143,4.35954e-05,0.995543,0.895913,0.945328,0.457433,0.355233,0.0611192,0,-0,-0,116.246,115,6.93724,6.84,
710428000,399.406,975.38,1.15715,4,480,0.980776,0,0,0.99013,0.000883939,0,0,1,0.999895,1,1,1,0.314674,0.170866,0.172379,0.169062,0.173019,0.0505573,0.900083,0.0493595,0.000157712,0.144839,7.82451e-05,0.995617,0.896776,0.945939,0.905906,0.485519,0,0,-0,-0,65,65,3.96,3.96,
258096730,14140.6,-1096.82,2.08741,6.6,540,0.979991,0,0,0.990503,0.000946122,0.10518,0.0106658,0.939847,0.999943,1,1,1,0.151891,0.386278,0.153632,0.154862,0.153336,0.0514477,0.899396,0.0491564,0.000127414,0.23243,6.96078e-05,0.996462,0.892398,0.947665,0.410329,0.325406,0.0601534,0,-0,-0,116.225,115,6.93542,6.84,
710428000,453.788,1092.24,1.14319,3.9,540,0.98004,0,0,0.98998,0.000980888,0,0,1,0.999893,1,1,1,0.385424,0.150126,0.15434,0.155018,0.155092,0.0493035,0.900711,0.049985,0.000136705,0.232132,8.56387e-05,0.995952,0.895985,0.945358,0.77023,0.537961,0,0,-0,-0,65,65,3.96,3.96,
258096730,14059.5,-907.055,1.99666,7.1,600,0.980183,0,0,0.989807,0.00101843,0.105033,0.0109182,0.938741,0.999894,1,1,1,0.152364,0.384676,0.152168,0.155994,0.154799,0.0489565,0.900516,0.0505273,9.57688e-05,0.230954,6.28803e-05,0.995702,0.896909,0.947545,0.415552,0.329053,0.0612594,0,-0,-0,116.227,115,6.93496,6.84,
710428000,500.821,1202.71,1.14319,3.9,600,0.98037,0,0,0.98976,0.00100438,0,0,1,0.999938,1,1,1,0.383713,0.156159,0.153791,0.150366,0.155971,0.0495092,0.901164,0.049327,0.000128326,0.230839,7.732e-05,0.996029,0.896108,0.945813,0.904137,0.530466,0,0,-0,-0,65,65,3.96,3.96,
258096730,13960,-709.03,2.04902,7,660,0.980009,0,0,0.990043,0.00106442,0.103706,0.0116103,0.940649,0.999875,1,1,1,0.153833,0.385291,0.153284,0.155741,0.151851,0.0504363,0.897748,0.0518158,0.000100059,0.230378,6.0761e-05,0.996528,0.896248,0.947121,0.412958,0.330238,0.0593509,0,-0,-0,116.203,115,6.93524,6.84,
710428000,555.318,1309.39,1.11177,4,660,0.979564,0,0,0.98968,0.000983797,0,0,1,0.999907,1,1,1,0.387171,0.153294,0.153349,0.150489,0.155697,0.0511984,0.900976,0.0478259,0.00010659,0.234924,4.47115e-05,0.995783,0.89691,0.947971,0.904428,0.531159,0,0,-0,-0,65,65,3.96,3.96,
258096730,13871.3,-517.541,1.94604,7,720,0.978944,0,0,0.98979,0.0010277,0.113178,0.0118204,0.941345,0.999849,1,1,1,0.118477,0.527503,0.119085,0.116893,0.118042,0.0495749,0.900332,0.0500927,0.000150538,0.407479,9.62622e-05,0.995963,0.895973,0.948872,0.316366,0.261666,0.0586553,0,-0,-0,116.235,115,6.93617,6.84,
710428000,611.827,1428.67,1.11003,4.3,720,0.979249,0,0,0.99031,0.00104098,0,0,1,0.999982,1,1,1,0.526431,0.118811,0.120046,0.116506,0.118206,0.0500999,0.897127,0.0527735,0.000186714,0.407008,5.57696e-05,0.99552,0.897399,0.948929,0.902783,0.630765,0,0,-0,-0,65,65,3.96,3.96,
