mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
209221000,408.897,750.39,1.14494,14.5,120,0.979753,0,0,0.99016,0.000723338,0,0,1,0.999938,1,1,1,0.111309,0.10748,0.559835,0.109137,0.112239,0.048311,0.902243,0.0494463,1,0.449107,0.751744,0.998672,0,0.349794,0.196161,0.247746,0,0,-0,-0,65,65,14.76,14.76,
246057000,6267.54,12720.9,4.18879,5.6,120,0.980592,0,0,0.98964,0.000971782,0,0,1,0.999981,1,1,1,0.110608,0.110861,0.559736,0.108835,0.109959,0.0500819,0.899758,0.0501597,1,0.449186,0.751176,0.998916,0,0.880974,0,0.248097,0,0,-0,-0,-125,-125,5.4,5.4,
209221000,584.506,1156.1,1.15715,14.6,180,0.980094,0,0,0.99039,0.00071229,0,0,1,0.999978,1,1,1,0.0902159,0.091447,0.63955,0.0906744,0.0881129,0.0498865,0.899647,0.0504666,1,0.549306,0.786124,0.998508,0,0.635123,0.405781,0.213238,0,0,-0,-0,65,65,14.76,14.76,
246057000,6176.97,12569,4.16959,5.7,180,0.980284,0,0,0.98999,0.0010406,0,0,1,0.999961,1,1,1,0.0902082,0.0912059,0.637341,0.0903767,0.0908678,0.0504959,0.900864,0.0486401,1,0.546732,0.786823,0.999054,0,0.946489,0,0.212321,0,0,-0,-0,-125,-125,5.4,5.4,
209221000,772.411,1575.06,1.14843,14.7,240,0.980342,0,0,0.98985,0.00102923,0,0,1,0.999986,1,1,1,0.0734371,0.0700031,0.714932,0.0730162,0.068612,0.0501267,0.901146,0.0487276,1,0.644186,0.81783,0.998854,0,0.422551,0.302987,0.181364,0,0,-0,-0,65,65,14.76,14.76,
246057000,6088.41,12418.3,4.17134,5.8,240,0.979764,0,0,0.9899,0.00111801,0,0,1,0.999942,1,1,1,0.0727785,0.070979,0.713639,0.0695987,0.0730047,0.0505071,0.899856,0.0496371,1,0.64284,0.821183,0.999404,0,0.947925,0,0.177883,0,0,-0,-0,-125,-125,6.12,6.12,
209221000,958.239,1984.66,1.14494,14.7,300,0.979647,0,0,0.9904,0.00109645,0,0,1,0.999988,1,1,1,0.0373759,0.0385734,0.843431,0.041577,0.0390429,0.0499393,0.900834,0.0492263,1,0.804913,0.878691,0.999243,0,0.267402,0.226237,0.12045,0,0,-0,-0,65,65,14.76,14.76,
246057000,6003.53,12263.9,4.19752,5.8,300,0.980421,0,0,0.99019,0.00102557,0,0,1,0.999962,1,1,1,0.039813,0.038415,0.84284,0.0401099,0.0388223,0.0489738,0.900781,0.0502453,1,0.804181,0.876513,0.999665,0,0.7675,0,0.122622,0,0,-0,-0,-115,-115,6.12,6.12,
209221000,1146.45,2398.92,1.14145,14.7,360,0.980698,0,0,0.99016,0.00106676,0,0,1,0.999949,1,1,1,0.0263425,0.0262825,0.892825,0.0274789,0.0270708,0.0497509,0.899321,0.0509281,1,0.866263,0.899472,0.999431,0,0.144509,0.128824,0.0994898,0,0,-0,-0,65,65,14.76,14.76,
246057000,5909.29,12107.3,4.17134,5.7,360,0.979496,0,0,0.991154,0.00183862,0.000749035,0,0.999251,0.999977,1,1,1,0.0491625,0.0428961,0.814939,0.0458221,0.0471802,0.0510421,0.899349,0.0496085,1,0.767859,0.863018,0.999444,0,0.883509,0,0.135401,0.000749035,0,-0,-0,-117.321,-115,5.95286,6.12,
209221000,1342.94,2811.44,1.13272,14.6,420,0.98007,0,0,0.99056,0.0010811,0,0,1,0.999973,1,1,1,0.0170914,0.0170772,0.931849,0.0169242,0.017058,0.0514534,0.898425,0.0501213,1,0.914991,0.918104,0.999848,0,0,0,0.0808475,0,0,-0,-0,65,65,14.76,14.76,
246057000,5818.63,11953.9,4.17134,5.8,420,0.979446,0,0,0.988222,0.00323544,0.00216861,0,0.998479,0.999983,1,1,1,0.0492818,0.0470867,0.805227,0.0507125,0.0476919,0.0499593,0.903652,0.0463883,1,0.755763,0.859088,0.999707,0,0.871071,0,0.137797,0.00152101,0,-0,-0,-118.742,-115,6.02646,6.12,
209221000,1527,3224.18,1.14145,14.7,480,0.979741,0,0,0.99032,0.00102355,0,0,1,0.999973,1,1,1,0.0108316,0.0100324,0.958714,0.00957394,0.0108482,0.0493002,0.90054,0.0501593,1,0.947782,0.930334,0.999801,0,0.0710171,0.0680092,0.0687294,0,0,-0,-0,65,65,14.76,14.76,
246057000,5738.9,11802.8,4.18704,5.5,480,0.980567,0,0,0.991169,0.00269241,0.0016575,0,0.998818,0.999897,1,1,1,0.0312343,0.0274114,0.877822,0.0311304,0.0324021,0.0515601,0.901389,0.047051,1,0.846916,0.894275,0.999609,0,0.746374,0,0.103187,0.0011818,0,-0,-0,-118.731,-115,5.8514,6.12,
209221000,1713.44,3632.13,1.15017,14.8,540,0.979965,0,0,0.99015,0.000904953,0,0,1,0.999933,1,1,1,0.00376123,0.00363392,0.98515,0.00370107,0.0037534,0.0498511,0.900536,0.0496132,1,0.981716,0.942886,0.999707,0,0.207261,0.204224,0.0562197,0,0,-0,-0,65,65,14.76,14.76,
246057000,5647.8,11648.9,4.13468,5.5,540,0.980049,0,0,0.99106,0.00253855,0.00160575,0,0.998964,0.999963,1,1,1,0.0105828,0.0098735,0.958198,0.0119148,0.00943054,0.0489862,0.901075,0.0499389,1,0.947758,0.926709,0.999791,0,0.949385,0,0.0708282,0.00103592,0,-0,-0,-118.755,-115,5.84967,6.12,
209221000,1906.39,4053.74,1.14145,14.8,600,0.979716,0,0,0.9901,0.000944389,0,0,1,0.999933,1,1,1,0.00907153,0.00175777,0.985799,0.00195931,0.00141212,0.0497041,0.899066,0.0512299,1,0.990625,0.937616,0.998869,0.556713,0,0.00554067,0.0613829,0,0,-0,-0,65,65,14.76,14.76,
246057000,5526.47,11513.6,3.98284,5.7,600,0.936954,0,0,0.991509,0.0124764,0.0537806,0,0.946219,0.999067,1,1,1,0.0271297,0.0597837,0.868385,0.0247013,0.0200002,0.051353,0.899233,0.049414,1,0.876847,0.889272,0.99732,0.574161,0.940599,0.0389057,0.0983046,0.0537806,0,-0,-0,-125.802,-125,5.43095,5.4,
209221000,2148.55,4420.63,0.935496,14.3,660,0.96111,0,0,0.989278,0.00193651,0.0193125,0,0.980688,0.999965,1,1,1,0.00638457,0.00186333,0.987715,0.00162155,0.00241574,0.0480116,0.897014,0.0549741,0.993826,0.990626,0.931903,0.995251,0.89848,0.947186,0.00879587,0.0622494,0.0193125,0,-0,-0,64.9063,65,14.7533,14.76,
246057000,5415.18,11381.4,4.01426,5.4,660,0.894941,0,0,0.988905,0.0236955,0.108203,0,0.900266,0.999585,1,1,1,0.0175009,0.036087,0.901319,0.0201972,0.0248955,0.0479844,0.897489,0.0545263,0.928166,0.899138,0.844934,0.986006,0.90582,0.941516,0.0588886,0.0866447,0.0997341,0,-0,-0,-126.275,-125,5.45618,5.4,
209221000,2452.85,4760.37,0.806342,14.5,720,0.225355,0,0,0.986423,0.0446659,0.843587,0,0.156413,0.99993,1,1,1,0.0262905,0.0241499,0.905866,0.0243845,0.0193089,0.0476793,0.902669,0.0496519,0.829954,0.897024,0.741057,0.783446,0.975539,0.946012,0.0535843,0.0946429,0.843587,0,-0,-0,62.1115,65,14.7003,14.76,
246057000,5304.45,11250,4.01251,5.5,720,0.826479,0,0,0.991658,0.0384282,0.191355,0,0.835658,1,1,1,1,0.0209109,0.0472249,0.895374,0.0236888,0.0128018,0.0470276,0.881224,0.0717483,0.839013,0.907764,0.741449,0.903471,0.912133,0.9515,0.0479299,0.113728,0.164342,0,-0,-0,-127.063,-125,5.49114,5.4,
209221000,2765.06,5076.02,0.799361,14.6,780,0.23288,0,0,0.992496,0.0459387,0.866082,0,0.152331,0.999959,1,1,1,0.012377,0.00590655,0.958062,0.0117324,0.0119216,0.0449368,0.906876,0.0481874,0.814196,0.951286,0.725037,0.576777,0.972584,0.949437,0.0288888,0.0719215,0.847669,0,-0,-0,61.9842,65,14.7003,14.76,
246057000,5204.86,11120.5,4.03171,5.1,780,0.771066,0,0,0.99224,0.0569266,0.261599,0.0769086,0.834661,1,1,1,1,0.00655025,0.0267937,0.953245,0.00341784,0.00999329,0.0534701,0.860704,0.0858255,0.813525,0.963439,0.678684,0.77487,0.915551,0.946283,0.0166398,0.0924893,0.0884299,0.0769086,-0,-0,-125.565,-125,5.52834,5.4,
209221000,3080.32,5403.33,0.820305,14.6,840,0.219782,0,0,0.98916,0.0490977,0.888501,0,0.140033,0.999971,1,1,1,0.00830931,0,0.986599,0,0.00509197,0.0452659,0.911489,0.043245,0.826631,0.989762,0.733426,0.346763,0.980264,0.948725,0.00509197,0.0509174,0.859967,0,-0,-0,62.2426,65,14.706,14.76,
246057000,5080.09,11024.6,3.82227,5.1,840,0.541742,0,0,0.989471,0.103267,0.839378,0.175694,0.160622,1,1,1,1,0.00033127,0.016767,0.973092,0.0095165,0.000293192,0.0459824,0.885765,0.0682522,0.578628,0.980833,0.446573,0.349147,0.929336,0.948159,0.010141,0.0781,0.839378,0,-0,-0,-125.393,-135,5.6453,5.4,
209221000,3389.58,5728.5,0.816814,14.7,900,0.224075,0,0,0.992039,0.0499306,0.893315,0,0.132373,0.999972,1,1,1,0.00242922,0.0025805,0.99499,0,0,0.0456316,0.908001,0.0463671,0.821335,0.995543,0.731415,0.0898749,0.979345,0.952452,0,0.0487964,0.867627,0,-0,-0,62.2842,65,14.6979,14.76,
246057000,4959.31,10918.2,3.85718,5.6,900,0.578312,0,0,0.989676,0.104054,0.532572,0.150378,0.549737,0.999861,1,1,1,0,0.0107116,0.989288,0,0,0.0565682,0.844916,0.0985158,0.666556,1,0.490881,0.173341,0.932972,0.933933,0,0.0985158,0.450263,0,-0,-0,-124.924,-125,5.631,5.4,
209221000,3697.09,6053.5,0.811578,14.6,960,0.213314,0,0,0.987865,0.047159,0.884344,0,0.132014,0.999933,1,1,1,0.00372718,0,0.996273,0,0,0.0495112,0.886714,0.0637749,0.83146,0.999994,0.737487,0.0255257,0.985531,0.950197,0,0.0669906,0.867986,0,-0,-0,62.317,65,14.7053,14.76,
246057000,4811.97,10794.9,3.83972,6,960,0.568502,0,0,0.991763,0.103723,0.77752,0.183961,0.22248,0.999948,1,1,1,0,0.00622983,0.983995,0,0.00977526,0.058393,0.914902,0.0267052,0.524896,0.990194,0.399607,0.0265677,0.934545,0.957991,0.00977526,0.0267052,0.77752,0,-0,-0,-125.583,-135,5.6452,5.4,
209221000,4014.23,6394.59,0.808087,14.7,1020,0.224218,0,0,0.992155,0.0472164,0.904783,0,0.140475,0.999958,1,1,1,0.0056987,0,0.994301,0,0,0.0471937,0.904517,0.0482892,0.817905,1,0.727682,0.00412488,0.974392,0.935647,0,0.0534854,0.859525,0,-0,-0,62.247,65,14.6954,14.76,
246057000,4674.36,10683.8,3.82227,5.8,1020,0.540216,0,0,0.995103,0.106919,0.846703,0.12293,0.153297,0.999999,1,1,1,0,0.0195191,0.980481,0,0,0.0354473,0.9158,0.0487525,0.561641,0.988187,0.43164,0.0159057,0.933201,0.942319,0,0.0487525,0.846703,0,-0,-0,-124.74,-115,5.65858,5.4,
209221000,4321.78,6714.86,0.813323,14.7,1080,0.261634,0,0,0.991945,0.0467515,0.854493,0,0.164951,0.999984,1,1,1,0.0057536,0,0.994246,0,0,0.0448701,0.910872,0.0442584,0.780471,0.999951,0.693409,0.000566224,0.967446,0.936952,4.86177e-05,0.0491432,0.835049,0,-0,-0,61.3446,65,14.7062,14.76,
246057000,4536.53,10571.9,3.82227,5.7,1080,0.505578,0,0,0.978728,0.120497,0.942626,0.134765,0.153187,1,1,1,1,0,0.0113584,0.988642,0,0,0.0332387,0.91317,0.0535911,0.602852,1,0.45686,0.00050537,0.949081,0.942506,0,0.0535911,0.846813,0,-0,-0,-123.987,-115,5.67464,5.4,
209221000,4638.97,7052.97,0.823795,14.8,1140,0.23939,0,0,0.987414,0.0487338,0.9051,0,0.141317,0.999983,1,1,1,0.00409016,0,0.99591,0,0,0.0524016,0.901969,0.0456297,0.804227,1,0.714257,6.7775e-05,0.983507,0.954153,0,0.0486834,0.858683,0,-0,-0,62.1264,65,14.684,14.76,
246057000,4397.25,10458.4,3.83623,5.5,1140,0.504904,0,0,0.98933,0.126777,0.929899,0.139005,0.159785,0.999905,1,1,1,0,0.0103882,0.989612,0,0,0.0568002,0.88908,0.0541201,0.608832,1,0.457633,9.54193e-05,0.960269,0.942818,0,0.0541201,0.840215,0,-0,-0,-124.191,-115,5.67698,5.4,
209221000,4946.59,7379.87,0.806342,14.8,1200,0.203706,0,0,0.991698,0.0471242,0.876757,0,0.146531,0.99992,1,1,1,0.00512223,0,0.994878,0,0,0.0492803,0.89782,0.0528996,0.838244,1,0.746805,1.5415e-05,0.980883,0.956215,0,0.0578518,0.853469,0,-0,-0,62.1437,65,14.7318,14.76,
246057000,4265.11,10347.8,3.83274,5.6,1200,0.556388,0,0,0.986963,0.107962,0.998567,0.171113,0.185958,1,1,1,1,0,0.00868955,0.99131,0,0,0.0286045,0.868259,0.103136,0.540463,1,0.410193,0,0.981727,0.948316,0,0.103136,0.814042,0,-0,-0,-124.923,-115,5.64799,5.4,
209221000,5263.83,7715.35,0.832522,14.8,1260,0.244367,0,0,0.990955,0.0453769,0.861242,0,0.181997,0.99994,1,1,1,0.00377414,0,0.996226,0,0,0.0474208,0.912438,0.0401417,0.79659,1,0.710815,0,0.96613,0.944073,0,0.0437429,0.818003,0,-0,-0,61.5738,65,14.7131,14.76,
246057000,4122.28,10234.6,3.82227,5.6,1260,0.543449,0,0,0.994483,0.123987,0.976542,0.160391,0.112536,0.999999,1,1,1,0,0.00979683,0.990203,0,0,0.0264646,0.90332,0.0702154,0.569576,1,0.42086,0,0.965464,0.969689,0,0.0702154,0.887464,0,-0,-0,-124.769,-115,5.66456,5.4,
209221000,5571.51,8047.74,0.811578,14.8,1320,0.233483,0,0,0.992208,0.0474476,0.869381,0,0.190591,0.99997,1,1,1,0.00427108,0,0.995729,0,0,0.0395864,0.918808,0.0416053,0.808812,1,0.718193,0,0.992964,0.941964,0,0.0454262,0.809409,0,-0,-0,61.9216,65,14.7055,14.76,
246057000,3992.48,10124.5,3.82402,5.7,1320,0.520849,0,0,0.993966,0.111632,0.947434,0.106219,0.161119,1,1,1,1,0,0.00910259,0.990897,0,0,0.0292535,0.94198,0.0287664,0.579238,1,0.445333,0,0.934669,0.966608,0,0.0287664,0.838881,0,-0,-0,-124.54,-115,5.66561,5.4,
209221000,5888.8,8378.73,0.815069,14.8,1380,0.229515,0,0,0.992102,0.0505901,0.915956,0,0.13007,0.999969,1,1,1,0.00414558,0,0.995854,0,0,0.0486943,0.909164,0.0421414,0.816422,1,0.723704,0,0.986568,0.956217,0,0.0462869,0.86993,0,-0,-0,62.3188,65,14.6879,14.76,
246057000,3854.43,10005.8,3.83972,5.9,1380,0.559469,0,0,0.994243,0.109418,0.933874,0.140213,0.253003,1,1,1,1,0,0.00872327,0.991277,0,0,0.0910359,0.842708,0.0662561,0.537798,1,0.409033,0,0.962948,0.970025,0,0.0662561,0.746997,0,-0,-0,-125.075,-135,5.64893,5.4,
