mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
209204000,-31.8485,-3548.2,4.69494,6.1,1140,0.98021,0,0,0.99008,0.00111624,0,0,1,0.999824,1,1,1,0.180179,0.175692,0.288202,0.177588,0.178339,0.0495393,0.899444,0.0510165,0.992778,0.111757,0.621175,0.995848,0.838647,0.946897,0.870331,0.373372,0,0,-0,-0,-95,-95,6.12,6.12,
636092000,-1316.42,-17647.6,1.53938,12.1,1140,0.979628,0,0,0.99033,0.00118133,0,0,1,0.999859,1,1,1,0.178807,0.177505,0.289565,0.177107,0.177017,0.0500352,0.899246,0.0507184,0.993284,0.11033,0.624069,0.995826,0.835874,0.859381,0.842537,0.370798,0,0,-0,-0,85,85,11.88,11.88,
209204000,-31.6847,-3729.36,4.69145,6.1,1200,0.980025,0,0,0.99016,0.00103861,0,0,1,0.999899,1,1,1,0.154601,0.153817,0.389445,0.152513,0.149624,0.0506042,0.899177,0.0502188,0.983655,0.237593,0.661857,0.995989,0.835787,0.947396,0.879074,0.326783,0,0,-0,-0,-95,-95,6.12,6.12,
636092000,-1299.45,-17270.9,1.54287,12.1,1200,0.979781,0,0,0.99025,0.00115132,0,0,1,0.999964,1,1,1,0.15389,0.153685,0.387546,0.151766,0.153113,0.0492142,0.901517,0.0492683,0.982773,0.233803,0.662928,0.995954,0.837002,0.869892,0.848777,0.324682,0,0,-0,-0,85,85,11.88,11.88,
209204000,-31.4972,-3926.57,4.69145,6.2,1260,0.980324,0,0,0.99019,0.000888457,0,0,1,0.9999,1,1,1,0.119822,0.119542,0.522469,0.120287,0.117879,0.0507803,0.898748,0.0504718,0.992818,0.403349,0.728795,0.996178,0.834029,0.947776,0.893758,0.265314,0,0,-0,-0,-95,-95,6.12,6.12,
636092000,-1289.9,-16896.2,1.54113,12.2,1260,0.979579,0,0,0.98977,0.000992358,0,0,1,0.999921,1,1,1,0.118957,0.120237,0.522398,0.118969,0.11944,0.0493027,0.897872,0.0528256,0.993068,0.403326,0.726833,0.995956,0.834627,0.868909,0.85,0.26711,0,0,-0,-0,85,85,11.88,11.88,
209204000,-42.4533,-4108.27,4.69494,6.2,1320,0.979292,0,0,0.98978,0.000925833,0,0,1,0.999958,1,1,1,0.0484313,0.0470842,0.80957,0.0461274,0.0487869,0.0489185,0.900925,0.0501564,0.983457,0.76325,0.850463,0.995843,0.843602,0.945922,0.926668,0.13468,0,0,-0,-0,-95,-95,6.12,6.12,
636092000,-1280.35,-16513.5,1.54287,12.2,1320,0.979673,0,0,0.99016,0.000901577,0,0,1,0.999932,1,1,1,0.0459311,0.046277,0.81567,0.0453767,0.0467448,0.0504222,0.898767,0.0508112,0.983904,0.76858,0.853514,0.996241,0.842314,0.867743,0.865409,0.132273,0,0,-0,-0,85,85,11.88,11.88,
209204000,-42.2458,-4306.73,4.69494,6.2,1380,0.980108,0,0,0.99041,0.00105188,0,0,1,0.999844,1,1,1,0.0218115,0.0214842,0.911739,0.0232611,0.0217044,0.0492806,0.900494,0.0502253,0.981116,0.889258,0.891542,0.995675,0.896233,0.948563,0.944082,0.0912797,0,0,-0,-0,-95,-95,6.12,6.12,
636092000,-1270.76,-16133.7,1.5516,12.2,1380,0.979672,0,0,0.99016,0.000982101,0,0,1,0.999906,1,1,1,0.021636,0.0234421,0.909699,0.0219872,0.023236,0.0500905,0.900234,0.0496757,0.982325,0.886634,0.894597,0.995676,0.897568,0.947498,0.943952,0.0889551,0,0,-0,-0,85,85,11.88,11.88,
