mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
220620000,-2712.95,-19883.3,1.58476,5.24688,1380,0.990367,0,0,0.9903,0,0,0,1,1,0.985562,0.984991,0.984883,0.258092,0.177416,0.209251,0.176891,0.17835,0.0501398,0.900876,0.0489846,0.99999,0.112751,0.535218,0.692869,0.271503,0.907366,0.4041,0.440772,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1103.54,-5570.86,4.51342,4.42384,1380,0.990005,0,0,0.99011,0,0,0,1,1,0.985995,0.985066,0.9857,0.184627,0.247569,0.206172,0.18095,0.180682,0.0501659,0.899509,0.0503252,0.999979,0.0885818,0.594453,0.71034,0.275464,0.766935,0.220226,0.379379,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2715.59,-19572.9,1.5708,5.24688,1440,0.989806,0,0,0.99031,1.27622e-05,0,0,1,1,0.986417,0.985005,0.985547,0.294381,0.154024,0.240393,0.155853,0.15535,0.0462623,0.903034,0.0507039,1,0.228318,0.517783,0.689737,0.158504,0.909328,0.34027,0.45913,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1163.32,-5825.82,4.51517,4.42384,1440,0.989715,0,0,0.98994,0,0,0,1,1,0.985584,0.985218,0.985754,0.165178,0.283272,0.226162,0.162362,0.163026,0.0504113,0.895587,0.0540019,1,0.18201,0.6241,0.732793,0.161992,0.731568,0.125949,0.348441,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2727.13,-19257.3,1.58301,5.24688,1500,0.989913,0,0,0.99016,0,0,0,1,1,0.985703,0.985625,0.985898,0.404069,0.122297,0.236167,0.120729,0.116739,0.0479345,0.900505,0.0515603,1,0.400471,0.45418,0.684877,0.213838,0.910122,0.380172,0.525869,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1223.2,-6080.85,4.51517,4.42384,1500,0.989947,0,0,0.99003,2.89127e-05,0,0,1,1,0.985086,0.98395,0.985259,0.133593,0.369297,0.227156,0.136092,0.133863,0.0493614,0.895221,0.055418,0.999991,0.328916,0.669768,0.757793,0.231078,0.71189,0.182033,0.298412,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2728.64,-18940.8,1.57952,5.24688,1560,0.990463,0,0,0.98941,2.96491e-06,0,0,1,1,0.985309,0.986439,0.985705,0.495506,0.0816495,0.264415,0.0787934,0.079637,0.0434421,0.907703,0.0488546,1,0.594321,0.408867,0.678576,0.21369,0.911544,0.401608,0.572451,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1282.95,-6335.82,4.51691,4.42384,1560,0.990703,0,0,0.98993,1.05882e-05,0,0,1,1,0.986404,0.98489,0.984641,0.0949208,0.465278,0.24867,0.0960162,0.0951151,0.0510951,0.889211,0.0596944,1,0.519932,0.73435,0.800799,0.236986,0.687612,0.183047,0.231979,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2731.99,-18627.4,1.58825,5.24688,1620,0.989361,0,0,0.98987,8.43665e-06,0,0,1,1,0.986053,0.985794,0.985439,0.585153,0.0483311,0.27375,0.0459016,0.0468634,0.0419539,0.90707,0.0509766,1,0.762979,0.358785,0.666428,0.272374,0.91163,0.452119,0.625921,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1342.79,-6590.86,4.51691,4.42384,1620,0.989976,0,0,0.98984,1.09269e-05,0,0,1,1,0.985691,0.982825,0.986157,0.0561901,0.566232,0.258374,0.059396,0.0598077,0.0498038,0.887138,0.0630578,1,0.706631,0.795068,0.832615,0.306485,0.663676,0.236211,0.167336,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2742.7,-18308.1,1.58825,5.24688,1680,0.990055,0,0,0.9895,0,0,0,1,1,0.985775,0.986099,0.985711,0.646874,0.0224487,0.286734,0.0225997,0.0213437,0.0406779,0.90979,0.0495323,1,0.887442,0.323147,0.641936,0.274059,0.914903,0.462547,0.662699,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1402.51,-6845.86,4.51866,4.47528,1680,0.990203,0,0,0.99,1.98431e-05,0,0,1,1,0.985097,0.982111,0.985968,0.0333093,0.640221,0.262293,0.0327088,0.0314684,0.0492067,0.882354,0.0684397,1,0.842017,0.833052,0.85156,0.322658,0.628419,0.249501,0.12654,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2744.1,-17998.3,1.57254,5.19544,1740,0.989601,0,0,0.98979,0,0,0,1,1,0.985289,0.984664,0.985163,0.690907,0.00370555,0.298981,0.00322477,0.00318116,0.0390761,0.91034,0.0505843,1,0.984213,0.299471,0.620247,0.161593,0.80626,0.368963,0.685792,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1462.32,-7100.91,4.5204,4.47528,1740,0.989571,0,0,0.98972,0,0,0,1,1,0.985461,0.982238,0.985761,0.00337954,0.698401,0.289503,0.00421414,0.00450266,0.0484568,0.875778,0.0757655,1,0.979162,0.875103,0.900144,0.207795,0.602291,0.161572,0.0824747,0,0,-0,-0,-105,-105,4.68,4.68,
220620000,-2745.5,-17682.2,1.5708,5.24688,1800,0.989874,0,0,0.98988,1.61449e-05,0,0,1,1,0.985518,0.98511,0.98553,0.70198,0.00120523,0.296249,0.000381021,0.00018452,0.0377138,0.908827,0.0534597,1,0.996502,0.289563,0.5757,0.445126,0.771759,0.561653,0.697284,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1511.64,-7357.8,4.58673,4.47528,1800,0.989196,0,0,0.990367,3.57364e-05,0,0.0451501,0.95485,1,0.98476,0.980383,0.985928,0.00131067,0.718516,0.277982,0.000840027,0.00135186,0.0499176,0.874404,0.0756782,1,0.993802,0.877396,0.873771,0.509306,0.00402667,0.386783,0.0777223,0,0.0451501,-0,-0,-104.938,-105,4.68,4.68,
220620000,-2746.84,-17374.9,1.58825,5.19544,1860,0.989572,0,0,0.9897,6.90096e-06,0,0,1,1,0.985914,0.984731,0.985101,0.696975,0,0.302449,0.000257393,0.000318505,0.0360442,0.911148,0.0528076,0.999844,0.999082,0.293535,0.500617,0.637175,0.821533,0.711594,0.692474,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1530.51,-7629.2,4.66352,4.52672,1860,0.988806,0,0,0.989784,3.36672e-05,0,0.0834451,0.916555,1,0.984702,0.981695,0.984978,0.000480545,0.701029,0.298392,9.79984e-05,0,0.0486967,0.878577,0.0727265,0.999976,0.99882,0.882019,0.780495,0.704098,0.570572,0.699645,0.0732165,0,0.0834451,-0,-0,-104.988,-105,4.68,4.68,
220620000,-2759.3,-17067,1.60047,5.144,1920,0.990099,0,0,0.98966,1.35023e-05,0,0,1,1,0.984988,0.985344,0.984888,0.699446,0,0.300554,0,0,0.0363849,0.910458,0.0531575,0.999993,0.999942,0.291288,0.43489,0.725053,0.923006,0.794638,0.69544,0,0,-0,-0,95,95,5.4,5.4,
740339000,-1540.35,-7897.78,4.71588,4.52672,1920,0.988095,0,0,0.990238,3.90423e-05,0,0.853923,0.158598,1,0.984026,0.976782,0.983489,0,0.696416,0.303367,0.000109515,0.000107866,0.0509519,0.935265,0.0137835,0.999817,0.999588,0.931571,0.65994,0.894687,0.831174,0.970275,0.013893,0,0.841402,-0,-0,-104.98,-105,4.68,4.68,
220620000,-2771.73,-16758.8,1.6057,5.144,1980,0.989878,0,0,0.99015,1.07642e-05,0,0,1,1,0.986075,0.9859,0.985264,0.702369,0,0.297631,0,0,0.0349746,0.912632,0.0523935,0.99987,0.999995,0.288188,0.374077,0.728043,0.922002,0.799907,0.698854,0,0,-0,-0,95,95,5.4,5.4,
