mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257055730,7816.44,4492.71,420,0.961691,0.98991,4.47794e-05,0,0,1,0,0,0.0418941,0.776323,0.181782
257560700,9485.93,2461.66,420,0.145245,0.147354,0.147812,0,0,1,0,0,0.0430045,0.917686,0.0393098
257055730,8432.01,3820.86,480,0.960779,0.98981,3.18603e-05,0,0,1,0,0,0.0439219,0.773862,0.182216
257560700,9307.03,2661.2,480,0.00127723,0,0.00130505,0,0,1,0,0,0.0483341,0.926658,0.0250076
257055730,9100.44,3188,540,0.951432,0.99016,2.90587e-05,0,0,1,0,0,0.0557462,0.941057,0.0031968
257560700,9108.99,2881.14,540,0.00126073,0,0.00128605,0,0,1,0,0,0.0730925,0.926908,0
257055730,9744.7,2560.79,600,0.954127,0.99019,5.42068e-05,0,0,1,0,0,0.0500138,0.947578,0.00240821
257560700,8898.72,3105.31,600,0.00111526,0,0.00113709,0,0,1,0,0,0.0652511,0.934749,1.70893e-07
257055730,10367.8,1886.32,660,0.953056,0.99002,8.16339e-05,0,0,1,0,0,0.0465193,0.950719,0.0027618
257560700,8703.06,3340.55,660,0.00160422,0,0.00163872,0,0,1,0,0,0.0912925,0.908707,0
257055730,10983.1,1215.54,720,0.951939,0.99012,7.94141e-07,0,0,1,0,0,0.0461383,0.951171,0.00269066
257560700,8506.41,3573.92,720,0.00117135,0,0.00119691,0,0,1,0,0,0.0520102,0.94799,0
257055730,11570.1,533.665,780,0.952665,0.98971,2.526e-05,0,0,1,0,0,0.0495271,0.947328,0.00314511
257560700,8313.57,3811.32,780,0.00137366,0,0.00141737,0,0,1,0,0,0.0466987,0.953287,1.44796e-05
257055730,12205.5,-131.427,840,0.925752,0.988477,0.000124719,0,0,1,0,0,0.050644,0.945062,0.00429351
257560700,8117.52,4050.38,840,0.00112684,0,0.00114861,0,0,1,0,0,0.0919194,0.908081,0
257055730,12645.2,-484.147,900,0.954198,0.0299687,0.03001,0,0,1,0,0,0.0494968,0.947591,0.00291181
257560700,7926.16,4284.93,900,0.00116882,0,0.00119148,0,0,1,0,0,0.0762518,0.923748,0
257055730,12645.2,-484.147,960,0.952749,0,4.82894e-05,0,0,1,0,0,0.0491436,0.947916,0.00294083
257560700,7734.81,4519.5,960,0.0016912,0,0.00172025,0,0,1,0,0,0.178233,0.821767,0
257055730,12645.2,-484.147,1020,0.95208,0,4.93165e-05,0,0,1,0,0,0.0535734,0.943488,0.00293855
257560700,7544.04,4759.86,1020,0.00140389,0,0.00142876,0,0,1,0,0,0.132694,0.867306,0
257055730,12645.2,-484.147,1080,0.954094,0.0263593,0.0264034,0,0,1,0,0,0.0489523,0.948216,0.00283136
257560700,7346.48,4993.76,1080,0.00106502,0,0.00108901,0,0,1,0,0,0.039019,0.960981,0
257055730,12645.2,-484.147,1140,0.952517,0.000137531,0.000182042,0,0,1,0,0,0.0548132,0.942617,0.00257024
257560700,7161.09,5234.71,1140,0.0010579,0,0.00107899,0,0,1,0,0,0.170642,0.829358,0
257055730,12645.2,-484.147,1200,0.952617,0.000135467,0.000185489,0,0,1,0,0,0.0496504,0.947966,0.00238397
257560700,6970.49,5485.81,1200,0.00216968,0,0.00220757,0,0,1,0,0,0.151326,0.848674,0
