mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,ample_time_acceptable,safe_distance_front_acceptable,safe_distance_acceptable,safe_distance_midpoint_acceptable,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258465000,7906.68,18375.3,4.36856,13.4,120,0.979679,0,0,0.99018,0.0015013,0,0,1,0.999921,1,1,1,0,0,1,0,0,0.0475809,0.872629,0.0797899,1,0.999953,0.918675,0.870869,0,0.220722,0.220722,0.0797899,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,4504.45,9728.2,1.13795,9,120,0.981054,0,0,0.99043,0.00207841,0,0,1,0.999843,1,1,1,0,0,1,0,0,0.0475384,0.864712,0.0877498,1,0.999971,0.910064,0.960168,0,0.63673,0,0.0877498,0,0,-0,-0,65,65,9,9,
258465000,7768.52,17987.5,4.3703,13.5,180,0.980488,0,0,0.99012,0.00176875,0,0,1,0.999747,1,1,1,0,0,1,0,0,0.0482631,0.862315,0.0894219,1,0.999997,0.908676,0.817458,0,0.256494,0.256494,0.0894219,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,4620.71,9984.76,1.14843,9,180,0.979355,0,0,0.98998,0.00178853,0,0,1,0.999895,1,1,1,0,0,1,0,0,0.0467082,0.849803,0.103488,1,0.999981,0.894733,0.941846,0,0.430805,0,0.103488,0,0,-0,-0,65,65,9,9,
258465000,7631.5,17593.9,4.36681,13.5,240,0.980605,0,0,0.98998,0.00315994,0,0,1,0.999708,1,1,1,0,0,1,0,0,0.043421,0.792422,0.164157,1,1,0.832596,0.826414,0,0.0712061,0.0712061,0.164157,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,4742.08,10233.2,1.14668,9,240,0.979558,0,0,0.98956,0.00338144,0,0,1,0.999692,1,1,1,0,0,1,0,0,0.045074,0.786378,0.168548,1,1,0.828003,0.872279,0,0.348836,0,0.168548,0,0,-0,-0,65,65,9,9,
258465000,7485.62,17204.9,4.3738,13.5,300,0.978855,0,0,0.99007,0.00365476,0,0,1,0.999744,1,1,1,0,0,1,0,0,0.0411139,0.778365,0.180521,1,1,0.815731,0.64758,0,0.258079,0.258079,0.180521,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,4856.37,10491.7,1.19555,9,300,0.979136,0,0,0.99035,0.00409789,0,0,1,0.999633,1,1,1,0,0,1,0,0,0.0401493,0.730565,0.229286,1,1,0.76657,0.810201,0,0,0,0.229286,0,0,-0,-0,65,65,9,9,
258465000,7348.7,16812.6,4.3703,13.4,360,0.979259,0,0,0.99069,0.00768462,0,0,1,0.999509,1,1,1,0,0,1,0,0,0.0363412,0.60491,0.358749,1,1,0.63373,0.522756,0,0.157662,0.157662,0.358749,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,4966.65,10744,1.17461,9,360,0.980458,0,0,0.98991,0.00844289,0,0,1,0.998908,1,1,1,0,0,1,0,0,0.0304767,0.556478,0.413045,1,1,0.577931,0.610056,0,0,0,0.413045,0,0,-0,-0,65,65,9,9,
258465000,7205.7,16421.7,4.36856,13.5,420,0.980306,0,0,0.98988,0.0132321,0,0,1,0.998887,1,1,1,0,0,1,0,0,0.0199005,0.303883,0.676216,1,1,0.310352,0.327781,0,0,0,0.676216,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,5079.99,11003.9,1.17635,9,420,0.978742,0,0,0.98961,0.0138473,0,0,1,0.999015,1,1,1,0,0,1,0,0,0.0138358,0.300554,0.68561,1,1,0.300263,0.316251,0,0,0,0.68561,0,0,-0,-0,65,65,9,9,
258465000,7043.1,16047.8,4.21672,13.4,480,0.967481,0,0,0.992844,0.0333769,0.0287481,0,0.971252,0.998078,1,1,1,0,0,1,0,0,0.0123271,0.206197,0.781476,1,1,0.185255,0.196319,0.5318,0.745106,0,0.781476,0.0287481,0,-0,-0,-105,-105,13.32,13.32,
259883000,5193.22,11260.2,1.16064,9,480,0.978292,0,0,0.99026,0.015699,0,0,1,0.998419,1,1,1,0,0,1,0,0,0.00971874,0.188682,0.801599,1,1,0.181968,0.191399,0.521139,0.0202998,0,0.801599,0,0,-0,-0,65,65,9,9,
258465000,6825.88,15687.4,4.1853,13.3,540,0.576562,0,0,0.982979,0.586801,1,0,0,0.9983,1,1,1,0,0,1,0,0,0.0435829,0.655922,0.300495,1,1,0.139121,0.0182447,0.717019,0.830266,0,0.300495,1,0,-0,-0,-105,-105,13.32,13.32,
259883000,5292.53,11514.4,1.1973,9.1,540,0.976128,0,0,0.9898,0.0194745,0,0,1,0.998413,1,1,1,0,0,1,0,0,0.00391864,0.0685184,0.927563,1,1,0.0523558,0.052587,0.524765,0,0,0.927563,0,0,-0,-0,65,65,9,9,
258465000,6627.28,15342.3,4.17832,13.3,600,0.568528,0,0,0.986463,0.583976,1,0,0,1,1,1,1,0,0,1,0,0,0.0404383,0.646844,0.312718,1,1,0.126114,0.00764112,0.711367,0.825285,0,0.312718,1,0,-0,-0,-105,-105,13.32,13.32,
259883000,5394.81,11781.5,1.21999,9,600,0.976725,0,0,0.99001,0.0187572,0,0,1,0.99768,1,1,1,0,0,1,0,0,0.00309427,0.0454334,0.951472,1,1,0.0282415,0.0273766,0.536881,0,0,0.951472,0,0,-0,-0,65,65,9,9,
258465000,6414.62,14985.5,4.19577,13.2,660,0.656732,0,0,0.996107,0.672375,1,0,0.528795,1,1,1,1,0,0,1,0,0,0.0554988,0.665589,0.278913,1,1,0.0760857,0.00130049,0.398433,0.751968,0,0.278913,0.471205,0,-0,-0,-105,-105,13.32,13.32,
259883000,5482.93,12044.5,1.29503,9.1,660,0.978144,0,0,0.991398,0.0394731,0,0.02007,0.97993,0.997968,1,1,1,0,0,1,0,0,0.00162152,0.0428242,0.955554,1,1,0.00486713,0.00497652,0.252874,0,0,0.955554,0,0.02007,-0,-0,65,65,9,9,
258465000,6213.49,14633.3,4.2429,13.2,720,0.717862,0,0,0.990763,0.732088,1,0,0.570725,0.999715,1,1,1,0,0,1,0,0,0.03214,0.724898,0.242962,1,1,0.0615668,0.000284971,0.341126,0.546208,0,0.242962,0.429275,0,-0,-0,-105,-105,13.32,13.32,
259883000,5560.94,12307.8,1.26711,9.1,720,0.978053,0,0,0.990075,0.0691416,0,0.049301,0.967509,0.998633,1,1,1,0,0,1,0,0,0.00289921,0.0643541,0.932747,1,1,0.00169229,0.00136674,0.175623,0,0,0.932747,0,0.0324914,-0,-0,65,65,9,9,
258465000,6080.27,14250.3,4.49073,13.1,780,0.758226,0,0,0.988663,0.776353,1,0,1,1,1,1,1,0,0,1,0,0,0.0293128,0.715305,0.255382,1,1,0.000388298,0,0,0,0,0.255382,0,0,-0,-0,-105,-105,13.32,13.32,
259883000,5608.6,12587.2,1.46433,9.1,780,0.965696,0,0,0.99792,0.966998,0,1,0,0.984219,1,1,1,0,0,1,0,0,0.0427043,0.89962,0.0576759,1,1,0.0172207,0,0,0.127896,0.127896,0.0576759,0,1,-0,-0,65,65,9,9,
258465000,6034.51,13849.4,4.64956,13.2,840,0.864593,0,0,0.985102,0.881397,1,0.455869,0.544131,1,1,1,1,0,0,1,0,0,0.0475956,0.792681,0.159724,1,1,0.000547538,0,0.156745,0.189824,0.189824,0.159724,0,0.455869,-0,-0,-105,-105,13.32,13.32,
259883000,5652.36,12860.9,1.4207,9.1,840,0.963947,0,0,0.990136,0.984259,0,1,0,1,1,1,1,0,0,1,0,0,0.03489,0.901041,0.0640691,1,1,0.0157414,0,0.154626,0.0176345,0.0176345,0.0640691,0,1,-0,-0,65,65,9,9,
258465000,6002.13,13439.7,4.62163,13.3,900,0.914723,0,0,0.991721,0.933205,1,0.696864,0.533298,1,1,1,1,0,0,1,0,0,0.0575831,0.827555,0.114862,1,1,0.000376761,0,0.0751086,0.0768273,0.0768273,0.114862,0,0.466702,-0,-0,-105,-105,13.32,13.32,
