mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
248375000,17093.4,7210.34,3.69661,8.6,-3480,0.979894,0,0,0.99017,0,0,0,1,0.076702,0.700577,0.0733428,0.0759555,0.0734227,0.0510615,0.899551,0.0493877,0.993006,0.625923,0,1,1,1,0.926657,0.185756,0,0,-0,-0,-140,-140,8.64,8.64,
257787000,19641,1040.62,2.90248,11.9,-3480,0.980228,0,0,0.98981,0,0,0,1,0.699359,0.0755013,0.0733082,0.0755013,0.0763304,0.04937,0.899633,0.0509967,0.999948,0.62375,0,1,1,1,1,0.74924,0,0,-0,-0,170,170,12.24,12.24,
248375000,16873.1,7070.44,3.74373,8.6,-3420,0.980322,0,0,0.9905,1.16165e-05,0,0,1,0.0333917,0.863573,0.0334501,0.0347927,0.0347927,0.0504129,0.898678,0.0509092,0.993353,0.829093,0,1,1,1,0.96655,0.110746,0,0,-0,-0,-140,-140,8.64,8.64,
257787000,19278.8,1120.87,2.89027,11.9,-3420,0.980412,0,0,0.9896,0,0,0,1,0.86011,0.0344487,0.0345069,0.0337504,0.0371836,0.0504908,0.90042,0.049089,0.999986,0.825456,0,1,1,1,1,0.853961,0,0,-0,-0,170,170,12.24,12.24,
248375000,16649.9,6927.25,3.7193,8.5,-3360,0.980855,0,0,0.9894,0,0,0,1,0.011219,0.955825,0.0106931,0.0110437,0.011219,0.0505375,0.899999,0.0494638,0.930595,0.944213,0,1,1,1,0.989307,0.0699734,0,0,-0,-0,-140,-140,8.64,8.64,
257787000,18919.3,1207.29,2.92517,11.9,-3360,0.98044,0,0,0.98989,0,0,0,1,0.953671,0.0127624,0.0117135,0.0118883,0.00996518,0.0503166,0.901544,0.0481393,0.994282,0.942119,0,1,1,1,1,0.918214,0,0,-0,-0,170,170,12.24,12.24,
248375000,16423.6,6782.51,3.73326,8.6,-3300,0.98001,0,0,0.98959,1.0105e-05,0,0,1,0.00375875,0.989476,0.00375875,0.00075175,0.00225525,0.050143,0.898944,0.050913,0.930829,0.986834,0,1,1,1,0.996241,0.0546717,0,0,-0,-0,-140,-140,8.64,8.64,
257787000,18567.3,1281.11,2.94961,11.8,-3300,0.980181,0,0,0.98993,0,0,0,1,0.987987,0.00525558,0.00300319,0.00150159,0.00225239,0.0480671,0.901674,0.0502591,0.99541,0.985371,0,1,1,1,1,0.942173,0,0,-0,-0,170,170,12.24,12.24,
248375000,16203.4,6639.82,3.72802,8.6,-3240,0.981289,0,0,0.99031,3.08255e-05,0,0,1,0,0.998408,0.00132651,0.000265302,0,0.0498532,0.899175,0.0509715,0.964437,0.997985,0,1,1,1,0.998673,0.0512368,0,0,-0,-0,-140,-140,8.64,8.64,
257787000,18193.3,1364.6,2.9147,12,-3240,0.980408,0,0,0.99007,2.05521e-05,0,0,1,0.997078,0.000265325,0.000532455,0.000531553,0.00159285,0.0499416,0.899403,0.0506551,0.998606,0.996641,0,1,1,1,1,0.948465,0,0,-0,-0,170,170,12.24,12.24,
