mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
257062170,60,22,18,15,0,29,29,29,29,29,port,
259299000,60,9,0,15,0,29,29,29,29,9,starboard,
257062170,120,22,18,17,0,29,29,29,29,29,port,
259299000,120,7,0,17,0,29,29,29,29,29,port,
257062170,180,21,18,18,0,29,29,29,29,29,port,
259299000,180,4,0,18,0,29,29,29,29,29,port,
257062170,240,21,18,19,0,29,29,29,29,29,port,
259299000,240,21,4,19,0,29,29,29,29,29,starboard,
257062170,300,21,18,19,0,29,29,29,29,29,port,
259299000,300,26,11,19,0,29,29,29,29,13,port,
257062170,360,21,18,19,29,29,29,29,29,29,port,
259299000,360,27,24,19,29,29,29,29,29,29,port,
257062170,420,21,18,17,29,29,23,29,29,29,port,
259299000,420,25,24,17,29,29,23,29,29,18,port,
257062170,480,21,18,15,29,26,10,29,29,29,port,
259299000,480,23,24,15,29,26,10,29,29,0,port,
257062170,540,21,17,12,29,9,3,29,20,29,port,
259299000,540,23,24,12,29,9,3,29,29,7,starboard,
257062170,600,21,18,10,29,11,4,29,23,21,port,
259299000,600,23,24,10,29,11,4,29,29,2,starboard,
257062170,660,21,18,7,24,8,3,29,19,13,port,
259299000,660,23,24,7,24,8,3,29,29,0,starboard,
257062170,720,23,18,5,17,7,3,29,29,2,port,
259299000,720,22,24,5,17,7,3,29,29,5,starboard,
257062170,780,23,18,3,9,7,3,29,29,4,port,
259299000,780,22,24,3,9,7,3,29,29,6,starboard,
257062170,840,24,18,1,1,6,2,29,29,5,port,
259299000,840,23,24,1,1,6,2,29,29,6,starboard,
257062170,900,24,18,1,0,5,2,29,29,8,port,
259299000,900,23,24,1,0,5,2,29,29,7,starboard,
257062170,960,25,18,4,0,7,2,29,29,16,port,
259299000,960,24,24,4,0,7,2,29,29,11,starboard,
257062170,1020,28,15,6,0,7,3,29,29,29,port,
259299000,1020,25,24,6,0,7,3,29,29,19,starboard,
257062170,1080,31,12,9,0,8,3,29,29,29,port,
259299000,1080,25,24,9,0,8,3,29,29,26,starboard,
257062170,1140,34,9,13,0,17,6,29,29,29,port,
259299000,1140,25,24,13,0,17,6,29,29,29,starboard,
