mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
219347000,3720,28,13,24,27,10,8,29,29,29,port,
271002639,3720,8,9,24,27,10,8,29,29,25,starboard,
219347000,3780,28,13,22,25,8,6,29,29,29,port,
271002639,3780,8,9,22,25,8,6,29,29,28,starboard,
219347000,3840,28,13,20,23,7,6,29,29,29,port,
271002639,3840,8,9,20,23,7,6,29,29,25,starboard,
219347000,3900,27,13,18,21,6,5,29,29,29,port,
271002639,3900,8,9,18,21,6,5,29,29,19,starboard,
219347000,3960,28,13,16,18,9,7,29,29,29,port,
271002639,3960,8,9,16,18,9,7,29,29,12,starboard,
219347000,4020,28,13,14,16,9,7,29,29,29,port,
271002639,4020,8,9,14,16,9,7,29,29,8,starboard,
219347000,4080,28,13,12,13,17,14,29,29,29,port,
271002639,4080,9,9,12,13,17,14,29,29,29,port,
219347000,4140,28,13,10,11,17,13,29,29,29,port,
271002639,4140,10,9,10,11,17,13,29,29,29,port,
219347000,4200,28,13,8,9,17,13,29,29,29,port,
271002639,4200,9,9,8,9,17,13,29,29,29,port,
219347000,4260,27,13,6,7,17,13,29,29,29,port,
271002639,4260,10,9,6,7,17,13,29,29,29,port,
219347000,4320,27,13,4,4,17,13,29,29,29,port,
271002639,4320,9,9,4,4,17,13,29,29,29,port,
219347000,4380,28,13,3,2,17,14,29,29,29,port,
271002639,4380,10,9,3,2,17,14,29,29,29,port,
219347000,4440,28,13,2,0,17,13,29,29,29,port,
271002639,4440,9,9,2,0,17,13,29,29,29,port,
219347000,4500,28,14,2,0,17,13,29,29,29,port,
271002639,4500,10,9,2,0,17,13,29,29,29,port,
