mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
219762000,240,24,3,26,29,29,29,29,29,29,starboard,
259540000,240,12,10,26,29,29,29,29,29,29,port,
219762000,300,24,3,26,29,29,21,29,29,29,starboard,
259540000,300,11,9,26,29,29,21,29,29,29,port,
219762000,360,23,3,25,29,29,26,29,29,29,starboard,
259540000,360,11,9,25,29,29,26,29,29,29,port,
219762000,420,23,3,25,29,29,19,29,29,29,starboard,
259540000,420,11,9,25,29,29,19,29,29,29,port,
219762000,480,22,3,24,29,29,14,29,29,29,starboard,
259540000,480,11,9,24,29,29,14,29,17,29,port,
219762000,540,23,3,24,29,29,22,29,29,29,starboard,
259540000,540,11,9,24,29,29,22,29,29,29,port,
219762000,600,24,3,23,29,29,25,29,29,29,starboard,
259540000,600,11,10,23,29,29,25,29,29,29,port,
219762000,660,23,3,23,29,29,14,29,29,29,starboard,
259540000,660,11,10,23,29,29,14,29,19,29,port,
219762000,720,23,3,22,29,29,17,29,29,29,starboard,
259540000,720,11,9,22,29,29,17,29,26,29,port,
219762000,780,24,3,22,29,29,21,29,29,29,starboard,
259540000,780,11,10,22,29,29,21,29,29,29,port,
219762000,840,23,3,21,29,29,21,29,29,29,starboard,
259540000,840,11,10,21,29,29,21,29,29,29,port,
219762000,900,23,3,21,29,29,14,29,29,29,starboard,
259540000,900,10,10,21,29,29,14,29,22,29,port,
219762000,960,23,3,20,29,29,16,29,29,29,starboard,
259540000,960,11,10,20,29,29,16,29,24,29,port,
219762000,1020,23,3,19,29,29,20,29,29,29,starboard,
259540000,1020,11,10,19,29,29,20,29,29,29,port,
219762000,1080,23,3,19,29,29,21,29,29,29,starboard,
259540000,1080,11,10,19,29,29,21,29,29,29,port,
219762000,1140,24,3,18,29,29,26,29,29,29,starboard,
259540000,1140,11,10,18,29,29,26,29,29,29,port,
219762000,1200,24,3,18,29,29,29,29,29,29,starboard,
259540000,1200,11,10,18,29,29,29,29,29,29,port,
219762000,1260,24,3,17,29,29,26,29,29,29,starboard,
259540000,1260,11,10,17,29,29,26,29,29,29,port,
219762000,1320,24,3,17,29,29,23,29,29,29,starboard,
259540000,1320,11,10,17,29,29,23,29,29,29,port,
219762000,1380,25,3,16,29,29,21,29,29,29,starboard,
259540000,1380,10,10,16,29,29,21,29,29,29,port,
219762000,1440,24,3,15,29,29,21,29,29,29,starboard,
259540000,1440,11,11,15,29,29,21,29,29,29,port,
219762000,1500,25,3,15,29,29,19,29,29,29,starboard,
259540000,1500,10,10,15,29,29,19,29,29,29,port,
219762000,1560,23,3,14,29,29,20,29,29,29,starboard,
259540000,1560,11,10,14,29,29,20,29,28,29,port,
219762000,1620,25,3,14,29,29,23,29,29,29,starboard,
259540000,1620,11,10,14,29,29,23,29,29,29,port,
219762000,1680,24,3,13,29,29,19,29,29,29,starboard,
259540000,1680,10,10,13,29,29,19,29,29,29,port,
