mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
219023588,60,12,9,27,29,29,14,29,28,29,starboard,
236112003,60,2,15,27,29,29,14,29,29,29,port,
219023588,120,12,9,26,29,29,14,29,28,29,starboard,
236112003,120,2,14,26,29,29,14,29,29,29,port,
219023588,180,11,9,26,29,29,17,29,29,29,starboard,
236112003,180,2,14,26,29,29,17,29,29,29,port,
219023588,240,12,9,25,29,29,18,29,29,29,starboard,
236112003,240,2,14,25,29,29,18,29,29,29,port,
219023588,300,11,8,24,29,29,16,29,29,29,starboard,
236112003,300,2,14,24,29,29,16,29,29,29,port,
219023588,360,12,9,23,29,29,14,29,29,29,starboard,
236112003,360,2,14,23,29,29,14,29,29,29,port,
219023588,420,11,8,22,29,17,6,29,13,29,starboard,
236112003,420,3,14,22,29,17,6,29,29,29,port,
219023588,480,11,9,22,29,0,0,0,0,29,starboard,
236112003,480,3,14,22,29,0,0,29,29,29,port,
219023588,540,12,9,21,29,3,1,29,29,29,starboard,
236112003,540,3,14,21,29,3,1,3,1,29,port,
219023588,600,12,9,20,29,7,3,29,29,29,starboard,
236112003,600,3,14,20,29,7,3,9,3,29,port,
219023588,660,11,8,20,29,11,4,29,29,29,starboard,
236112003,660,3,14,20,29,11,4,12,4,29,port,
219023588,720,11,9,19,29,9,3,29,29,29,starboard,
236112003,720,3,14,19,29,9,3,10,4,29,port,
219023588,780,12,9,18,29,5,2,29,29,29,starboard,
236112003,780,3,14,18,29,5,2,5,2,29,port,
219023588,840,12,9,17,28,11,4,29,29,29,starboard,
236112003,840,3,14,17,28,11,4,12,5,29,port,
219023588,900,12,9,17,26,9,3,29,29,29,starboard,
236112003,900,3,14,17,26,9,3,10,4,29,port,
219023588,960,11,9,16,27,18,7,29,29,29,starboard,
236112003,960,4,14,16,27,18,7,20,8,29,port,
219023588,1020,12,9,15,26,24,9,29,29,29,starboard,
236112003,1020,4,14,15,26,24,9,27,10,29,port,
219023588,1080,11,8,15,25,27,11,29,29,29,starboard,
236112003,1080,4,14,15,25,27,11,29,11,29,port,
219023588,1140,12,9,14,23,28,11,29,29,29,starboard,
236112003,1140,4,14,14,23,28,11,29,12,29,port,
219023588,1200,11,8,13,23,25,10,29,29,29,starboard,
236112003,1200,4,14,13,23,25,10,27,10,29,port,
219023588,1260,11,8,13,22,24,9,29,29,29,starboard,
236112003,1260,4,14,13,22,24,9,25,10,29,port,
219023588,1320,11,8,12,20,24,9,29,29,29,starboard,
236112003,1320,4,14,12,20,24,9,26,10,29,port,
219023588,1380,12,9,11,19,26,10,29,29,29,starboard,
236112003,1380,4,14,11,19,26,10,28,11,29,port,
219023588,1440,11,8,11,18,23,9,29,29,29,starboard,
236112003,1440,4,14,11,18,23,9,25,10,29,port,
219023588,1500,11,9,10,17,22,9,29,29,29,starboard,
236112003,1500,4,14,10,17,22,9,24,9,29,port,
219023588,1560,11,8,9,17,22,9,29,29,29,starboard,
236112003,1560,4,14,9,17,22,9,24,9,29,port,
219023588,1620,11,9,9,15,22,8,29,29,29,starboard,
236112003,1620,4,14,9,15,22,8,23,9,29,port,
219023588,1680,11,9,8,14,20,8,29,29,29,starboard,
236112003,1680,4,14,8,14,20,8,22,8,29,port,
219023588,1740,12,9,7,13,22,8,29,29,29,starboard,
236112003,1740,4,14,7,13,22,8,24,9,29,port,
219023588,1800,12,9,7,11,27,11,29,29,29,starboard,
236112003,1800,4,14,7,11,27,11,29,11,29,port,
219023588,1860,12,8,6,10,27,10,29,29,29,starboard,
236112003,1860,4,14,6,10,27,10,29,11,29,port,
219023588,1920,12,9,5,9,26,10,29,29,29,starboard,
236112003,1920,4,14,5,9,26,10,29,11,29,port,
219023588,1980,11,9,5,8,25,10,29,29,29,starboard,
236112003,1980,4,14,5,8,25,10,27,10,29,port,
219023588,2040,11,8,4,7,28,11,29,29,29,starboard,
236112003,2040,4,14,4,7,28,11,29,11,29,port,
219023588,2100,11,9,3,6,27,10,29,29,29,starboard,
236112003,2100,4,14,3,6,27,10,29,11,29,port,
219023588,2160,11,9,3,4,27,11,29,29,29,starboard,
236112003,2160,4,14,3,4,27,11,29,11,29,port,
219023588,2220,12,9,2,3,27,10,29,29,20,starboard,
236112003,2220,4,14,2,3,27,10,28,11,29,port,
219023588,2280,12,9,2,2,27,11,29,29,11,starboard,
236112003,2280,4,14,2,2,27,11,29,11,29,port,
219023588,2340,11,9,2,1,27,11,29,29,2,starboard,
236112003,2340,4,14,2,1,27,11,29,11,29,port,
219023588,2400,12,9,1,0,27,11,29,29,8,port,
236112003,2400,4,14,1,0,27,11,29,29,23,port,
219023588,2460,12,9,1,0,27,11,29,29,18,port,
236112003,2460,4,14,1,0,27,11,29,29,17,port,
