mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
219001518,3720,3,4,25,29,1,0,4,1,29,starboard,
636010990,3720,25,11,25,29,1,0,29,29,29,port,
219001518,3780,3,4,24,29,7,2,29,29,29,starboard,
636010990,3780,26,11,24,29,7,2,12,5,29,port,
219001518,3840,4,4,23,29,18,7,29,29,29,starboard,
636010990,3840,25,11,23,29,18,7,29,16,29,port,
219001518,3900,3,4,23,29,2,1,29,29,29,starboard,
636010990,3900,26,11,23,29,2,1,4,1,29,port,
219001518,3960,3,4,22,29,16,6,29,29,29,starboard,
636010990,3960,26,11,22,29,16,6,29,13,29,port,
219001518,4020,3,4,21,29,8,3,29,29,29,starboard,
636010990,4020,25,11,21,29,8,3,17,6,29,port,
219001518,4080,3,4,21,29,20,8,29,29,29,starboard,
636010990,4080,26,11,21,29,20,8,29,13,29,port,
219001518,4140,3,4,20,29,29,22,29,29,29,starboard,
636010990,4140,26,11,20,29,29,22,29,29,29,port,
219001518,4200,3,4,19,29,29,23,29,29,29,starboard,
636010990,4200,27,11,19,29,29,23,29,29,29,port,
219001518,4260,3,4,19,29,29,23,29,29,29,starboard,
636010990,4260,27,11,19,29,29,23,29,29,29,port,
219001518,4320,3,4,18,29,29,21,29,29,29,starboard,
636010990,4320,26,11,18,29,29,21,29,29,29,port,
219001518,4380,3,4,17,29,29,21,29,29,29,starboard,
636010990,4380,26,11,17,29,29,21,29,29,29,port,
219001518,4440,3,4,17,29,29,21,29,29,29,starboard,
636010990,4440,26,11,17,29,29,21,29,29,29,port,
219001518,4500,3,4,16,29,29,22,29,29,29,starboard,
636010990,4500,26,11,16,29,29,22,29,29,29,port,
219001518,4560,3,4,16,29,29,22,29,29,29,starboard,
636010990,4560,26,11,16,29,29,22,29,29,29,port,
219001518,4620,3,4,15,29,29,20,29,29,29,starboard,
636010990,4620,26,11,15,29,29,20,29,29,29,port,
219001518,4680,3,4,14,29,29,21,29,29,29,starboard,
636010990,4680,26,12,14,29,29,21,29,29,29,port,
219001518,4740,3,4,14,29,29,23,29,29,29,starboard,
636010990,4740,27,11,14,29,29,23,29,29,29,port,
219001518,4800,3,4,13,29,29,21,29,29,29,starboard,
636010990,4800,26,11,13,29,29,21,29,29,29,port,
219001518,4860,4,4,12,27,29,24,29,29,29,starboard,
636010990,4860,27,11,12,27,29,24,29,29,29,port,
219001518,4920,3,4,12,26,29,19,29,29,29,starboard,
636010990,4920,26,11,12,26,29,19,29,29,29,port,
219001518,4980,3,4,11,24,29,19,29,29,29,starboard,
636010990,4980,26,11,11,24,29,19,29,29,29,port,
219001518,5040,3,4,10,23,29,19,29,29,29,starboard,
636010990,5040,26,11,10,23,29,19,29,29,29,port,
219001518,5100,4,4,10,22,29,22,29,29,29,starboard,
636010990,5100,27,11,10,22,29,22,29,29,29,port,
219001518,5160,3,4,9,21,29,19,29,29,29,starboard,
636010990,5160,26,11,9,21,29,19,29,29,29,port,
219001518,5220,3,4,8,19,29,19,29,29,29,starboard,
636010990,5220,26,11,8,19,29,19,29,29,29,port,
219001518,5280,4,3,8,18,29,22,29,29,22,starboard,
636010990,5280,26,11,8,18,29,22,29,29,29,port,
219001518,5340,3,4,7,16,29,19,29,29,26,starboard,
636010990,5340,26,11,7,16,29,19,29,29,29,port,
219001518,5400,3,4,7,14,29,20,29,29,13,starboard,
636010990,5400,26,11,7,14,29,20,29,29,29,port,
219001518,5460,3,4,6,13,29,21,29,29,10,starboard,
636010990,5460,27,11,6,13,29,21,29,29,29,port,
219001518,5520,3,4,6,12,29,20,29,29,5,starboard,
636010990,5520,26,11,6,12,29,20,29,29,29,port,
219001518,5580,4,4,5,10,29,20,29,29,4,port,
636010990,5580,26,11,5,10,29,20,29,29,29,port,
219001518,5640,4,4,5,8,29,20,29,29,10,port,
636010990,5640,26,11,5,8,29,20,29,29,29,port,
219001518,5700,3,4,4,7,29,20,29,29,14,port,
636010990,5700,26,11,4,7,29,20,29,29,29,port,
219001518,5760,3,5,4,5,29,20,29,29,18,port,
636010990,5760,26,11,4,5,29,20,29,29,29,port,
219001518,5820,3,4,3,4,29,20,29,29,23,port,
636010990,5820,26,11,3,4,29,20,29,29,29,port,
219001518,5880,3,4,3,2,29,20,29,29,29,port,
636010990,5880,26,11,3,2,29,20,29,29,29,port,
219001518,5940,3,4,3,1,29,20,29,29,29,port,
636010990,5940,26,11,3,1,29,20,29,29,29,port,
219001518,6000,3,4,3,0,29,20,29,29,29,port,
636010990,6000,26,11,3,0,29,20,29,29,29,port,
219001518,6060,3,4,3,0,29,20,29,29,29,port,
636010990,6060,26,11,3,0,29,20,29,29,29,port,
