mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
205453000,300,11,21,24,22,6,2,29,29,29,port,
218057000,300,26,17,24,22,6,2,29,12,29,starboard,
205453000,360,11,21,22,20,11,4,29,29,29,port,
218057000,360,26,17,22,20,11,4,29,21,29,starboard,
205453000,420,11,21,21,19,9,3,29,29,29,port,
218057000,420,26,17,21,19,9,3,29,16,29,starboard,
205453000,480,11,21,19,17,10,4,29,29,29,port,
218057000,480,26,18,19,17,10,4,29,18,29,starboard,
205453000,540,11,21,17,15,7,2,29,29,29,port,
218057000,540,26,18,17,15,7,2,29,12,29,starboard,
205453000,600,11,21,16,14,6,2,28,11,29,port,
218057000,600,27,18,16,14,6,2,29,29,29,starboard,
205453000,660,11,21,14,12,15,6,29,29,29,port,
218057000,660,27,18,14,12,15,6,29,29,23,starboard,
205453000,720,12,21,12,11,23,9,29,29,29,port,
218057000,720,27,18,12,11,23,9,29,29,18,starboard,
205453000,780,12,21,10,9,25,10,29,29,29,port,
218057000,780,27,18,10,9,25,10,29,29,10,starboard,
205453000,840,12,21,9,7,24,9,29,29,29,port,
218057000,840,27,18,9,7,24,9,29,29,6,starboard,
205453000,900,12,21,7,6,27,10,29,29,29,port,
218057000,900,27,18,7,6,27,10,29,29,0,port,
205453000,960,12,21,5,4,27,10,29,29,29,port,
218057000,960,27,18,5,4,27,10,29,29,6,port,
205453000,1020,12,20,4,3,28,11,29,29,29,port,
218057000,1020,28,18,4,3,28,11,29,29,17,port,
205453000,1080,11,20,2,1,26,10,29,29,28,port,
218057000,1080,28,18,2,1,26,10,29,29,24,port,
205453000,1140,9,19,1,0,25,10,29,29,24,port,
218057000,1140,29,17,1,0,25,10,29,29,26,port,
205453000,1200,8,19,1,0,25,10,29,29,28,port,
218057000,1200,30,17,1,0,25,10,29,29,19,port,
