mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
236342000,120,26,14,15,15,28,11,29,29,26,port,
257409000,120,8,20,15,15,28,11,29,29,29,port,
236342000,180,26,14,13,13,28,11,29,29,26,port,
257409000,180,8,20,13,13,28,11,29,29,29,port,
236342000,240,26,14,12,11,28,11,29,29,24,port,
257409000,240,8,20,12,11,28,11,29,29,29,port,
236342000,300,26,14,10,10,29,12,29,29,27,port,
257409000,300,8,20,10,10,29,12,29,29,29,port,
236342000,360,28,13,9,8,29,17,29,29,29,port,
257409000,360,8,20,9,8,29,17,29,29,29,port,
236342000,420,28,13,7,7,29,18,29,29,29,port,
257409000,420,8,20,7,7,29,18,29,29,29,port,
236342000,480,28,13,6,5,29,18,29,29,29,port,
257409000,480,8,20,6,5,29,18,29,29,29,port,
236342000,540,28,13,5,4,29,18,29,29,29,port,
257409000,540,8,20,5,4,29,18,29,29,29,port,
236342000,600,28,13,4,2,29,19,29,29,29,port,
257409000,600,8,20,4,2,29,19,29,29,29,port,
236342000,660,28,13,3,1,29,18,29,29,29,port,
257409000,660,8,20,3,1,29,18,29,29,29,port,
236342000,720,28,13,3,0,29,18,29,29,29,port,
257409000,720,8,20,3,0,29,18,29,29,29,port,
