mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
211200040,300,10,8,28,29,18,7,29,29,5,starboard,
259351000,300,27,8,28,29,18,7,29,29,29,starboard,
211200040,360,10,8,26,29,5,2,29,29,13,port,
259351000,360,27,7,26,29,5,2,29,21,25,starboard,
211200040,420,10,7,24,29,2,0,29,29,10,port,
259351000,420,27,8,24,29,2,0,29,13,14,starboard,
211200040,480,8,8,23,29,29,13,29,29,29,starboard,
259351000,480,27,7,23,29,29,13,29,29,14,starboard,
211200040,540,8,8,21,29,26,10,29,29,29,starboard,
259351000,540,27,8,21,29,26,10,29,29,10,starboard,
211200040,600,8,9,20,29,26,10,29,29,29,starboard,
259351000,600,27,8,20,29,26,10,29,29,14,starboard,
211200040,660,8,9,18,29,28,11,29,29,29,starboard,
259351000,660,27,8,18,29,28,11,29,29,20,starboard,
211200040,720,9,9,16,29,29,12,29,29,29,starboard,
259351000,720,27,8,16,29,29,12,29,29,28,starboard,
211200040,780,9,10,15,29,16,6,29,29,14,starboard,
259351000,780,27,8,15,29,16,6,29,29,19,starboard,
211200040,840,9,10,13,29,23,9,29,29,24,starboard,
259351000,840,27,8,13,29,23,9,29,29,22,starboard,
211200040,900,8,10,11,29,27,10,29,29,29,starboard,
259351000,900,27,8,11,29,27,10,29,29,22,starboard,
211200040,960,7,8,10,29,29,13,29,29,29,starboard,
259351000,960,27,8,10,29,29,13,29,29,21,starboard,
211200040,1020,8,9,8,29,26,10,29,29,29,starboard,
259351000,1020,27,8,8,29,26,10,29,29,21,starboard,
211200040,1080,7,9,6,25,29,12,29,29,29,starboard,
259351000,1080,27,8,6,25,29,12,29,29,22,starboard,
211200040,1140,9,9,5,19,23,9,29,29,24,starboard,
259351000,1140,27,8,5,19,23,9,29,29,22,starboard,
211200040,1200,9,9,4,11,24,9,29,29,24,starboard,
259351000,1200,27,8,4,11,24,9,29,29,23,starboard,
211200040,1260,9,9,3,4,23,9,29,29,23,starboard,
259351000,1260,27,8,3,4,23,9,29,29,23,starboard,
211200040,1320,10,9,3,0,23,9,29,29,23,starboard,
259351000,1320,27,8,3,0,23,9,29,29,23,starboard,
