mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
234629000,-780,30,14,13,21,12,4,29,29,29,port,
244870420,-780,8,13,13,21,12,4,29,14,29,starboard,
234629000,-720,31,14,12,19,7,3,29,29,29,port,
244870420,-720,8,13,12,19,7,3,22,9,29,starboard,
234629000,-660,31,13,11,17,8,3,29,29,29,port,
244870420,-660,8,13,11,17,8,3,24,9,29,starboard,
234629000,-600,31,13,10,15,11,4,29,29,29,port,
244870420,-600,8,13,10,15,11,4,29,12,29,starboard,
234629000,-540,30,13,8,13,12,4,29,29,27,port,
244870420,-540,8,13,8,13,12,4,29,14,29,starboard,
234629000,-480,30,13,7,11,4,1,21,8,22,port,
244870420,-480,10,13,7,11,4,1,29,29,14,starboard,
234629000,-420,31,13,6,8,17,7,29,29,23,port,
244870420,-420,12,13,6,8,17,7,29,29,12,port,
234629000,-360,31,14,4,6,18,7,29,29,23,port,
244870420,-360,12,14,4,6,18,7,29,29,13,port,
234629000,-300,31,14,3,4,18,7,29,29,20,port,
244870420,-300,12,14,3,4,18,7,29,29,16,port,
234629000,-240,31,14,2,2,18,7,29,29,20,port,
244870420,-240,12,14,2,2,18,7,29,29,17,port,
234629000,-180,30,9,1,0,18,7,29,29,18,port,
244870420,-180,11,14,1,0,18,7,29,29,17,port,
234629000,-120,30,7,1,0,16,6,29,29,13,port,
244870420,-120,8,12,1,0,16,6,29,29,17,port,
