mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
235070283,240,17,4,26,27,29,29,29,29,26,port,
477925900,240,27,18,26,27,29,29,29,29,29,starboard,
235070283,300,18,4,26,29,29,29,29,29,29,port,
477925900,300,27,18,26,29,29,29,29,29,29,starboard,
235070283,360,19,5,25,29,29,29,29,29,29,port,
477925900,360,27,18,25,29,29,29,29,29,29,starboard,
235070283,420,19,5,25,29,29,29,29,29,29,port,
477925900,420,27,18,25,29,29,29,29,29,29,starboard,
235070283,480,19,6,25,29,29,29,29,29,29,port,
477925900,480,27,18,25,29,29,29,29,29,29,starboard,
235070283,540,20,7,24,29,29,29,29,29,29,port,
477925900,540,27,18,24,29,29,29,29,29,29,starboard,
235070283,600,21,8,24,29,29,29,29,29,29,port,
477925900,600,27,18,24,29,29,29,29,29,29,starboard,
235070283,660,21,9,23,29,29,29,29,29,29,port,
477925900,660,27,18,23,29,29,29,29,29,29,starboard,
235070283,720,21,9,23,29,29,29,29,29,29,port,
477925900,720,27,18,23,29,29,29,29,29,29,starboard,
235070283,780,23,10,23,29,29,29,29,29,29,port,
477925900,780,27,18,23,29,29,29,29,29,29,starboard,
235070283,840,23,10,22,29,29,29,29,29,29,port,
477925900,840,27,18,22,29,29,29,29,29,29,starboard,
235070283,900,23,11,22,29,29,29,29,29,29,port,
477925900,900,27,18,22,29,29,29,29,29,29,starboard,
235070283,960,24,11,22,29,29,29,29,29,29,port,
477925900,960,27,19,22,29,29,29,29,29,29,starboard,
235070283,1020,24,11,22,29,29,29,29,29,29,port,
477925900,1020,27,18,22,29,29,29,29,29,29,starboard,
235070283,1080,24,12,21,29,29,29,29,29,29,port,
477925900,1080,28,18,21,29,29,29,29,29,29,starboard,
235070283,1140,24,12,21,29,29,29,29,29,29,port,
477925900,1140,28,18,21,29,29,29,29,29,29,starboard,
235070283,1200,24,12,20,29,29,29,29,29,29,port,
477925900,1200,28,18,20,29,29,29,29,29,29,starboard,
235070283,1260,24,13,20,29,29,29,29,29,29,port,
477925900,1260,28,18,20,29,29,29,29,29,29,starboard,
235070283,1320,24,13,20,29,29,29,29,29,29,port,
477925900,1320,28,18,20,29,29,29,29,29,29,starboard,
235070283,1380,24,13,19,29,29,29,29,29,29,port,
477925900,1380,28,18,19,29,29,29,29,29,29,starboard,
235070283,1440,24,14,19,29,29,29,29,29,29,port,
477925900,1440,28,18,19,29,29,29,29,29,29,starboard,
235070283,1500,24,14,18,29,29,29,29,29,29,port,
477925900,1500,28,18,18,29,29,29,29,29,29,starboard,
235070283,1560,24,14,18,29,29,29,29,29,29,port,
477925900,1560,28,18,18,29,29,29,29,29,29,starboard,
235070283,1620,24,14,17,29,29,29,29,29,29,port,
477925900,1620,29,18,17,29,29,29,29,29,29,starboard,
235070283,1680,23,14,17,29,29,29,29,29,29,port,
477925900,1680,30,17,17,29,29,29,29,29,29,starboard,
235070283,1740,23,15,16,29,29,29,29,29,29,port,
477925900,1740,30,17,16,29,29,29,29,29,29,starboard,
235070283,1800,23,15,15,29,29,29,29,29,29,port,
477925900,1800,30,17,15,29,29,29,29,29,29,starboard,
235070283,1860,23,15,15,29,29,29,29,29,29,port,
477925900,1860,31,17,15,29,29,29,29,29,29,starboard,
235070283,1920,22,15,14,26,29,29,29,29,29,port,
477925900,1920,31,17,14,26,29,29,29,29,29,starboard,
235070283,1980,22,15,13,23,29,29,29,29,29,port,
477925900,1980,31,17,13,23,29,29,29,29,29,starboard,
235070283,2040,22,15,12,20,29,29,29,29,29,port,
477925900,2040,31,17,12,20,29,29,29,29,29,starboard,
235070283,2100,22,15,11,17,29,29,29,29,24,port,
477925900,2100,31,17,11,17,29,29,29,29,29,starboard,
235070283,2160,21,15,10,15,29,29,29,29,6,port,
477925900,2160,31,17,10,15,29,29,29,29,29,starboard,
235070283,2220,21,15,10,12,29,29,29,29,10,starboard,
477925900,2220,31,17,10,12,29,29,29,29,29,starboard,
235070283,2280,21,15,9,10,29,29,29,29,26,starboard,
477925900,2280,31,17,9,10,29,29,29,29,29,starboard,
235070283,2340,20,15,8,7,29,29,29,29,29,starboard,
477925900,2340,31,17,8,7,29,29,29,29,29,starboard,
