mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
210445000,240,10,9,19,29,29,29,29,29,29,starboard,
219829000,240,6,6,19,29,29,29,29,29,29,port,
210445000,300,10,9,19,29,29,29,29,29,29,starboard,
219829000,300,6,6,19,29,29,29,29,29,29,port,
210445000,360,10,9,18,29,29,29,29,29,29,starboard,
219829000,360,7,6,18,29,29,29,29,29,29,port,
210445000,420,13,8,18,29,12,10,27,10,29,starboard,
219829000,420,7,6,18,29,12,10,29,29,29,port,
210445000,480,18,8,17,20,29,27,29,29,8,starboard,
219829000,480,7,6,17,20,29,27,29,29,29,port,
210445000,540,18,10,16,17,24,19,29,29,22,starboard,
219829000,540,7,6,16,17,24,19,29,29,29,port,
210445000,600,16,11,15,17,8,6,29,29,29,starboard,
219829000,600,7,6,15,17,8,6,29,14,29,port,
210445000,660,16,12,14,15,1,1,29,29,29,starboard,
219829000,660,6,6,14,15,1,1,8,3,29,port,
210445000,720,16,12,13,14,0,0,0,0,29,starboard,
219829000,720,6,6,13,14,0,0,29,29,29,port,
210445000,780,15,12,12,13,2,1,5,2,29,starboard,
219829000,780,6,6,12,13,2,1,29,29,29,port,
210445000,840,15,12,11,11,4,3,10,4,29,starboard,
219829000,840,6,6,11,11,4,3,29,29,29,port,
210445000,900,15,12,10,10,6,4,14,5,29,starboard,
219829000,900,6,6,10,10,6,4,29,29,29,port,
210445000,960,15,13,9,9,7,5,16,6,29,starboard,
219829000,960,6,6,9,9,7,5,29,29,29,port,
210445000,1020,15,13,8,8,8,6,18,7,29,starboard,
219829000,1020,6,6,8,8,8,6,29,29,29,port,
210445000,1080,14,13,7,7,8,7,19,7,29,starboard,
219829000,1080,6,6,7,7,8,7,29,29,29,port,
210445000,1140,14,13,6,6,10,8,21,8,29,starboard,
219829000,1140,6,6,6,6,10,8,29,29,29,port,
210445000,1200,14,13,5,5,12,9,25,10,29,starboard,
219829000,1200,6,6,5,5,12,9,29,29,29,port,
210445000,1260,13,13,4,4,12,10,26,10,29,starboard,
219829000,1260,6,6,4,4,12,10,29,29,25,port,
210445000,1320,13,13,3,3,13,10,26,10,29,starboard,
219829000,1320,6,6,3,3,13,10,29,29,17,port,
210445000,1380,13,13,3,1,13,10,26,10,29,starboard,
219829000,1380,6,6,3,1,13,10,29,29,7,port,
210445000,1440,13,12,2,0,13,10,26,10,25,starboard,
219829000,1440,6,6,2,0,13,10,29,29,0,port,
210445000,1500,13,13,2,0,13,10,29,29,20,starboard,
219829000,1500,6,6,2,0,13,10,29,29,8,starboard,
