mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
219339000,120,25,4,27,24,28,17,29,29,4,starboard,
220628000,120,6,8,27,24,28,17,29,29,29,starboard,
219339000,180,25,4,26,23,29,17,29,29,8,starboard,
220628000,180,6,8,26,23,29,17,29,29,29,starboard,
219339000,240,25,4,25,22,25,15,29,29,7,starboard,
220628000,240,7,8,25,22,25,15,29,29,29,starboard,
219339000,300,25,4,23,21,26,15,29,29,7,starboard,
220628000,300,6,8,23,21,26,15,29,29,29,starboard,
219339000,360,25,4,22,20,28,17,29,29,10,starboard,
220628000,360,6,8,22,20,28,17,29,29,29,starboard,
219339000,420,25,4,21,19,26,16,29,29,9,starboard,
220628000,420,6,8,21,19,26,16,29,29,29,starboard,
219339000,480,25,4,20,18,28,17,29,29,9,starboard,
220628000,480,6,8,20,18,28,17,29,29,29,starboard,
219339000,540,25,4,19,17,27,16,29,29,9,starboard,
220628000,540,6,8,19,17,27,16,29,29,29,starboard,
219339000,600,25,4,18,16,27,16,29,29,12,starboard,
220628000,600,6,8,18,16,27,16,29,29,29,starboard,
219339000,660,25,4,17,14,26,15,29,29,11,starboard,
220628000,660,6,8,17,14,26,15,29,29,29,starboard,
219339000,720,25,4,16,14,26,15,29,29,11,starboard,
220628000,720,6,8,16,14,26,15,29,29,29,starboard,
219339000,780,25,4,15,12,26,15,29,29,11,starboard,
220628000,780,6,8,15,12,26,15,29,29,29,starboard,
219339000,840,25,4,13,11,27,16,29,29,14,starboard,
220628000,840,6,8,13,11,27,16,29,29,29,starboard,
219339000,900,25,4,12,10,29,17,29,29,23,starboard,
220628000,900,6,8,12,10,29,17,29,29,29,starboard,
219339000,960,25,4,11,9,28,17,29,29,23,starboard,
220628000,960,6,8,11,9,28,17,29,29,29,starboard,
219339000,1020,25,4,10,8,29,17,29,29,24,starboard,
220628000,1020,6,8,10,8,29,17,29,29,29,starboard,
219339000,1080,25,4,9,7,29,17,29,29,24,starboard,
220628000,1080,6,8,9,7,29,17,29,29,29,starboard,
219339000,1140,25,4,8,6,29,18,29,29,26,starboard,
220628000,1140,6,8,8,6,29,18,29,29,29,starboard,
219339000,1200,25,4,7,5,29,17,29,29,24,starboard,
220628000,1200,6,8,7,5,29,17,29,29,29,starboard,
219339000,1260,25,4,6,4,29,17,29,29,25,starboard,
220628000,1260,6,8,6,4,29,17,29,29,29,starboard,
219339000,1320,25,4,5,3,29,17,29,29,25,starboard,
220628000,1320,6,8,5,3,29,17,29,29,29,starboard,
219339000,1380,25,4,4,2,29,17,29,29,27,starboard,
220628000,1380,6,8,4,2,29,17,29,29,29,starboard,
219339000,1440,25,4,3,1,28,17,29,29,27,starboard,
220628000,1440,6,8,3,1,28,17,29,29,29,starboard,
219339000,1500,25,4,3,0,29,17,29,29,28,starboard,
220628000,1500,6,8,3,0,29,17,29,29,29,starboard,
219339000,1560,25,4,2,0,29,17,29,29,29,starboard,
220628000,1560,6,8,2,0,29,17,29,29,29,starboard,
