mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
258096730,180,29,9,29,29,29,29,29,29,29,starboard,
710428000,180,24,5,29,29,29,29,29,29,29,port,
258096730,240,30,10,29,29,29,29,29,29,29,starboard,
710428000,240,24,5,29,29,29,29,29,29,29,port,
258096730,300,29,10,28,29,29,29,29,29,29,starboard,
710428000,300,24,5,28,29,29,29,29,29,29,port,
258096730,360,29,10,28,29,29,29,29,29,29,starboard,
710428000,360,24,5,28,29,29,29,29,29,29,port,
258096730,420,30,9,28,29,29,29,29,29,29,starboard,
710428000,420,24,5,28,29,29,29,29,29,29,port,
258096730,480,29,9,28,29,29,29,29,29,29,starboard,
710428000,480,24,5,28,29,29,29,29,29,29,port,
258096730,540,29,9,27,29,29,29,29,29,29,starboard,
710428000,540,24,5,27,29,29,29,29,29,29,port,
258096730,600,29,9,27,29,29,29,29,29,29,starboard,
710428000,600,24,5,27,29,29,29,29,29,29,port,
258096730,660,29,9,27,29,29,29,29,29,29,starboard,
710428000,660,24,5,27,29,29,29,29,29,29,port,
258096730,720,29,9,26,29,29,29,29,29,29,starboard,
710428000,720,24,5,26,29,29,29,29,29,29,port,
258096730,780,29,9,26,29,29,29,29,29,29,starboard,
710428000,780,24,5,26,29,29,29,29,29,29,port,
258096730,840,29,8,26,29,29,29,29,29,29,starboard,
710428000,840,24,5,26,29,29,29,29,29,29,port,
258096730,900,29,8,25,29,29,29,29,29,29,starboard,
710428000,900,24,5,25,29,29,29,29,29,29,port,
258096730,960,29,8,25,29,29,24,29,25,29,starboard,
710428000,960,24,5,25,29,29,24,29,29,29,port,
258096730,1020,33,7,25,29,29,29,29,29,29,starboard,
710428000,1020,24,5,25,29,29,29,29,29,29,port,
258096730,1080,31,6,24,29,29,19,29,29,29,starboard,
710428000,1080,25,5,24,29,29,19,29,26,29,port,
258096730,1140,33,8,24,29,29,29,29,29,29,starboard,
710428000,1140,25,5,24,29,29,29,29,29,29,port,
258096730,1200,32,9,24,29,29,15,29,29,29,starboard,
710428000,1200,25,4,24,29,29,15,29,29,29,port,
258096730,1260,32,7,23,29,29,18,29,29,29,starboard,
710428000,1260,25,4,23,29,29,18,29,29,29,port,
258096730,1320,32,7,23,29,29,24,29,29,29,starboard,
710428000,1320,25,4,23,29,29,24,29,29,29,port,
258096730,1380,32,7,23,29,29,28,29,29,29,starboard,
710428000,1380,25,4,23,29,29,28,29,29,29,port,
258096730,1440,32,7,22,29,29,26,29,29,29,starboard,
710428000,1440,25,4,22,29,29,26,29,29,29,port,
258096730,1500,33,8,22,29,29,27,29,29,29,starboard,
710428000,1500,25,4,22,29,29,27,29,29,29,port,
258096730,1560,32,8,22,29,29,26,29,29,29,starboard,
710428000,1560,24,4,22,29,29,26,29,29,29,port,
258096730,1620,32,8,21,29,29,22,29,29,29,starboard,
710428000,1620,24,4,21,29,29,22,29,29,29,port,
258096730,1680,32,10,21,29,28,11,29,29,29,starboard,
710428000,1680,24,4,21,29,28,11,29,25,29,port,
258096730,1740,32,9,20,29,29,15,29,29,29,starboard,
710428000,1740,24,4,20,29,29,15,29,29,29,port,
258096730,1800,32,10,20,29,24,9,29,29,29,starboard,
710428000,1800,24,5,20,29,24,9,29,20,29,port,
258096730,1860,33,10,19,29,29,21,29,29,29,starboard,
710428000,1860,24,5,19,29,29,21,29,29,29,port,
258096730,1920,32,10,19,29,29,18,29,29,29,starboard,
710428000,1920,24,5,19,29,29,18,29,29,29,port,
258096730,1980,32,10,18,29,22,9,29,29,29,starboard,
710428000,1980,24,5,18,29,22,9,29,16,29,port,
258096730,2040,31,10,18,29,2,0,29,29,29,starboard,
710428000,2040,24,5,18,29,2,0,4,1,29,port,
258096730,2100,30,10,17,29,29,13,29,13,29,starboard,
710428000,2100,24,5,17,29,29,13,29,29,29,port,
258096730,2160,31,10,17,29,23,9,23,9,29,starboard,
710428000,2160,24,6,17,29,23,9,29,29,29,port,
258096730,2220,31,10,17,29,23,9,23,9,29,starboard,
710428000,2220,24,6,17,29,23,9,29,29,29,port,
258096730,2280,31,10,16,29,19,7,19,7,29,starboard,
710428000,2280,24,6,16,29,19,7,29,29,29,port,
258096730,2340,31,10,16,29,17,6,17,7,29,starboard,
710428000,2340,24,6,16,29,17,6,29,29,29,port,
258096730,2400,30,10,15,29,20,8,20,8,29,starboard,
710428000,2400,24,6,15,29,20,8,29,29,29,port,
258096730,2460,31,11,15,29,21,8,21,8,29,starboard,
710428000,2460,25,6,15,29,21,8,29,29,29,port,
258096730,2520,31,10,14,29,12,5,12,5,29,starboard,
710428000,2520,24,6,14,29,12,5,29,29,29,port,
258096730,2580,31,11,14,29,12,4,12,5,29,starboard,
710428000,2580,24,6,14,29,12,4,29,29,29,port,
258096730,2640,31,11,14,29,15,6,15,6,29,starboard,
710428000,2640,25,6,14,29,15,6,29,29,29,port,
258096730,2700,30,11,13,29,27,10,27,10,29,starboard,
710428000,2700,25,6,13,29,27,10,29,29,29,port,
258096730,2760,30,11,13,29,22,8,22,9,29,starboard,
710428000,2760,24,6,13,29,22,8,29,29,29,port,
258096730,2820,30,11,12,29,29,14,29,14,29,starboard,
710428000,2820,25,6,12,29,29,14,29,29,29,port,
258096730,2880,30,10,12,29,29,11,29,11,29,starboard,
710428000,2880,24,7,12,29,29,11,29,29,29,port,
258096730,2940,29,11,11,29,29,17,29,17,29,starboard,
710428000,2940,25,7,11,29,29,17,29,29,29,port,
258096730,3000,30,11,11,29,28,11,28,11,29,starboard,
710428000,3000,24,7,11,29,28,11,29,29,29,port,
258096730,3060,30,11,11,29,20,8,20,8,29,starboard,
710428000,3060,24,7,11,29,20,8,29,29,29,port,
258096730,3120,30,11,10,29,29,12,29,12,29,starboard,
