mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
209204000,1140,8,8,28,29,27,10,29,29,29,port,
636092000,1140,26,16,28,29,27,10,29,29,25,port,
209204000,1200,8,8,27,29,27,11,29,29,29,port,
636092000,1200,26,16,27,29,27,11,29,29,26,port,
209204000,1260,8,8,26,29,27,10,29,29,29,port,
636092000,1260,26,16,26,29,27,10,29,29,26,port,
209204000,1320,8,8,24,29,28,11,29,29,29,port,
636092000,1320,26,16,24,29,28,11,29,29,26,port,
209204000,1380,8,8,23,29,29,12,29,29,29,port,
636092000,1380,26,16,23,29,29,12,29,29,29,port,
209204000,1440,8,8,22,29,29,12,29,29,29,port,
636092000,1440,26,16,22,29,29,12,29,29,29,port,
209204000,1500,8,8,21,28,29,12,29,29,29,port,
636092000,1500,26,17,21,28,29,12,29,29,29,port,
209204000,1560,8,8,20,27,29,12,29,29,29,port,
636092000,1560,26,16,20,27,29,12,29,29,29,port,
209204000,1620,8,8,19,26,29,12,29,29,29,port,
636092000,1620,26,16,19,26,29,12,29,29,29,port,
209204000,1680,8,8,18,24,29,13,29,29,29,port,
636092000,1680,26,16,18,24,29,13,29,29,29,port,
209204000,1740,8,8,17,23,29,11,29,29,22,port,
636092000,1740,26,16,17,23,29,11,29,29,29,port,
209204000,1800,8,8,15,21,29,12,29,29,22,port,
636092000,1800,27,16,15,21,29,12,29,29,29,port,
209204000,1860,8,8,14,19,29,11,29,29,19,port,
636092000,1860,27,16,14,19,29,11,29,29,29,port,
209204000,1920,8,9,13,18,29,12,29,29,20,port,
636092000,1920,27,16,13,18,29,12,29,29,29,port,
209204000,1980,8,9,12,16,29,11,29,29,19,port,
636092000,1980,27,16,12,16,29,11,29,29,29,port,
209204000,2040,8,9,11,14,26,10,29,29,18,port,
636092000,2040,26,16,11,14,26,10,29,29,29,port,
209204000,2100,8,9,10,13,27,10,29,29,19,port,
636092000,2100,26,16,10,13,27,10,29,29,29,port,
209204000,2160,8,9,9,11,26,10,29,29,18,port,
636092000,2160,26,16,9,11,26,10,29,29,29,port,
209204000,2220,8,9,7,10,28,11,29,29,24,port,
636092000,2220,26,16,7,10,28,11,29,29,29,port,
209204000,2280,9,9,6,8,29,12,29,29,29,port,
636092000,2280,26,16,6,8,29,12,29,29,29,port,
209204000,2340,9,9,5,7,29,14,29,29,29,port,
636092000,2340,26,16,5,7,29,14,29,29,29,port,
209204000,2400,10,9,4,5,29,15,29,29,29,port,
636092000,2400,26,16,4,5,29,15,29,29,29,port,
209204000,2460,10,9,3,3,29,15,29,29,29,port,
636092000,2460,26,16,3,3,29,15,29,29,29,port,
209204000,2520,10,9,3,2,29,15,29,29,29,port,
636092000,2520,26,16,3,2,29,15,29,29,29,port,
209204000,2580,10,9,2,0,29,15,29,29,29,port,
636092000,2580,26,16,2,0,29,15,29,29,29,port,
209204000,2640,10,9,2,0,29,15,29,29,29,port,
636092000,2640,26,16,2,0,29,15,29,29,29,port,
