mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
220620000,1380,27,7,28,24,8,4,29,29,29,port,
740339000,1380,7,6,28,24,8,4,29,29,25,starboard,
220620000,1440,27,7,27,23,6,3,29,29,29,port,
740339000,1440,7,6,27,23,6,3,29,29,23,starboard,
220620000,1500,27,7,26,22,7,4,29,29,29,port,
740339000,1500,7,6,26,22,7,4,29,29,22,starboard,
220620000,1560,27,7,25,21,7,4,29,29,29,port,
740339000,1560,7,6,25,21,7,4,29,29,20,starboard,
220620000,1620,27,7,24,20,8,5,29,29,29,port,
740339000,1620,7,6,24,20,8,5,29,29,19,starboard,
220620000,1680,27,7,23,19,8,5,29,29,29,port,
740339000,1680,7,6,23,19,8,5,29,29,17,starboard,
220620000,1740,27,7,21,18,6,3,29,29,26,port,
740339000,1740,7,6,21,18,6,3,29,29,16,starboard,
220620000,1800,27,7,20,17,12,7,29,29,24,port,
740339000,1800,8,6,20,17,12,7,29,29,1,starboard,
220620000,1860,27,7,19,16,21,13,29,29,27,port,
740339000,1860,8,6,19,16,21,13,29,29,14,port,
220620000,1920,27,7,18,15,27,16,29,29,29,port,
740339000,1920,9,6,18,15,27,16,29,29,25,port,
220620000,1980,27,7,17,14,27,16,29,29,29,port,
740339000,1980,8,6,17,14,27,16,29,29,23,port,
220620000,2040,27,7,16,13,28,17,29,29,29,port,
740339000,2040,9,6,16,13,28,17,29,29,26,port,
220620000,2100,27,7,15,12,29,17,29,29,29,port,
740339000,2100,9,6,15,12,29,17,29,29,28,port,
220620000,2160,27,7,13,11,29,17,29,29,29,port,
740339000,2160,9,6,13,11,29,17,29,29,28,port,
220620000,2220,27,7,12,10,29,17,29,29,29,port,
740339000,2220,9,6,12,10,29,17,29,29,27,port,
220620000,2280,27,7,11,9,29,18,29,29,29,port,
740339000,2280,9,6,11,9,29,18,29,29,28,port,
220620000,2340,27,7,10,8,29,18,29,29,29,port,
740339000,2340,9,6,10,8,29,18,29,29,29,port,
220620000,2400,27,7,9,7,29,18,29,29,29,port,
740339000,2400,9,6,9,7,29,18,29,29,29,port,
220620000,2460,27,7,8,6,29,19,29,29,29,port,
740339000,2460,9,5,8,6,29,19,29,29,29,port,
220620000,2520,27,7,7,5,29,18,29,29,29,port,
740339000,2520,9,6,7,5,29,18,29,29,29,port,
220620000,2580,27,7,6,4,29,18,29,29,29,port,
740339000,2580,9,6,6,4,29,18,29,29,28,port,
220620000,2640,27,7,5,3,29,18,29,29,29,port,
740339000,2640,9,6,5,3,29,18,29,29,29,port,
220620000,2700,27,7,4,2,29,17,29,29,29,port,
740339000,2700,9,6,4,2,29,17,29,29,29,port,
220620000,2760,27,7,3,1,29,17,29,29,29,port,
740339000,2760,8,6,3,1,29,17,29,29,28,port,
220620000,2820,27,7,3,0,29,17,29,29,29,port,
740339000,2820,8,6,3,0,29,17,29,29,29,port,
220620000,2880,26,7,2,0,29,17,29,29,29,port,
740339000,2880,8,6,2,0,29,17,29,29,29,port,
220620000,2940,26,7,3,0,29,17,29,29,29,port,
740339000,2940,8,5,3,0,29,17,29,29,28,port,
