mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
258465000,420,7,18,24,29,1,0,29,22,5,port,
259883000,420,24,12,24,29,1,0,29,29,3,starboard,
258465000,480,6,18,21,29,14,5,29,29,19,starboard,
259883000,480,24,12,21,29,14,5,29,29,6,starboard,
258465000,540,5,18,19,29,14,5,29,29,23,starboard,
259883000,540,24,12,19,29,14,5,29,29,2,starboard,
258465000,600,5,18,16,29,14,5,29,29,22,starboard,
259883000,600,24,12,16,29,14,5,29,29,1,starboard,
258465000,660,6,18,13,29,10,4,29,29,19,starboard,
259883000,660,25,12,13,29,10,4,29,29,2,port,
258465000,720,6,18,10,26,9,3,29,29,14,starboard,
259883000,720,25,12,10,26,9,3,29,29,2,starboard,
258465000,780,7,18,7,19,5,2,29,29,2,port,
259883000,780,26,12,7,19,5,2,29,29,8,port,
258465000,840,8,18,4,11,8,3,29,29,9,port,
259883000,840,26,12,4,11,8,3,29,29,6,port,
258465000,900,8,18,1,3,7,2,29,29,7,port,
259883000,900,25,12,1,3,7,2,29,29,6,port,
258465000,960,8,18,1,0,7,2,29,29,6,port,
259883000,960,24,12,1,0,7,2,29,29,8,port,
