mmsi,time,course,speed,current_distance,time_untill_CPA,highres_distance_cpa,lowres_distance_cpa,highres_crossing_in_front_distance,lowres_crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,
248375000,-3480,3,11,20,29,26,10,29,29,29,starboard,
257787000,-3480,34,16,20,29,26,10,26,10,29,port,
248375000,-3420,3,11,19,29,25,10,29,29,29,starboard,
257787000,-3420,34,16,19,29,25,10,25,10,29,port,
248375000,-3360,3,11,18,29,29,13,29,29,29,starboard,
257787000,-3360,34,16,18,29,29,13,29,13,29,port,
248375000,-3300,3,11,17,29,29,13,29,29,29,starboard,
257787000,-3300,34,16,17,29,29,13,29,13,29,port,
248375000,-3240,3,11,16,29,29,12,29,29,29,starboard,
257787000,-3240,34,16,16,29,29,12,29,12,29,port,
248375000,-3180,3,12,16,29,29,12,29,29,29,starboard,
257787000,-3180,34,16,16,29,29,12,29,12,29,port,
248375000,-3120,3,11,15,29,29,12,29,29,29,starboard,
257787000,-3120,34,16,15,29,29,12,29,12,29,port,
248375000,-3060,3,12,14,29,29,13,29,29,29,starboard,
257787000,-3060,34,16,14,29,29,13,29,13,29,port,
248375000,-3000,3,12,13,29,29,13,29,29,29,starboard,
257787000,-3000,34,17,13,29,29,13,29,13,29,port,
248375000,-2940,3,12,13,29,29,13,29,29,29,starboard,
257787000,-2940,34,16,13,29,29,13,29,13,29,port,
248375000,-2880,3,12,12,29,29,12,29,29,29,starboard,
257787000,-2880,34,16,12,29,29,12,29,12,29,port,
248375000,-2820,3,11,11,29,29,12,29,29,29,starboard,
257787000,-2820,34,16,11,29,29,12,29,12,29,port,
248375000,-2760,3,11,10,29,29,12,29,29,29,starboard,
257787000,-2760,34,16,10,29,29,12,29,12,29,port,
248375000,-2700,3,11,9,29,29,14,29,29,29,starboard,
257787000,-2700,34,16,9,29,29,14,29,14,29,port,
248375000,-2640,3,11,9,29,29,13,29,29,29,starboard,
257787000,-2640,34,16,9,29,29,13,29,13,29,port,
248375000,-2580,3,11,8,29,29,13,29,29,29,starboard,
257787000,-2580,34,16,8,29,29,13,29,13,29,port,
248375000,-2520,3,12,7,29,29,13,29,29,29,starboard,
257787000,-2520,34,16,7,29,29,13,29,13,29,port,
248375000,-2460,3,11,7,29,29,13,29,29,29,starboard,
257787000,-2460,34,16,7,29,29,13,29,13,29,port,
248375000,-2400,3,11,6,29,29,13,29,29,29,starboard,
257787000,-2400,34,16,6,29,29,13,29,13,29,port,
248375000,-2340,3,11,5,29,29,12,29,29,29,starboard,
257787000,-2340,34,16,5,29,29,12,29,13,29,port,
248375000,-2280,5,11,5,28,29,14,29,29,26,starboard,
257787000,-2280,34,16,5,28,29,14,29,14,29,port,
248375000,-2220,5,11,4,18,29,14,29,29,10,starboard,
257787000,-2220,34,16,4,18,29,14,29,15,29,port,
248375000,-2160,6,11,3,8,29,14,29,29,6,port,
257787000,-2160,34,16,3,8,29,14,29,29,29,port,
248375000,-2100,6,11,3,1,29,14,29,29,13,port,
257787000,-2100,34,16,3,1,29,14,29,29,28,port,
248375000,-2040,4,12,3,0,29,14,29,29,16,port,
257787000,-2040,34,16,3,0,29,14,29,29,21,port,
