mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
219347000,540,0,1.7558,19.4,0,0,0,1,0,0,5322.64,160.804,1163.46,inf,590.778,1,0,1,
271002639,540,0,4.88867,12.9,0,0,0,1,0,0,5322.64,160.804,1163.46,inf,568.111,1,0,1,
219347000,600,0,1.75755,19.5,0,0,0,1,0,0,4352.89,129.119,1157.04,inf,588.764,1,0,1,
271002639,600,0,4.88692,13,0,0,0,1,0,0,4352.89,129.119,1157.04,inf,563.122,1,0,1,
219347000,660,0,1.74184,19.5,0,0,0,1,0,0,3388.32,98.1303,1144.8,inf,559.023,1,0,1,
271002639,660,0,4.90438,13,0,0,0,1,0,0,3388.32,98.1303,1144.8,inf,592.393,1,0,1,
219347000,720,0,1.74358,19.5,0,0,0,1,0,0,2477.16,67.6472,1141.39,inf,569.929,1,0,1,
271002639,720,0,4.88692,13,0,0,0,1,0,0,2477.16,67.6472,1141.39,inf,571.847,1,0,1,
219347000,780,1,1.76453,19.5,0,0,0,1,0,0,1664.16,36.2626,1174.94,inf,587.88,1,0,1,
271002639,780,1,4.90438,13,0,0,0,1,0,0,1664.16,36.2626,1174.94,inf,586.851,1,0,1,
219347000,840,1,1.76627,19.5,0,0,0,1,0,0,1168.84,5.18823,1156.61,inf,578.992,1,0,1,
271002639,840,1,4.88692,13,0,0,0,1,0,0,1168.84,5.18823,1156.61,inf,577.201,1,0,1,
219347000,900,0,1.75406,19.6,0,0,0,1,0,0,1419.61,-25.4354,1150.48,inf,578.996,1,1,1,
271002639,900,0,4.91834,13.1,0,0,0,1,0,0,1419.61,-25.4354,1150.48,inf,569.531,1,1,1,
