mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
258217000,3720,0,4.92532,6.4,0,0,0.324749,0,0.675251,0,5749.35,523.893,4766.8,5493.02,2501.9,0,0,0,
258265000,3720,0,3.9427,6.6,0,0.324749,0,0,0,0.675251,5749.35,523.893,4766.8,inf,210.359,1,0,0,
258217000,3780,0,4.92183,6.5,0,0,0.276349,0,0.723651,0,5630.25,425.338,4828.08,inf,2401.81,0,0,0,
258265000,3780,0,3.85718,6.9,0,0,0.276349,0,0,0.723651,5630.25,425.338,4828.08,inf,119.891,0,0,0,
258217000,3840,0,4.93056,6.2,0,0,0.242054,0,0.757946,0,5516.11,423.13,4690.01,inf,2317.98,0,0,0,
258265000,3840,0,3.84322,7,0,0,0.242054,0,0,0.757946,5516.11,423.13,4690.01,inf,245.826,0,0,0,
258217000,3900,0,4.93405,6.5,0,0,0.197502,0,0.802498,0,5410.57,351.663,4842.15,inf,2226.9,0,0,0,
258265000,3900,0,3.8502,6.8,0,0,0.197502,0,0,0.802498,5410.57,351.663,4842.15,inf,315.479,0,0,0,
258217000,3960,1,4.94975,6.4,0,0,0.17112,0,0.82888,0,5326.72,361.566,4710.06,inf,2164.15,0,0,0,
258265000,3960,1,3.87463,7,0,0,0.17112,0,0,0.82888,5326.72,361.566,4710.06,inf,336.244,0,0,0,
258217000,4020,1,4.93754,6.3,0,0,0.100899,0,0.899101,0,5230.28,333.107,4758.18,inf,2047.67,0,0,0,
258265000,4020,1,3.88859,6.7,0,0,0.100899,0,0,0.899101,5230.28,333.107,4758.18,inf,389.412,0,0,0,
258217000,4080,0,4.93056,6.1,0,0,0.0405461,0,0.959454,0,5146.25,319.619,4670.44,inf,1945.51,0,0,0,
258265000,4080,0,3.85369,7,0,0,0.0405461,0,0,0.959454,5146.25,319.619,4670.44,inf,560.402,0,0,0,
258217000,4140,0,4.97768,6.2,0,0,0.0559146,0,0.944085,0,5057.59,256.198,4711.41,inf,1929.65,0,0,0,
258265000,4140,0,3.82227,6.9,0,0,0.0559146,0,0,0.944085,5057.59,256.198,4711.41,inf,716.698,0,0,0,
258217000,4200,1,4.97942,5.8,0,0,0,0,1,0,4976.57,289.518,4570.16,inf,1834.25,0,0,0,
258265000,4200,1,3.86067,6.9,0,0,0,0,0,1,4976.57,289.518,4570.16,inf,711.302,0,0,0,
258217000,4260,1,4.94277,6,0,0,0,0,1,0,4906.51,331.111,4586.56,inf,1677.87,0,0,0,
258265000,4260,1,4.05964,6.3,0,0,0,0,0,1,4906.51,331.111,4586.56,inf,318.004,0,0,0,
258217000,4320,1,4.97942,6,0,0,0,0,1,0,4856.53,629.826,4203.34,4549.01,1689.24,0,0,0,
258265000,4320,1,4.34238,6.3,0,0,0,0,0,1,4856.53,629.826,4203.34,inf,320.302,1,0,0,
258217000,4380,0,4.9707,5.8,0,0,0,0,1,0,4784.94,663.756,4035.78,4519.79,1611.3,0,0,0,
258265000,4380,0,4.33191,6.4,0,0,0,0,0,1,4784.94,663.756,4035.78,inf,239.158,1,0,0,
258217000,4440,1,4.9515,5.7,0,0,0,0,1,0,4728.84,1043.11,3543.4,4041.69,1526.68,0,0,1,
258265000,4440,1,4.47153,6.5,0,0,0,0,0,1,4728.84,1043.11,3543.4,inf,520.503,1,0,0,
258217000,4500,1,4.49771,5.6,0,0,0,0,1,0,4672.54,4116.59,136.161,608.126,559.989,0,0,1,
258265000,4500,1,4.45233,6.7,0,0,0,0,0,1,4672.54,4116.59,136.161,inf,456.522,1,0,0,
258217000,4560,1,4.61465,5.4,0,0,0,0,1,0,4631.24,3011.62,511.447,1432.44,806.347,0,0,1,
258265000,4560,1,4.51342,6.8,0,0,0,0,0,1,4631.24,3011.62,511.447,inf,582.858,1,0,0,
258217000,4620,1,4.62512,5.2,0,0,0,0,1,0,4581.12,2506.63,827.364,2080.87,818.012,0,0,1,
258265000,4620,1,4.48724,6.8,0,0,0,0,0,1,4581.12,2506.63,827.364,inf,516.184,1,0,0,
258217000,4680,0,4.60592,5.6,0,0,0,0,1,0,4551.74,3998.97,762.071,1824.96,772.569,0,0,1,
258265000,4680,0,4.52215,6.6,0,0,0,0,0,1,4551.74,3998.97,762.071,inf,590.728,1,0,0,
258217000,4740,0,4.57974,5.6,0,0,0,0,1,0,4518.51,4711.86,261.73,827.392,706.414,0,0,1,
258265000,4740,0,4.52564,6.5,0,0,0,0,0,1,4518.51,4711.86,261.73,inf,589.328,1,0,0,
258217000,4800,1,4.60941,5.2,0,0,0,0,1,0,4479.69,3103.96,390.734,inf,760.627,0,0,0,
258265000,4800,1,4.55356,6.6,0,0,0,0,0,1,4479.69,3103.96,390.734,1524.78,641.84,1,0,1,
258217000,4860,1,4.57974,5.4,0,0,0,0,1,0,4438,3594.74,973.502,inf,691.552,0,0,0,
258265000,4860,1,4.56229,6.6,0,0,0,0,0,1,4438,3594.74,973.502,10180,654.648,1,0,1,
258217000,4920,1,4.70192,5.3,0,0,0,0,1,0,4402.23,2983.58,1348.55,2389.94,934.155,0,0,1,
258265000,4920,1,4.55182,6.4,0,0,0,0,0,1,4402.23,2983.58,1348.55,inf,625.619,1,0,0,
258217000,4980,0,4.72286,5.5,0,0,0,0,1,0,4359.16,2928.42,1943.27,2852.47,954.38,0,0,1,
258265000,4980,0,4.55705,6.4,0,0,0,0,0,1,4359.16,2928.42,1943.27,inf,617.876,1,0,0,
258217000,5040,0,4.74904,5.3,0,0,0,0,1,0,4322.9,2798.25,1706.83,2632.27,986.895,0,0,1,
258265000,5040,0,4.57451,6.3,0,0,0,0,0,1,4322.9,2798.25,1706.83,inf,637.977,1,0,0,
258217000,5100,1,4.84329,5.3,0,0,0,0,1,0,4270.49,2530.95,1157.15,1909.93,1140,0,0,1,
258265000,5100,1,4.65654,6.5,0,0,0,0,0,1,4270.49,2530.95,1157.15,inf,784.97,1,0,0,
258217000,5160,1,4.79791,5.5,0,0,0,0,1,0,4220.7,2882.08,2452.6,3001.23,1038.48,0,0,1,
258265000,5160,1,4.61989,6.1,0,0,0,0,0,1,4220.7,2882.08,2452.6,inf,696.738,1,0,0,
258217000,5220,0,4.81013,5.7,0,0,0,0,1,0,4199.03,2571.38,2979.03,3300.54,1043.71,0,0,1,
258265000,5220,0,4.62687,6.1,0,0,0,0,0,1,4199.03,2571.38,2979.03,inf,694.256,1,0,0,
258217000,5280,0,4.84852,5.6,0,0,0,0,1,0,4151.87,1978.98,2959.17,3307.07,1088.54,0,0,1,
258265000,5280,0,4.61116,6.1,0,0,0,0,0,1,4151.87,1978.98,2959.17,inf,642.373,1,0,0,
258217000,5340,1,4.80489,5.5,0,0,0,0,1,0,4119.57,2983.2,2324.77,2889.48,992.719,0,0,1,
258265000,5340,1,4.63734,6.1,0,0,0,0,0,1,4119.57,2983.2,2324.77,inf,677.836,1,0,0,
258217000,5400,1,4.81536,5.4,0,0,0,0,1,0,4093.89,2927.39,2325.06,2882.61,994.16,0,0,1,
258265000,5400,1,4.64258,6,0,0,0,0,0,1,4093.89,2927.39,2325.06,inf,671.722,1,0,0,
258217000,5460,0,4.83107,4.7,0,0,0,0,1,0,4031.2,2304.67,1620.92,2493.03,997.002,0,0,1,
258265000,5460,0,4.60767,5.8,0,0,0,0,0,1,4031.2,2304.67,1620.92,inf,584.128,1,0,0,
258217000,5520,0,4.8398,5.3,0,0,0,0,1,0,4004.71,2166.32,2962.8,3263.75,994.659,0,0,1,
258265000,5520,0,4.62512,5.7,0,0,0,0,0,1,4004.71,2166.32,2962.8,inf,601.615,1,0,0,
