mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
219762000,240,0,1.19381,2.4,0,0,1,0,0,0,13454.9,1462.97,3750.86,inf,2837.49,0,0,1,
259540000,240,0,5.27438,7.2,0,1,0,0,0,0,13454.9,1462.97,3750.86,5701.97,3246.46,1,0,1,
219762000,300,1,1.09607,2.5,0,0,1,0,0,0,13201.5,1522.98,1824.73,inf,3330.27,0,0,1,
259540000,300,1,5.13476,6.8,0,1,0,0,0,0,13201.5,1522.98,1824.73,2947.73,2376.22,1,0,1,
219762000,360,0,1.00007,2.4,0,0,1,0,0,0,12943.4,1505.79,2220.25,inf,3772.74,0,0,1,
259540000,360,0,5.18363,7,0,1,0,0,0,0,12943.4,1505.79,2220.25,3110.94,2636.49,1,0,1,
219762000,420,0,1.03673,2.3,0,0,1,0,0,0,12687.3,1466.4,1628.67,inf,3487.13,0,0,1,
259540000,420,0,5.10509,7,0,1,0,0,0,0,12687.3,1466.4,1628.67,2496.46,2143.96,1,0,1,
219762000,480,1,0.778417,2.5,0,0,1,0,0,0,12432.4,1530.39,1202.86,inf,4619.73,0,0,1,
259540000,480,1,5.15047,6.9,0,1,0,0,0,0,12432.4,1530.39,1202.86,1495.3,2378.58,1,0,1,
219762000,540,1,0.97913,2.3,0,0,1,0,0,0,12174.3,1410.37,1915.43,inf,3605.29,0,0,1,
259540000,540,1,5.14523,7.1,0,1,0,0,0,0,12174.3,1410.37,1915.43,2691.46,2317.78,1,0,1,
219762000,600,1,1.09258,2.5,0,0,1,0,0,0,11907.7,1311.03,2089.71,inf,2946.27,0,0,1,
259540000,600,1,5.15221,7.2,0,1,0,0,0,0,11907.7,1311.03,2089.71,3266.86,2320.63,1,0,1,
219762000,660,1,0.912807,2.6,0,0,1,0,0,0,11637.5,1304.22,1180.52,inf,3726.49,0,0,1,
259540000,660,1,5.10858,7.3,0,1,0,0,0,0,11637.5,1304.22,1180.52,1651,2045.01,1,0,1,
219762000,720,1,1.01404,2.5,0,0,1,0,0,0,11370,1298.59,1472.94,inf,3165.03,0,0,1,
259540000,720,1,5.11381,7,0,1,0,0,0,0,11370,1298.59,1472.94,2232.89,2043.79,1,0,1,
219762000,780,1,1.05069,2.4,0,0,1,0,0,0,11102.5,1211.06,1754.51,inf,2908.76,0,0,1,
259540000,780,1,5.11556,7.4,0,1,0,0,0,0,11102.5,1211.06,1754.51,2690.98,2016.53,1,0,1,
219762000,840,0,0.966912,2.4,0,0,1,0,0,0,10831.2,1150.69,1797.18,inf,3199.51,0,0,1,
259540000,840,0,5.12952,7.8,0,1,0,0,0,0,10831.2,1150.69,1797.18,2508.36,2053.83,1,0,1,
219762000,900,0,1.03323,2.4,0,0,1,0,0,0,10543.3,1111.22,1173.57,inf,2809.03,0,0,1,
259540000,900,0,5.044,7.7,0,1,0,0,0,0,10543.3,1111.22,1173.57,1881.51,1594.09,1,0,1,
219762000,960,1,0.961676,2.2,0,0,1,0,0,0,10259.2,1112.62,1388.03,inf,3016.51,0,0,1,
259540000,960,1,5.06669,7.7,0,1,0,0,0,0,10259.2,1112.62,1388.03,2005.58,1685.3,1,0,1,
219762000,1020,1,1.04022,2.5,0,0,1,0,0,0,9977.76,1034.2,1676.85,inf,2597.35,0,0,1,
259540000,1020,1,5.11032,7.8,0,1,0,0,0,0,9977.76,1034.2,1676.85,2553.42,1854.78,1,0,1,
219762000,1080,0,1.028,2.3,0,0,1,0,0,0,9687.79,1019.12,1807.45,inf,2549.27,0,0,1,
259540000,1080,0,5.11207,7.8,0,1,0,0,0,0,9687.79,1019.12,1807.45,2674.99,1833.76,1,0,1,
219762000,1140,0,1.05243,2.3,0,0,1,0,0,0,9403.11,982.858,2237.02,inf,2360.63,0,0,1,
259540000,1140,0,5.16617,7.8,0,1,0,0,0,0,9403.11,982.858,2237.02,3226.07,2028.61,1,0,1,
219762000,1200,1,1.13272,2.4,0,0,1,0,0,0,9125.04,936.668,2696.77,inf,1929.81,0,0,1,
259540000,1200,1,5.22203,7.7,0,1,0,0,0,0,9125.04,936.668,2696.77,4013.79,2231.27,1,0,1,
219762000,1260,1,1.13795,2.4,0,0,1,0,0,0,8850.09,928.819,2233.7,inf,1808.82,0,0,1,
259540000,1260,1,5.15745,7.5,0,1,0,0,0,0,8850.09,928.819,2233.7,3568.92,1951.78,1,0,1,
219762000,1320,0,1.20253,2.3,0,0,1,0,0,0,8569.74,885.551,1978.27,inf,1464.23,0,0,1,
259540000,1320,0,5.09287,7.6,0,1,0,0,0,0,8569.74,885.551,1978.27,3600.53,1668.6,1,0,1,
219762000,1380,1,1.2514,2.4,0,0,1,0,0,0,8288.21,816.426,1819.63,inf,1187.88,0,0,1,
259540000,1380,1,5.05447,7.9,0,1,0,0,0,0,8288.21,816.426,1819.63,3713.67,1501.5,1,0,1,
219762000,1440,0,1.17461,2.4,0,0,1,0,0,0,7996.55,780.16,1772.66,inf,1406.93,0,0,1,
259540000,1440,0,5.0632,8.1,0,1,0,0,0,0,7996.55,780.16,1772.66,3219.32,1510.54,1,0,1,
219762000,1500,1,1.25664,2.5,0,0,1,0,0,0,7702.87,766.281,1621.92,inf,1028.12,0,0,1,
259540000,1500,1,5.03178,7.7,0,1,0,0,0,0,7702.87,766.281,1621.92,3496.43,1368.77,1,0,1,
219762000,1560,1,0.966912,2.4,0,0,1,0,0,0,7412.65,783.24,1700.69,inf,1943.63,0,0,1,
259540000,1560,1,5.11381,7.7,0,1,0,0,0,0,7412.65,783.24,1700.69,2409.69,1623.09,1,0,1,
219762000,1620,1,1.29329,2.3,0,0,1,0,0,0,7125.21,710.026,1959.31,inf,759.345,0,0,1,
259540000,1620,1,5.07018,7.7,0,1,0,0,0,0,7125.21,710.026,1959.31,4137.14,1454.35,1,0,1,
219762000,1680,0,1.20777,2.4,0,0,1,0,0,0,6838.5,679.072,1652.61,inf,972.702,0,0,1,
259540000,1680,0,5.03877,7.8,0,1,0,0,0,0,6838.5,679.072,1652.61,3254.93,1334.49,1,0,1,
219762000,1740,1,1.3631,2.4,0,0,1,0,0,0,6547.04,622.643,1985.23,inf,393.127,0,0,1,
