mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
219023588,60,0,5.2517,6.5,0,0,1,0,0,0,13853.7,1061.93,1194.3,2394.21,6053.84,0,0,0,
236112003,60,0,3.60934,10.8,0,1,0,0,0,0,13853.7,1061.93,1194.3,inf,2924.88,1,0,0,
219023588,120,0,5.26217,6.7,0,0,1,0,0,0,13440.1,1030.74,1215.07,2359.95,5848.73,0,0,0,
236112003,120,0,3.62679,10.7,0,1,0,0,0,0,13440.1,1030.74,1215.07,inf,2924.96,1,0,0,
219023588,180,0,5.2325,6.6,0,0,1,0,0,0,13061.6,1014.16,1485.46,2884.44,5784.11,0,0,0,
236112003,180,0,3.60585,10.6,0,1,0,0,0,0,13061.6,1014.16,1485.46,inf,2704.84,1,0,0,
219023588,240,1,5.23948,6.6,0,0,1,0,0,0,12656.1,975.247,1538.19,3009.76,5594.9,0,0,0,
236112003,240,1,3.59712,10.6,0,1,0,0,0,0,12656.1,975.247,1538.19,inf,2549.01,1,0,0,
219023588,300,1,5.23599,6.4,0,0,1,0,0,0,12265.2,965.332,1371.67,2711.1,5441,0,0,0,
236112003,300,1,3.6041,10.5,0,1,0,0,0,0,12265.2,965.332,1371.67,inf,2491.72,1,0,0,
219023588,360,0,5.26915,6.6,0,0,1,0,0,0,11880.6,913.897,1245.18,2446.98,5186.83,0,0,0,
236112003,360,0,3.61807,10.6,0,1,0,0,0,0,11880.6,913.897,1245.18,inf,2470.19,1,0,0,
219023588,420,1,5.21504,6.4,0,0,1,0,0,0,11490.9,950.629,574.143,1084.72,5168.59,0,0,0,
236112003,420,1,3.7001,10.6,0,1,0,0,0,0,11490.9,950.629,574.143,inf,2793.71,1,0,0,
219023588,480,1,5.22377,6.5,0,0,1,0,0,0,11121.9,966.104,3.97032,7.09414,4980.49,0,0,0,
236112003,480,1,3.78562,10.4,0,1,0,0,0,0,11121.9,966.104,3.97032,inf,3110.61,1,0,0,
219023588,540,0,5.24471,6.6,0,0,1,0,0,0,10778,920.254,103.002,inf,4772.87,0,0,1,
236112003,540,0,3.79435,10.5,0,1,0,0,0,0,10778,920.254,103.002,115.725,3057.53,1,0,1,
219023588,600,1,5.29358,6.6,0,0,1,0,0,0,10396.6,867.865,262.82,inf,4479.68,0,0,1,
236112003,600,1,3.79784,10.5,0,1,0,0,0,0,10396.6,867.865,262.82,300.605,2965.68,1,0,1,
219023588,660,1,5.22377,6.3,0,0,1,0,0,0,10035.5,870.357,367.208,inf,4488.57,0,0,1,
236112003,660,1,3.79784,10.6,0,1,0,0,0,0,10035.5,870.357,367.208,403.393,2867.32,1,0,1,
219023588,720,0,5.2325,6.5,0,0,1,0,0,0,9673.93,834.473,325.824,inf,4304.76,0,0,1,
236112003,720,0,3.81005,10.6,0,1,0,0,0,0,9673.93,834.473,325.824,360.096,2817.78,1,0,1,
219023588,780,1,5.23773,6.5,0,0,1,0,0,0,9319.98,801.538,172.097,inf,4135.73,0,0,1,
236112003,780,1,3.79435,10.5,0,1,0,0,0,0,9319.98,801.538,172.097,192.104,2655.49,1,0,1,
219023588,840,1,5.27089,6.5,0,0,1,0,0,0,8960.09,764.041,377.058,inf,3900.46,0,0,1,
236112003,840,1,3.8118,10.5,0,1,0,0,0,0,8960.09,764.041,377.058,423.394,2624.95,1,0,1,
219023588,900,0,5.27613,6.5,0,0,1,0,0,0,8593.18,719.751,306.927,inf,3728.09,0,0,1,
236112003,900,0,3.79435,10.6,0,1,0,0,0,0,8593.18,719.751,306.927,346.854,2458.83,1,0,1,
219023588,960,1,5.21853,6.5,0,0,1,0,0,0,8237.55,733.249,622.294,inf,3680.13,0,0,1,
236112003,960,1,3.86067,10.6,0,1,0,0,0,0,8237.55,733.249,622.294,672.843,2585.51,1,0,1,
219023588,1020,1,5.26391,6.6,0,0,1,0,0,0,7879.13,699.479,832.756,inf,3429.14,0,0,1,
236112003,1020,1,3.89907,10.5,0,1,0,0,0,0,7879.13,699.479,832.756,907.547,2599.64,1,0,1,
219023588,1080,0,5.20981,6.4,0,0,1,0,0,0,7548.66,689.098,923.364,inf,3372.5,0,0,1,
236112003,1080,0,3.90081,10.6,0,1,0,0,0,0,7548.66,689.098,923.364,980.479,2509.76,1,0,1,
219023588,1140,1,5.26217,6.5,0,0,1,0,0,0,7210.28,636.389,938.193,inf,3120.22,0,0,1,
236112003,1140,1,3.89907,10.6,0,1,0,0,0,0,7210.28,636.389,938.193,1016.11,2410.48,1,0,1,
219023588,1200,1,5.20981,6.4,0,0,1,0,0,0,6868.22,629.188,850.537,inf,3049.22,0,0,1,
236112003,1200,1,3.89383,10.5,0,1,0,0,0,0,6868.22,629.188,850.537,906.707,2297.28,1,0,1,
219023588,1260,0,5.19235,6.4,0,0,1,0,0,0,6526.46,595.64,811.015,inf,2912.94,0,0,1,
236112003,1260,0,3.88336,10.6,0,1,0,0,0,0,6526.46,595.64,811.015,861.181,2174.68,1,0,1,
219023588,1320,1,5.22203,6.4,0,0,1,0,0,0,6198.46,554.805,832.713,inf,2713.61,0,0,1,
