mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
205453000,300,0,5.13127,15.7,0,1,0,0,0,0,12339.2,447.725,210.538,inf,1155.52,1,0,0,
218057000,300,0,1.52716,12.6,0,0,1,0,0,0,12339.2,447.725,210.538,1031.92,1670.04,0,0,0,
205453000,360,0,5.13127,15.6,0,1,0,0,0,0,11478.4,414.807,397.099,inf,1066.5,1,0,0,
218057000,360,0,1.49924,12.9,0,0,1,0,0,0,11478.4,414.807,397.099,1807.4,1715.37,0,0,0,
205453000,420,0,5.13476,15.5,0,1,0,0,0,0,10631.4,384.973,302.486,inf,991.134,1,0,0,
218057000,420,0,1.51669,12.9,0,0,1,0,0,0,10631.4,384.973,302.486,1411.3,1514.54,0,0,0,
205453000,480,0,5.13999,15.5,0,1,0,0,0,0,9781.78,351.054,341.833,inf,924.712,1,0,0,
218057000,480,0,1.50796,13.2,0,0,1,0,0,0,9781.78,351.054,341.833,1531.04,1446.4,0,0,0,
205453000,540,1,5.15221,15.6,0,1,0,0,0,0,8902.73,319.923,239.835,inf,886.267,1,0,0,
218057000,540,1,1.51146,13.1,0,0,1,0,0,0,8902.73,319.923,239.835,1063.91,1310.04,0,0,0,
205453000,600,1,5.16617,15.6,0,1,0,0,0,0,8044.31,285.207,209.09,943.956,856.295,1,0,1,
218057000,600,1,1.61268,13.2,0,0,1,0,0,0,8044.31,285.207,209.09,inf,788.674,0,0,1,
205453000,660,0,5.17316,15.5,0,0.91327,0,0.08673,0,0,7182.79,254.036,528.162,2907.14,810.903,1,0,1,
218057000,660,0,1.69471,13.1,0,0,0.91327,0.08673,0,0,7182.79,254.036,528.162,inf,391.023,0,0,1,
205453000,720,0,5.23948,15.7,0,1,0,0,0,0,6314.23,220.539,770.63,3555.19,954.16,1,0,1,
218057000,720,0,1.69471,13.3,0,0,1,0,0,0,6314.23,220.539,770.63,inf,303.073,0,0,1,
205453000,780,1,5.24995,15.6,0,1,0,0,0,0,5449.12,190.116,835.013,3880.06,904.41,1,0,1,
218057000,780,1,1.70693,13.3,0,0,1,0,0,0,5449.12,190.116,835.013,inf,171.694,0,0,1,
205453000,840,1,5.25344,15.7,0,1,0,0,0,0,4568.79,156.867,810.781,3639.26,831.633,1,0,1,
218057000,840,1,1.69297,13.6,0,0,1,0,0,0,4568.79,156.867,810.781,inf,105.655,0,0,1,
205453000,900,0,5.28835,15.4,0,1,0,0,0,0,3726.99,128.699,907.339,inf,816.505,1,0,1,
218057000,900,0,1.69995,13.4,0,1,0,0,0,0,3726.99,128.699,907.339,inf,12.567,1,0,1,
205453000,960,0,5.3058,15.2,0,1,0,0,0,0,2889.71,98.1847,915.377,inf,746.448,1,0,1,
218057000,960,0,1.69471,13.5,0,1,0,0,0,0,2889.71,98.1847,915.377,inf,105.974,1,0,1,
205453000,1020,1,5.27264,14.9,0,1,0,0,0,0,2106.16,68.0909,958.035,inf,629.849,1,0,1,
218057000,1020,1,1.76976,13.1,0,1,0,0,0,0,2106.16,68.0909,958.035,inf,290.871,1,0,1,
205453000,1080,1,5.12254,14.6,0,0,0,1,0,0,1366.95,38.0574,877.396,inf,469.747,1,0,1,
218057000,1080,1,1.85179,13,0,0,0,1,0,0,1366.95,38.0574,877.396,inf,401.892,1,0,1,
205453000,1140,1,4.88169,14.2,1,0.831137,0,0.168863,0,0,900.362,9.44863,865.243,inf,408.956,1,0,1,
218057000,1140,1,2.06298,12.5,1,0.831137,0,0.168863,0,0,900.362,9.44863,865.243,inf,447.538,1,0,1,
205453000,1200,1,4.67923,14.2,1,0.751497,0,0,0.248503,0,983.216,-19.0058,856.79,inf,480.099,1,1,1,
218057000,1200,1,2.17119,12.5,0,0,0,0,1,0,983.216,-19.0058,856.79,inf,324.319,1,1,1,
