mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
236342000,120,0,1.52542,10.6,0,0,0,1,0,0,7685.43,300.334,934.585,inf,444.01,1,0,1,
257409000,120,0,4.67748,14.8,0,0,0,1,0,0,7685.43,300.334,934.585,inf,483.957,1,0,1,
236342000,180,0,1.52542,10.6,0,0,0,1,0,0,6918.01,269.819,944.52,inf,444.367,1,0,1,
257409000,180,0,4.68097,14.8,0,0,0,1,0,0,6918.01,269.819,944.52,inf,492.218,1,0,1,
236342000,240,0,1.5132,10.5,0,0,0,1,0,0,6136.23,239.74,934.188,inf,411.29,1,0,1,
257409000,240,0,4.68621,14.8,0,0,0,1,0,0,6136.23,239.74,934.188,inf,506.589,1,0,1,
236342000,300,0,1.52716,10.4,0,0,0,1,0,0,5369.69,209.343,1003.98,inf,461.38,1,0,1,
257409000,300,0,4.69494,14.8,0,0,0,1,0,0,5369.69,209.343,1003.98,inf,530.458,1,0,1,
236342000,360,1,1.74533,10,0,0.0611386,0,0.938861,0,0,4632.09,178.435,1430.77,inf,962.639,1,0,1,
257409000,360,1,4.69494,14.8,0,0.0611386,0,0.938861,0,0,4632.09,178.435,1430.77,inf,543.012,1,0,1,
236342000,420,1,1.84656,10,0,0.707937,0,0.292063,0,0,3927.23,146.521,1583.25,inf,1101.21,1,0,1,
257409000,420,1,4.68621,14.8,0,0.707937,0,0.292063,0,0,3927.23,146.521,1583.25,inf,567.927,1,0,1,
236342000,480,1,1.8483,10,0,0.718204,0,0.281796,0,0,3247.19,115.641,1581.3,inf,1033.57,1,0,1,
257409000,480,1,4.68621,14.8,0,0.718204,0,0.281796,0,0,3247.19,115.641,1581.3,inf,611.843,1,0,1,
236342000,540,0,1.8483,9.9,0,0.75927,0,0.24073,0,0,2611.16,85.8545,1557.1,inf,959.282,1,0,1,
257409000,540,0,4.67923,14.8,0,0.75927,0,0.24073,0,0,2611.16,85.8545,1557.1,inf,642.632,1,0,1,
236342000,600,0,1.8675,10,0,0.831137,0,0.168863,0,0,2066.02,53.7419,1592.57,inf,907.695,1,0,1,
257409000,600,0,4.68621,14.8,0,0.831137,0,0.168863,0,0,2066.02,53.7419,1592.57,inf,704.309,1,0,1,
236342000,660,1,1.85354,10,0,0.69767,0,0.30233,0,0,1667.56,22.8567,1570.47,inf,822.652,1,0,1,
257409000,660,1,4.69494,14.8,0,0.69767,0,0.30233,0,0,1667.56,22.8567,1570.47,inf,745.712,1,0,1,
236342000,720,1,1.8675,9.8,0,0.85167,0,0.14833,0,0,1591.46,-7.78806,1580.18,inf,756.388,1,1,1,
257409000,720,1,4.68272,14.8,0,0.85167,0,0.14833,0,0,1591.46,-7.78806,1580.18,inf,795.687,1,1,1,
