mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
211200040,60,0,4.71064,7.2,0,0,0,1,0,0,8155.11,609.246,1375.18,inf,798.905,0,0,0,
259351000,60,0,1.63014,6,0,0,0,1,0,0,8155.11,609.246,1375.18,inf,553.311,0,0,0,
211200040,120,1,4.93579,7.5,1,0,0,1,0,0,7738.8,561.772,404.747,inf,78.0316,1,0,0,
259351000,120,1,1.63537,6.3,0,0,0,1,0,0,7738.8,561.772,404.747,5588.18,534.803,0,0,0,
211200040,180,1,5.03702,6.4,0,0.492338,0,0.507662,0,0,7329.66,586.793,120.846,inf,417.029,1,0,0,
259351000,180,1,1.63014,6.2,0,0,0.492338,0.507662,0,0,7329.66,586.793,120.846,928.465,552.198,0,0,0,
211200040,240,1,4.85027,6.9,1,0,0,1,0,0,6928.75,533.473,876.962,inf,276.263,0,0,0,
259351000,240,1,1.60745,6,0,0,0,1,0,0,6928.75,533.473,876.962,inf,623.831,0,0,0,
211200040,300,1,4.90612,6.3,0,0,0,1,0,0,6543.1,535.139,632.942,inf,93.2965,0,0,0,
259351000,300,1,1.62316,5.9,0,0,0,1,0,0,6543.1,535.139,632.942,inf,553.143,0,0,0,
211200040,360,1,5.00909,6.2,0,0.174072,0,0.825928,0,0,6176.68,521.726,180.94,inf,221.679,1,0,0,
259351000,360,1,1.65632,5.7,0,0,0.174072,0.825928,0,0,6176.68,521.726,180.94,1792.07,428.949,0,0,0,
211200040,420,0,5.00037,5.5,0,0,0,1,0,0,5805.74,510.531,80.8632,inf,174.488,1,0,0,
259351000,420,0,1.71566,5.9,0,0,0,1,0,0,5805.74,510.531,80.8632,1092.66,240.58,0,0,0,
211200040,480,1,4.61465,6,1,0,0.358871,0.641129,0,0,5441.11,457.735,1159.29,inf,888.992,0,0,0,
259351000,480,1,1.71566,5.7,0,0,0.358871,0.641129,0,0,5441.11,457.735,1159.29,inf,245.283,0,0,0,
211200040,540,1,4.68097,5.9,0,0,0.122738,0.877262,0,0,5075.51,425.873,874.646,inf,687.703,0,0,0,
259351000,540,1,1.74184,5.9,0,0,0.122738,0.877262,0,0,5075.51,425.873,874.646,inf,182.465,0,0,0,
211200040,600,0,4.70715,6.5,0,0,0,1,0,0,4687.81,372.631,869.739,inf,605.618,0,0,0,
259351000,600,0,1.72264,5.9,0,0,0,1,0,0,4687.81,372.631,869.739,inf,243.946,0,0,0,
211200040,660,1,4.70366,6.6,0,0,0,1,0,0,4301.08,336.206,951.42,inf,597.485,0,0,0,
259351000,660,1,1.68599,5.9,0,0,0,1,0,0,4301.08,336.206,951.42,inf,337.559,0,0,0,
211200040,720,1,4.72984,6.6,0,0,0,1,0,0,3901.01,296.911,1001.54,inf,530.732,0,0,0,
259351000,720,1,1.62141,6.1,0,0,0,1,0,0,3901.01,296.911,1001.54,inf,468.211,0,0,0,
211200040,780,1,4.88692,7.7,0,0,0,1,0,0,3505.94,252.699,559.342,inf,243.9,0,0,0,
259351000,780,1,1.69821,6,0,0,0,1,0,0,3505.94,252.699,559.342,inf,325.402,0,0,0,
211200040,840,0,4.79616,7.2,0,0,0,1,0,0,3121.82,227.346,776.991,inf,400.585,0,0,0,
259351000,840,0,1.67203,6.1,0,0,0,1,0,0,3121.82,227.346,776.991,inf,374.194,0,0,0,
211200040,900,1,4.7089,7.2,0,0,0,1,0,0,2741.85,197.949,903.413,inf,519.21,0,0,0,
259351000,900,1,1.68424,5.9,0,0,0,1,0,0,2741.85,197.949,903.413,inf,367.632,0,0,0,
211200040,960,1,4.46281,6.4,1,0,1,0,0,0,2356.47,169.007,1147.39,inf,751.567,0,0,0,
259351000,960,1,1.69995,6,0,0,1,0,0,0,2356.47,169.007,1147.39,inf,362.795,0,0,0,
211200040,1020,1,4.67923,6.9,1,0,0,1,0,0,1984.62,138.8,898.892,inf,521.79,0,0,0,
259351000,1020,1,1.71915,5.9,0,0,0,1,0,0,1984.62,138.8,898.892,inf,360.852,0,0,0,
211200040,1080,1,4.48899,6.7,1,0,1,0,0,0,1621.07,101.292,1012.81,inf,606.043,0,0,0,
259351000,1080,1,1.70693,6,0,0,1,0,0,0,1621.07,101.292,1012.81,inf,377.924,0,0,0,
211200040,1140,1,4.79093,6.8,1,0,0,1,0,0,1296.55,79.8981,797.561,inf,413.25,0,0,0,
259351000,1140,1,1.71042,6,0,0,0,1,0,0,1296.55,79.8981,797.561,inf,381.987,0,0,0,
211200040,1200,1,4.75428,6.8,0,0,0,1,0,0,1007.86,46.9257,806.335,inf,416.47,0,0,0,
259351000,1200,1,1.70868,6.1,0,0,0,1,0,0,1007.86,46.9257,806.335,inf,387.36,0,0,0,
211200040,1260,1,4.88343,6.7,0,0,0,1,0,0,811.343,19.6172,772.154,inf,384.293,0,0,0,
259351000,1260,1,1.71217,6,0,0,0,1,0,0,811.343,19.6172,772.154,inf,387.979,0,0,0,
211200040,1320,0,4.97419,6.6,0,0,0,1,0,0,797.962,-8.17338,791.417,inf,397.943,0,1,0,
259351000,1320,0,1.71391,5.9,0,0,0,1,0,0,797.962,-8.17338,791.417,inf,391.738,0,1,0,
