mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
234629000,-780,0,2.25846,10.1,0,1,0,0,0,0,6057.32,325.539,408.295,inf,837.643,1,0,0,
244870420,-780,0,4.6897,9.7,0,0,1,0,0,0,6057.32,325.539,408.295,1198.33,1262.9,0,0,0,
234629000,-720,0,2.29336,10.1,0,1,0,0,0,0,5494.83,296.803,266.292,inf,836.634,1,0,0,
244870420,-720,0,4.70366,9.7,0,0,1,0,0,0,5494.83,296.803,266.292,760.14,1124.96,0,0,0,
234629000,-660,0,2.30383,9.9,0,1,0,0,0,0,4913.62,269.06,291.26,inf,755.967,1,0,0,
244870420,-660,0,4.69319,9.7,0,0,1,0,0,0,4913.62,269.06,291.26,801.13,1045.25,0,0,0,
234629000,-600,0,2.26893,9.8,0,1,0,0,0,0,4352.46,237.471,377.913,inf,580.061,1,0,0,
244870420,-600,0,4.69319,9.7,0,0,1,0,0,0,4352.46,237.471,377.913,1082.15,941.731,0,0,0,
234629000,-540,1,2.25846,10,0,1,0,0,0,0,3792.12,203.164,405.424,inf,460.22,1,0,0,
244870420,-540,1,4.68795,9.8,0,0,1,0,0,0,3792.12,203.164,405.424,1174.97,853.489,0,0,0,
234629000,-480,1,2.25846,9.9,0,1,0,0,0,0,3217.54,168.042,141.339,716.649,376.738,1,0,1,
244870420,-480,1,5.00909,9.6,1,0,1,0,0,0,3217.54,168.042,141.339,inf,247.697,0,0,1,
234629000,-420,1,2.28464,10,0,0,0,1,0,0,2630.52,128.4,598.211,inf,388.818,1,0,1,
244870420,-420,1,5.28486,10,1,0,0,1,0,0,2630.52,128.4,598.211,inf,207.9,1,0,1,
234629000,-360,0,2.30209,10.5,0,0,0,1,0,0,2009.91,93.2842,611.024,inf,383.833,1,0,1,
244870420,-360,0,5.27438,10.1,0,0,0,1,0,0,2009.91,93.2842,611.024,inf,221.859,1,0,1,
234629000,-300,1,2.27416,10.6,0,0,0,1,0,0,1423.39,61.3831,621.404,inf,348.133,1,0,1,
244870420,-300,1,5.29533,10.3,0,0,0,1,0,0,1423.39,61.3831,621.404,inf,271.039,1,0,1,
234629000,-240,0,2.29685,10.4,0,0,0,1,0,0,892.723,30.6336,627.088,inf,336.482,1,0,1,
244870420,-240,0,5.28835,10.4,0,0,0,1,0,0,892.723,30.6336,627.088,inf,288.841,1,0,1,
234629000,-180,1,2.19562,6.5,0,0,0,1,0,0,610.464,6.78346,600.06,inf,304.184,1,0,1,
244870420,-180,1,5.16967,10.1,0,0,0,1,0,0,610.464,6.78346,600.06,inf,295.708,1,0,1,
234629000,-120,1,2.18515,5.7,0,0.110649,0,0,0.889351,0,581.506,-10.5711,562.209,inf,228.887,1,1,1,
244870420,-120,1,4.6705,9.1,1,0.110649,0,0,0,0.889351,581.506,-10.5711,562.209,inf,290.743,1,1,1,
