mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
235070283,240,0,6.15927,2.9,0,1,0,0,0,0,13304,416.395,11907.5,inf,437.66,1,0,0,
477925900,240,0,1.64235,13.4,0,0,1,0,0,0,13304,416.395,11907.5,12908.7,6426.17,0,0,0,
235070283,300,1,0.165806,3.2,1,1,0,0,0,0,13113.5,440.221,11695.1,inf,2104.6,1,0,0,
477925900,300,1,1.64061,13.4,0,0,1,0,0,0,13113.5,440.221,11695.1,11815.1,6382.93,0,0,0,
235070283,360,0,0.225147,3.8,0,1,0,0,0,0,12918.9,452.347,11422,inf,2264.24,1,0,0,
477925900,360,0,1.63886,13.4,0,0,1,0,0,0,12918.9,452.347,11422,11516.2,6329.32,0,0,0,
235070283,420,0,0.263545,4.2,0,1,0,0,0,0,12722.7,444.486,11259.1,inf,2285.49,1,0,0,
477925900,420,0,1.63712,13.5,0,0,1,0,0,0,12722.7,444.486,11259.1,11336.4,6269.38,0,0,0,
235070283,480,1,0.296706,4.6,0,1,0,0,0,0,12525,448.703,11051.3,inf,2279.07,1,0,0,
477925900,480,1,1.63712,13.4,0,0,1,0,0,0,12525,448.703,11051.3,11128,6199.36,0,0,0,
235070283,540,1,0.403171,5.4,0,1,0,0,0,0,12330.2,479.63,10707.5,inf,2683.94,1,0,0,
477925900,540,1,1.63188,13.5,0,0,1,0,0,0,12330.2,479.63,10707.5,10732.6,6128.95,0,0,0,
235070283,600,1,0.523599,6.1,0,1,0,0,0,0,12134.7,522.202,10375.8,inf,3140.58,1,0,0,
477925900,600,1,1.62665,13.5,0,0,1,0,0,0,12134.7,522.202,10375.8,10375.8,6049.7,0,0,0,
235070283,660,1,0.535816,6.7,0,1,0,0,0,0,11943.7,540.387,10023.4,inf,3023.58,1,0,0,
477925900,660,1,1.63188,13.5,0,0,1,0,0,0,11943.7,540.387,10023.4,10033.2,5962.42,0,0,0,
235070283,720,0,0.6353,7.1,0,1,0,0,0,0,11732.8,562.623,9811.67,inf,3330.52,1,0,1,
477925900,720,0,1.63363,13.6,0,0,1,0,0,0,11732.8,562.623,9811.67,9814.35,5863.53,0,0,0,
235070283,780,1,0.904081,7.4,1,1,0,0,0,0,11572,640.857,9872.48,inf,4349.91,1,0,1,
477925900,780,1,1.62665,13.6,0,0,1,0,0,0,11572,640.857,9872.48,10340.3,5785.96,0,0,0,
235070283,840,0,0.935496,7.7,0,1,0,0,0,0,11420.8,644.005,9840.19,inf,4328.61,1,0,1,
477925900,840,0,1.61268,13.6,0,0,1,0,0,0,11420.8,644.005,9840.19,10394,5707.21,0,0,0,
