mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
210445000,240,0,4.93928,3.44648,0,0,1,0,0,0,5843.1,2233,3834.59,3908.2,2913.24,0,0,0,
219829000,240,0,4.34238,2.46912,0,1,0,0,0,0,5843.1,2233,3834.59,inf,2533.26,1,0,1,
210445000,300,0,4.94975,3.49792,0,0,1,0,0,0,5759.16,2109.51,3865.07,3948.4,2872.07,0,0,0,
219829000,300,0,4.34762,2.46912,0,1,0,0,0,0,5759.16,2109.51,3865.07,inf,2484.65,1,0,1,
210445000,360,0,4.98292,3.49792,0,0,1,0,0,0,5678.32,2037.35,3825.28,3917.43,2827.46,0,0,0,
219829000,360,0,4.3703,2.41768,0,1,0,0,0,0,5678.32,2037.35,3825.28,inf,2461.3,1,0,1,
210445000,420,1,5.49255,3.0864,1,0,1,0,0,0,5547.43,1869.5,855.267,911.823,2303.69,0,0,0,
219829000,420,1,4.39299,2.41768,0,1,0,0,0,0,5547.43,1869.5,855.267,inf,2422.31,1,0,0,
210445000,480,1,0.122173,3.0864,1,0,1,0,0,0,5307.69,1046.34,2260.14,inf,134.033,0,0,1,
219829000,480,1,4.41568,2.36624,0,1,0,0,0,0,5307.69,1046.34,2260.14,4798.83,2366.8,1,0,1,
210445000,540,1,0,3.80656,0,0,1,0,0,0,5031.21,933.073,1639.25,inf,377.26,0,0,1,
219829000,540,1,4.42092,2.46912,0,1,0,0,0,0,5031.21,933.073,1639.25,3533.51,2273.85,1,0,1,
210445000,600,1,6.05629,4.3724,1,0,1,0,0,0,4736.72,911.643,557.974,inf,851.956,0,0,1,
219829000,600,1,4.40696,2.41768,0,1,0,0,0,0,4736.72,911.643,557.974,1194.47,2136.17,1,0,1,
210445000,660,1,6.00219,4.57816,0,0,1,0,0,0,4412.92,793.462,131.001,inf,906.388,0,0,1,
219829000,660,1,4.26035,2.46912,0,1,0,0,0,0,4412.92,793.462,131.001,299.312,1828.07,1,0,1,
210445000,720,0,5.96728,4.6296,0,0,1,0,0,0,4086.36,727.865,25.1014,30.8358,916.764,0,0,0,
219829000,720,0,4.23591,2.52056,0,1,0,0,0,0,4086.36,727.865,25.1014,inf,1655.9,1,0,0,
210445000,780,1,5.93237,4.68104,0,0,1,0,0,0,3757.83,674.596,154.845,185.339,913.691,0,0,0,
219829000,780,1,4.24639,2.52056,0,1,0,0,0,0,3757.83,674.596,154.845,inf,1525.89,1,0,0,
210445000,840,1,5.89747,4.73248,0,0,1,0,0,0,3430.74,616.184,283.864,334.04,900.288,0,0,0,
219829000,840,1,4.24115,2.52056,0,1,0,0,0,0,3430.74,616.184,283.864,inf,1377.9,1,0,0,
210445000,900,0,5.86256,4.78392,0,0,1,0,0,0,3104.97,562.234,408.094,467.426,875.66,0,0,0,
219829000,900,0,4.24988,2.46912,0,1,0,0,0,0,3104.97,562.234,408.094,inf,1244.17,1,0,0,
210445000,960,1,5.82765,4.83536,0,0,1,0,0,0,2777.76,505.656,481.954,539.258,838.657,0,0,0,
219829000,960,1,4.26558,2.46912,0,1,0,0,0,0,2777.76,505.656,481.954,inf,1114.37,1,0,0,
210445000,1020,1,5.79275,4.8868,0,0,1,0,0,0,2455.83,439.787,560.856,624.047,792.708,0,0,0,
219829000,1020,1,4.2394,2.46912,0,1,0,0,0,0,2455.83,439.787,560.856,inf,951.449,1,0,0,
210445000,1080,0,5.7561,4.93824,0,0,1,0,0,0,2138.4,384.721,597.304,647.725,738.375,0,0,0,
219829000,1080,0,4.26733,2.46912,0,1,0,0,0,0,2138.4,384.721,597.304,inf,831.203,1,0,0,
210445000,1140,1,5.70199,4.93824,0,0,1,0,0,0,1852.28,333.181,685.955,726.27,708.591,0,0,0,
219829000,1140,1,4.28827,2.46912,0,1,0,0,0,0,1852.28,333.181,685.955,inf,699.854,1,0,0,
210445000,1200,1,5.6409,4.8868,0,0,1,0,0,0,1597.48,278.069,806.47,837.311,678.255,0,0,0,
219829000,1200,1,4.28304,2.36624,0,1,0,0,0,0,1597.48,278.069,806.47,inf,555.656,1,0,0,
210445000,1260,0,5.57807,4.8868,0,0,1,0,0,0,1357.97,219.481,854.219,875.512,628.838,0,0,0,
219829000,1260,0,4.29002,2.41768,0,1,0,0,0,0,1357.97,219.481,854.219,inf,421.362,1,0,0,
210445000,1320,1,5.51699,4.83536,0,0,1,0,0,0,1140.5,159.594,870.613,884.518,561.474,0,0,0,
219829000,1320,1,4.29526,2.46912,0,1,0,0,0,0,1140.5,159.594,870.613,inf,285.694,1,0,0,
210445000,1380,1,5.51,4.83536,0,0,1,0,0,0,977.456,95.9148,866.918,887.942,488.022,0,0,0,
219829000,1380,1,4.25511,2.52056,0,1,0,0,0,0,977.456,95.9148,866.918,inf,126.651,1,0,0,
210445000,1440,0,5.51524,4.78392,0,0,0.651564,0,0.348436,0,888.824,41.4962,868.135,885.599,420.925,0,0,0,
219829000,1440,0,4.28827,2.52056,0,0.651564,0,0,0,0.348436,888.824,41.4962,868.135,inf,7.67154,1,0,0,
210445000,1500,1,5.49779,4.83536,0,0,0,0,1,0,878.789,-24.6359,871.341,inf,345.091,0,1,0,
219829000,1500,1,4.27257,2.52056,0,0,0,0,0,1,878.789,-24.6359,871.341,inf,139.017,0,1,0,
