mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
219339000,900,0,1.2898,6.6,0,0,0,1,0,0,6400.16,334.809,1496.06,inf,585.919,0,0,0,
220628000,900,0,4.35111,12,0,0,0,1,0,0,6400.16,334.809,1496.06,inf,836.336,0,0,0,
219339000,960,0,1.29154,6.6,0,0,0,1,0,0,5856.84,305.298,1446.63,inf,594.805,0,0,0,
220628000,960,0,4.36332,12,0,0,0,1,0,0,5856.84,305.298,1446.63,inf,793.374,0,0,0,
219339000,1020,0,1.29329,6.6,0,0,0,1,0,0,5292.06,273.526,1468.78,inf,607.58,0,0,0,
220628000,1020,0,4.35809,12,0,0,0,1,0,0,5292.06,273.526,1468.78,inf,803.366,0,0,0,
219339000,1080,0,1.29154,6.6,0,0,0,1,0,0,4748.26,242.51,1494.56,inf,621.858,0,0,0,
220628000,1080,0,4.34762,12,0,0,0,1,0,0,4748.26,242.51,1494.56,inf,815.295,0,0,0,
219339000,1140,1,1.28282,6.5,0,0,0,1,0,0,4208.96,212.281,1521.87,inf,655.495,0,0,0,
220628000,1140,1,4.34238,12,0,0,0,1,0,0,4208.96,212.281,1521.87,inf,817.15,0,0,0,
219339000,1200,1,1.309,6.5,0,0,0,1,0,0,3675.06,181.41,1464.69,inf,623.764,0,0,0,
220628000,1200,1,4.35285,12.1,0,0,0,1,0,0,3675.06,181.41,1464.69,inf,789.451,0,0,0,
219339000,1260,0,1.30725,6.6,0,0,0,1,0,0,3151.52,149.432,1462.45,inf,646.408,0,0,0,
220628000,1260,0,4.35634,12.1,0,0,0,1,0,0,3151.52,149.432,1462.45,inf,776.388,0,0,0,
219339000,1320,0,1.3282,6.5,0,0,0,1,0,0,2659.04,119.366,1469.97,inf,636.738,0,0,0,
220628000,1320,0,4.33714,12.1,0,0,0,1,0,0,2659.04,119.366,1469.97,inf,785.505,0,0,0,
219339000,1380,1,1.31249,6.5,0,0,0,1,0,0,2207.59,88.5379,1472.65,inf,676.65,0,0,0,
220628000,1380,1,4.34587,12.1,0,0,0,1,0,0,2207.59,88.5379,1472.65,inf,766.876,0,0,0,
219339000,1440,1,1.32645,6.6,0,0,0,1,0,0,1813.75,58.5004,1447.81,inf,683.905,0,0,0,
220628000,1440,1,4.35983,12.1,0,0,0,1,0,0,1813.75,58.5004,1447.81,inf,744.225,0,0,0,
219339000,1500,0,1.30551,6.6,0,0,0,1,0,0,1547.22,26.0266,1468.88,inf,715.966,0,0,0,
220628000,1500,0,4.34063,12.1,0,0,0,1,0,0,1547.22,26.0266,1468.88,inf,743.05,0,0,0,
219339000,1560,0,1.30376,6.7,0,0,0,1,0,0,1491.71,-8.3551,1483.39,inf,745.843,0,1,0,
220628000,1560,0,4.27257,12.2,0,0,0,1,0,0,1491.71,-8.3551,1483.39,inf,735.494,0,1,0,
