mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
258096730,180,0,2.06647,6.9,0,0,1,0,0,0,14813.4,2764.93,3245.53,3248.12,5769.79,0,0,0,
710428000,180,0,1.20777,4.3,0,1,0,0,0,0,14813.4,2764.93,3245.53,inf,7285.74,1,0,1,
258096730,240,0,2.13105,7.2,0,0,1,0,0,0,14650.5,2453.73,3052.72,3052.73,5419.03,0,0,0,
710428000,240,0,1.18508,4.2,0,1,0,0,0,0,14650.5,2453.73,3052.72,inf,7167.52,1,0,1,
258096730,300,1,1.94255,7.6,1,0,1,0,0,0,14492.3,2322.75,6315.21,6422.43,6194.79,0,0,0,
710428000,300,1,1.12923,4.2,0,1,0,0,0,0,14492.3,2322.75,6315.21,inf,6987.66,1,0,1,
258096730,360,0,1.95826,7.5,0,0,1,0,0,0,14329,2408.68,5749.28,5836.42,6078.62,0,0,0,
710428000,360,0,1.16064,4.3,0,1,0,0,0,0,14329,2408.68,5749.28,inf,6959.43,1,0,1,
258096730,420,1,2.17119,7.1,1,0,1,0,0,0,14172.8,2272.92,2675.2,2683.29,5100.15,0,0,0,
710428000,420,1,1.13621,4.1,0,1,0,0,0,0,14172.8,2272.92,2675.2,inf,6834.24,1,0,0,
258096730,480,1,2.056,6.9,0,0,1,0,0,0,14021.4,2472.36,4221.83,4228.14,5591.1,0,0,0,
710428000,480,1,1.15715,4,0,1,0,0,0,0,14021.4,2472.36,4221.83,inf,6790.66,1,0,1,
258096730,540,1,2.08741,6.6,0,0,1,0,0,0,13860.8,2503.14,3608.98,3609.03,5409.68,0,0,0,
710428000,540,1,1.14319,3.9,0,1,0,0,0,0,13860.8,2503.14,3608.98,inf,6681.13,1,0,0,
258096730,600,0,1.99666,7.1,0,0,1,0,0,0,13721.8,2322.5,5541.21,5597.91,5738.04,0,0,0,
710428000,600,0,1.14319,3.9,0,1,0,0,0,0,13721.8,2322.5,5541.21,inf,6606.38,1,0,1,
258096730,660,0,2.04902,7,0,0,1,0,0,0,13555.8,2268.47,4458.05,4459.51,5485.99,0,0,0,
710428000,660,0,1.11177,4,0,1,0,0,0,0,13555.8,2268.47,4458.05,inf,6455.7,1,0,1,
258096730,720,1,1.94604,7,0,0,1,0,0,0,13401.5,2379.18,5101.91,5116.49,5811.77,0,0,0,
710428000,720,1,1.11003,4.3,0,1,0,0,0,0,13401.5,2379.18,5101.91,inf,6371,1,0,1,
258096730,780,1,2.02633,6.6,0,0,1,0,0,0,13241.8,2467.53,3711.26,3711.64,5475.55,0,0,0,
710428000,780,1,1.13097,4.2,0,1,0,0,0,0,13241.8,2467.53,3711.26,inf,6328.47,1,0,0,
258096730,840,0,2.00538,6.1,0,0,1,0,0,0,13094.8,2762.45,2829.05,2835.59,5501.58,0,0,0,
710428000,840,0,1.14668,4.3,0,1,0,0,0,0,13094.8,2762.45,2829.05,inf,6282.03,1,0,0,
258096730,900,0,2.00015,5.9,0,0,1,0,0,0,12956.1,2862.65,2772.47,2778.16,5471.05,0,0,0,
710428000,900,0,1.15541,4.2,0,1,0,0,0,0,12956.1,2862.65,2772.47,inf,6226.33,1,0,0,
258096730,960,1,2.06822,5.9,0,0,1,0,0,0,12805.1,2562.77,2079.36,2110.94,5171.22,0,0,0,
710428000,960,1,1.1013,4.2,0,1,0,0,0,0,12805.1,2562.77,2079.36,inf,6043.87,1,0,0,
258096730,1020,1,2.74017,5.6,1,0,1,0,0,0,12627.7,1690.79,4463.07,inf,1658.82,0,0,1,
710428000,1020,1,1.15541,4.1,0,1,0,0,0,0,12627.7,1690.79,4463.07,7605.92,6068.3,1,0,1,
258096730,1080,1,2.28289,4.9,1,0,1,0,0,0,12471.5,2949.39,1638.43,inf,4099.05,0,0,1,
710428000,1080,1,1.30725,3.8,0,1,0,0,0,0,12471.5,2949.39,1638.43,2182.69,6189.32,1,0,1,
258096730,1140,1,2.64417,6.4,1,0,1,0,0,0,12299.1,1789.97,2432.92,inf,2130.75,0,0,1,
710428000,1140,1,1.26013,3.6,0,1,0,0,0,0,12299.1,1789.97,2432.92,4632.34,6063.9,1,0,1,
258096730,1200,1,2.56389,6.6,0,0,1,0,0,0,12103.1,1830.54,1274.37,inf,2535.16,0,0,1,
710428000,1200,1,1.26885,3.5,0,1,0,0,0,0,12103.1,1830.54,1274.37,2488,5977.58,1,0,1,
258096730,1260,0,2.48011,5.6,0,0,1,0,0,0,11915.9,2168.36,1546.98,inf,2928.8,0,0,1,
710428000,1260,0,1.27235,3.5,0,1,0,0,0,0,11915.9,2168.36,1546.98,2576.25,5890.25,1,0,1,
258096730,1320,1,2.52898,5.4,0,0,1,0,0,0,11742.8,2126.4,2062.51,inf,2615.52,0,0,1,
710428000,1320,1,1.26711,3.4,0,1,0,0,0,0,11742.8,2126.4,2062.51,3461.79,5803.01,1,0,1,
258096730,1380,0,2.58658,5.6,0,0,1,0,0,0,11573.3,1957.49,2350.03,inf,2258.45,0,0,1,
710428000,1380,0,1.26536,3.4,0,1,0,0,0,0,11573.3,1957.49,2350.03,4129.31,5720.48,1,0,1,
258096730,1440,1,2.5604,5.5,0,0,1,0,0,0,11396.4,1990.97,2238,inf,2343.82,0,0,1,
710428000,1440,1,1.26885,3.4,0,1,0,0,0,0,11396.4,1990.97,2238,3843.28,5638.68,1,0,1,
258096730,1500,0,2.6337,6,0,0,1,0,0,0,11216.1,1717.32,2278.07,inf,1910.47,0,0,1,
710428000,1500,0,1.22697,3.4,0,1,0,0,0,0,11216.1,1717.32,2278.07,4343.12,5513.82,1,0,1,
258096730,1560,1,2.60752,5.8,0,0,1,0,0,0,11019.5,1733.86,2169.63,inf,1994.72,0,0,1,
710428000,1560,1,1.19904,3.4,0,1,0,0,0,0,11019.5,1733.86,2169.63,4029.18,5390.86,1,0,1,
258096730,1620,0,2.60752,6.2,0,0,1,0,0,0,10818.4,1638.51,1851.98,inf,1944.46,0,0,1,
710428000,1620,0,1.21999,3.4,0,1,0,0,0,0,10818.4,1638.51,1851.98,3603.7,5317.47,1,0,1,
258096730,1680,1,2.5988,7.3,0,0,1,0,0,0,10610,1409.32,942.491,inf,1937.79,0,0,1,
710428000,1680,1,1.20253,3.4,0,1,0,0,0,0,10610,1409.32,942.491,2110.72,5199.88,1,0,1,
258096730,1740,1,2.61101,7.1,0,0,1,0,0,0,10378,1387.6,1301.59,inf,1823.96,0,0,1,
710428000,1740,1,1.19381,3.5,0,1,0,0,0,0,10378,1387.6,1301.59,2792.25,5079.72,1,0,1,
258096730,1800,0,2.54644,7.2,0,0,1,0,0,0,10148.7,1379.83,805.11,inf,2073.47,0,0,1,
710428000,1800,0,1.19031,3.6,0,1,0,0,0,0,10148.7,1379.83,805.11,1678.24,4966.8,1,0,1,
258096730,1860,0,2.66163,7.6,0,0,1,0,0,0,9921.48,1200.74,1785.62,inf,1478.02,0,0,1,
710428000,1860,0,1.1973,3.8,0,1,0,0,0,0,9921.48,1200.74,1785.62,3841.04,4865.69,1,0,1,
258096730,1920,1,2.59181,7.3,0,0,1,0,0,0,9674.57,1217.07,1549.95,inf,1744,0,0,1,
710428000,1920,1,1.15366,4,0,1,0,0,0,0,9674.57,1217.07,1549.95,3067.33,4702.98,1,0,1,
258096730,1980,1,2.47139,7.5,0,0,1,0,0,0,9448.86,1252.78,753.36,inf,2211.16,0,0,1,
710428000,1980,1,1.17984,4.2,0,1,0,0,0,0,9448.86,1252.78,753.36,1402.91,4622.79,1,0,1,
258096730,2040,1,2.39983,7.6,0,0,1,0,0,0,9212.84,1244.17,82.203,inf,2438.7,0,0,1,
710428000,2040,1,1.15715,4.2,0,1,0,0,0,0,9212.84,1244.17,82.203,153.089,4485.34,1,0,1,
258096730,2100,1,2.2602,7.8,0,0,1,0,0,0,8974.42,1242.32,1096.8,1108.82,2888.24,0,0,0,
710428000,2100,1,1.11876,4.3,0,1,0,0,0,0,8974.42,1242.32,1096.8,inf,4324.74,1,0,0,
258096730,2160,0,2.28813,7.9,0,0,1,0,0,0,8747.07,1219.01,782.742,789.196,2732.52,0,0,0,
710428000,2160,0,1.17461,4.4,0,1,0,0,0,0,8747.07,1219.01,782.742,inf,4270.42,1,0,0,
258096730,2220,0,2.29511,7.9,0,0,1,0,0,0,8536.32,1154.02,769.559,781.354,2653.51,0,0,0,
710428000,2220,0,1.13097,4.4,0,1,0,0,0,0,8536.32,1154.02,769.559,inf,4120.01,1,0,0,
258096730,2280,1,2.30034,7.9,0,0,1,0,0,0,8325.2,1117.05,634.983,647.451,2582,0,0,0,
710428000,2280,1,1.12574,4.5,0,1,0,0,0,0,8325.2,1117.05,634.983,inf,4008.54,1,0,0,
258096730,2340,1,2.28115,7.7,0,0,1,0,0,0,8113.54,1101.03,577.947,594.612,2584.88,0,0,0,
710428000,2340,1,1.09258,4.6,0,1,0,0,0,0,8113.54,1101.03,577.947,inf,3865.12,1,0,0,
258096730,2400,0,2.26369,7.9,0,0,1,0,0,0,7874.15,1075.18,680.317,692.708,2567.86,0,0,0,
710428000,2400,0,1.12748,4.7,0,1,0,0,0,0,7874.15,1075.18,680.317,inf,3788.14,1,0,0,
258096730,2460,1,2.27765,8.2,0,0,1,0,0,0,7654.53,1065.86,702.465,705.271,2464.1,0,0,0,
710428000,2460,1,1.22522,4.7,0,1,0,0,0,0,7654.53,1065.86,702.465,inf,3764.66,1,0,0,
258096730,2520,0,2.28987,7.7,0,0,1,0,0,0,7433.61,1081.58,424.218,428.55,2365.44,0,0,0,
710428000,2520,0,1.20951,4.6,0,1,0,0,0,0,7433.61,1081.58,424.218,inf,3643.15,1,0,0,
258096730,2580,1,2.3527,8.4,0,0,1,0,0,0,7218.28,934.805,415.271,419.485,2127.82,0,0,0,
710428000,2580,1,1.213,4.6,0,1,0,0,0,0,7218.28,934.805,415.271,inf,3537.61,1,0,0,
258096730,2640,0,2.27416,8,0,0,1,0,0,0,7001.35,1008.42,512.151,515.002,2288.68,0,0,0,
710428000,2640,0,1.23744,4.8,0,1,0,0,0,0,7001.35,1008.42,512.151,inf,3445.05,1,0,0,
258096730,2700,1,2.25147,8.6,0,0,1,0,0,0,6787.48,914.945,903.04,904.513,2284.68,0,0,0,
710428000,2700,1,1.22871,4.9,0,1,0,0,0,0,6787.48,914.945,903.04,inf,3332.34,1,0,0,
258096730,2760,1,2.22529,8.2,0,0,1,0,0,0,6563.44,930.113,746.613,750.268,2275.11,0,0,0,
710428000,2760,1,1.20777,5,0,1,0,0,0,0,6563.44,930.113,746.613,inf,3207.74,1,0,0,
258096730,2820,0,2.1485,8.2,0,0,1,0,0,0,6348.17,965.882,1203.87,1203.93,2377.32,0,0,0,
710428000,2820,0,1.24267,5,0,1,0,0,0,0,6348.17,965.882,1203.87,inf,3121.92,1,0,1,
258096730,2880,0,2.13105,7.8,0,0,1,0,0,0,6153.32,963.47,982.297,985.184,2352.47,0,0,0,
710428000,2880,0,1.19381,5.1,0,1,0,0,0,0,6153.32,963.47,982.297,inf,2990.73,1,0,0,
258096730,2940,1,2.08218,8.1,0,0,1,0,0,0,5952.79,941.674,1436.45,1437.16,2375.92,0,0,0,
710428000,2940,1,1.22348,5.1,0,1,0,0,0,0,5952.79,941.674,1436.45,inf,2909.57,1,0,1,
258096730,3000,1,2.17468,8.3,0,0,1,0,0,0,5758.56,827.269,940.48,943.093,2141.9,0,0,0,
710428000,3000,1,1.20428,5.2,0,1,0,0,0,0,5758.56,827.269,940.48,inf,2797.78,1,0,0,
258096730,3060,0,2.22355,8.3,0,0,1,0,0,0,5560.78,781.944,685.441,689.503,1986.6,0,0,0,
710428000,3060,0,1.21649,5.2,0,1,0,0,0,0,5560.78,781.944,685.441,inf,2705.79,1,0,0,
258096730,3120,0,2.16595,8.2,0,0,1,0,0,0,5358.16,775.596,1020.28,1022.71,2031.95,0,0,0,
710428000,3120,0,1.19555,5.1,0,1,0,0,0,0,5358.16,775.596,1020.28,inf,2588.67,1,0,0,
258096730,3180,1,2.19911,7.9,0,0,1,0,0,0,5172.96,783.851,626.211,630.085,1916.39,0,0,0,
710428000,3180,1,1.23046,5.2,0,1,0,0,0,0,5172.96,783.851,626.211,inf,2517,1,0,0,
258096730,3240,1,2.03331,7.5,0,0,1,0,0,0,4967.19,861.847,1009.97,1013.06,2097.09,0,0,0,
710428000,3240,1,1.18508,5.4,0,1,0,0,0,0,4967.19,861.847,1009.97,inf,2384.92,1,0,0,
258096730,3300,1,2.11883,7.9,0,0,1,0,0,0,4773.3,734.815,709.667,716.929,1908.87,0,0,0,
710428000,3300,1,1.18333,5.6,0,1,0,0,0,0,4773.3,734.815,709.667,inf,2285.84,1,0,0,
258096730,3360,0,2.08392,7.8,0,0,1,0,0,0,4572.01,740.456,790.467,795.31,1883.57,0,0,0,
710428000,3360,0,1.1973,5.6,0,1,0,0,0,0,4572.01,740.456,790.467,inf,2194.31,1,0,0,
258096730,3420,1,2.23926,8.2,0,0,1,0,0,0,4360.83,605.956,361.017,367.984,1589.86,0,0,0,
710428000,3420,1,1.20777,5.6,0,1,0,0,0,0,4360.83,605.956,361.017,inf,2096.83,1,0,0,
258096730,3480,0,2.13977,8.6,0,0,1,0,0,0,4164.87,586.416,911.339,913.575,1666.35,0,0,0,
710428000,3480,0,1.20602,5.6,0,1,0,0,0,0,4164.87,586.416,911.339,inf,1995.14,1,0,0,
258096730,3540,1,2.06647,8.1,0,0,1,0,0,0,3959.07,604.334,941.345,946.242,1682.15,0,0,0,
710428000,3540,1,1.16937,5.7,0,1,0,0,0,0,3959.07,604.334,941.345,inf,1864.99,1,0,0,
258096730,3600,1,2.0752,9,0,0,1,0,0,0,3757.98,499.04,1232.66,1233.08,1600.88,0,0,0,
710428000,3600,1,1.16413,5.7,0,1,0,0,0,0,3757.98,499.04,1232.66,inf,1758.51,1,0,0,
258096730,3660,0,2.15897,8.3,0,0,1,0,0,0,3553.48,505.195,669.394,677.65,1446.66,0,0,0,
710428000,3660,0,1.19381,5.8,0,1,0,0,0,0,3553.48,505.195,669.394,inf,1671.59,1,0,0,
258096730,3720,1,2.17643,8,0,0,1,0,0,0,3345.54,485.985,541.1,552.301,1362.96,0,0,0,
710428000,3720,1,1.19381,5.8,0,1,0,0,0,0,3345.54,485.985,541.1,inf,1563.06,1,0,0,
258096730,3780,0,2.15723,8.7,0,0,1,0,0,0,3139.99,419.755,832.675,838.655,1314.07,0,0,0,
710428000,3780,0,1.19031,5.8,0,1,0,0,0,0,3139.99,419.755,832.675,inf,1453.37,1,0,0,
258096730,3840,1,2.06822,8,0,0,1,0,0,0,2933.84,457.792,907.727,910.721,1310.17,0,0,0,
710428000,3840,1,1.20602,5.7,0,1,0,0,0,0,2933.84,457.792,907.727,inf,1353.58,1,0,0,
258096730,3900,1,2.15199,9.1,0,0,1,0,0,0,2738.31,337.295,1021.61,1023.62,1183.3,0,0,0,
710428000,3900,1,1.17984,5.6,0,1,0,0,0,0,2738.31,337.295,1021.61,inf,1235.8,1,0,0,
258096730,3960,1,2.19213,8.1,0,0,1,0,0,0,2535.88,344.898,719.834,734.03,1088.85,0,0,0,
710428000,3960,1,1.16937,5.6,0,1,0,0,0,0,2535.88,344.898,719.834,inf,1121.83,1,0,0,
258096730,4020,0,2.15897,8.3,0,0,1,0,0,0,2341.55,324.047,864.989,868.305,1043.06,0,0,0,
710428000,4020,0,1.22173,5.5,0,1,0,0,0,0,2341.55,324.047,864.989,inf,1046.05,1,0,0,
258096730,4080,0,2.17293,7.8,0,0,1,0,0,0,2141.67,299.404,735.483,751.934,968.062,0,0,0,
710428000,4080,0,1.17112,5.6,0,1,0,0,0,0,2141.67,299.404,735.483,inf,907.207,1,0,0,
258096730,4140,1,2.09265,8.5,0,0,1,0,0,0,1969.05,261.608,1056.51,1057.36,935.558,0,0,0,
710428000,4140,1,1.24966,5.4,0,1,0,0,0,0,1969.05,261.608,1056.51,inf,851.302,1,0,1,
258096730,4200,1,2.10836,8.1,0,0,1,0,0,0,1786.05,232.59,983.79,985.14,859.383,0,0,0,
710428000,4200,1,1.1973,5.3,0,1,0,0,0,0,1786.05,232.59,983.79,inf,718.571,1,0,0,
258096730,4260,0,2.06472,8,0,0,1,0,0,0,1614.77,198.224,1073.81,1073.94,798.058,0,0,0,
710428000,4260,0,1.20079,5.1,0,1,0,0,0,0,1614.77,198.224,1073.81,inf,611.359,1,0,1,
258096730,4320,0,2.09963,8.9,0,0,1,0,0,0,1470.86,134.592,1125.85,1127.39,732.465,0,0,0,
710428000,4320,0,1.19031,5.1,0,1,0,0,0,0,1470.86,134.592,1125.85,inf,501.999,1,0,1,
258096730,4380,1,2.13628,8.8,0,0,1,0,0,0,1341.31,108.933,1098.91,1099.65,670.641,0,0,0,
710428000,4380,1,1.20602,5,0,1,0,0,0,0,1341.31,108.933,1098.91,inf,404.457,1,0,1,
258096730,4440,1,2.02633,8.7,0,0,0.703985,0,0.296015,0,1213.45,67.1788,1129.94,1134.97,587.864,0,0,0,
710428000,4440,1,1.17286,5.1,0,0.703985,0,0,0,0.296015,1213.45,67.1788,1129.94,inf,273.333,1,0,1,
258096730,4500,1,2.1101,7.8,0,0,0.581466,0,0.418534,0,1134.01,64.124,1061.57,1062.68,535.375,0,0,0,
710428000,4500,1,1.18857,5,0,0.581466,0,0,0,0.418534,1134.01,64.124,1061.57,inf,174.951,1,0,0,
258096730,4560,0,2.0944,8.1,0,0,0.291079,0,0.708921,0,1080.51,21.471,1071.83,1071.83,463.809,0,0,0,
710428000,4560,0,1.19031,5,0,0.291079,0,0,0,0.708921,1080.51,21.471,1071.83,inf,69.1031,1,0,1,
258096730,4620,0,2.13803,8.3,0,0,0.0625151,0,0.937485,0,1082.2,-10.6189,1079.78,inf,414.506,0,1,0,
710428000,4620,0,1.1781,4.9,0,0,0.0625151,0,0,0.937485,1082.2,-10.6189,1079.78,inf,47.1592,0,1,0,
