mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
220620000,1380,0,1.58476,5.24688,0,0.719999,0,0.280001,0,0,14402.7,1497.12,411.43,3568.25,904.543,1,0,1,
740339000,1380,0,4.51342,4.42384,0,0,0.719999,0.280001,0,0,14402.7,1497.12,411.43,inf,625.655,0,0,1,
220620000,1440,0,1.5708,5.24688,0,0.629999,0,0.370001,0,0,13834.5,1437.13,307.763,2880.96,776.132,1,0,1,
740339000,1440,0,4.51517,4.42384,0,0,0.629999,0.370001,0,0,13834.5,1437.13,307.763,inf,585.759,0,0,1,
220620000,1500,0,1.58301,5.24688,0,0.699999,0,0.300001,0,0,13262,1378.23,398.975,3517.68,832.4,1,0,1,
740339000,1500,0,4.51517,4.42384,0,0,0.699999,0.300001,0,0,13262,1378.23,398.975,inf,553.548,0,0,1,
220620000,1560,1,1.57952,5.24688,0,0.669999,0,0.330001,0,0,12687.6,1318.21,374.704,3388.08,777.816,1,0,1,
740339000,1560,1,4.51691,4.42384,0,0,0.669999,0.330001,0,0,12687.6,1318.21,374.704,inf,515.083,0,0,1,
220620000,1620,1,1.58825,5.24688,0,0.719999,0,0.280001,0,0,12116.4,1259.21,423.874,3676.17,799.528,1,0,1,
740339000,1620,1,4.51691,4.42384,0,0,0.719999,0.280001,0,0,12116.4,1259.21,423.874,inf,487.578,0,0,1,
220620000,1680,0,1.58825,5.24688,0,0.709999,0,0.290001,0,0,11540.3,1192.81,423.051,3718.9,770.018,1,0,1,
740339000,1680,0,4.51866,4.47528,0,0,0.709999,0.290001,0,0,11540.3,1192.81,423.051,inf,445.801,0,0,1,
220620000,1740,1,1.57254,5.19544,0,0.609999,0,0.390001,0,0,10972.6,1139.44,320.352,3082.86,650.4,1,0,1,
740339000,1740,1,4.5204,4.47528,0,0,0.609999,0.390001,0,0,10972.6,1139.44,320.352,inf,410.548,0,0,1,
220620000,1800,1,1.5708,5.24688,0,0.219999,0,0.780001,0,0,10397.9,1069.6,634.981,9369.23,616.931,1,0,1,
740339000,1800,1,4.58673,4.47528,0,0,0.219999,0.780001,0,0,10397.9,1069.6,634.981,inf,34.9298,0,0,1,
220620000,1860,0,1.58825,5.19544,0,0,0,1,0,0,9821.35,1004.56,1085.37,inf,693.114,1,0,1,
740339000,1860,0,4.66352,4.52672,0,0,0,1,0,0,9821.35,1004.56,1085.37,inf,369.399,1,0,1,
220620000,1920,1,1.60047,5.144,0,0,0,1,0,0,9249.93,945.889,1378.44,inf,745.212,1,0,1,
740339000,1920,1,4.71588,4.52672,0,0,0,1,0,0,9249.93,945.889,1378.44,inf,625.471,1,0,1,
220620000,1980,1,1.6057,5.144,0,0,0,1,0,0,8675.96,886.319,1356.17,inf,765.445,1,0,1,
740339000,1980,1,4.70366,4.52672,0,0,0,1,0,0,8675.96,886.319,1356.17,inf,578.466,1,0,1,
220620000,2040,0,1.6057,5.144,0,0,0,1,0,0,8100.3,829.022,1424.85,inf,757.704,1,0,1,
