mmsi,time,did_save,course,speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,current_distance,time_untill_CPA,distance_cpa,crossing_in_front_distance,distance_to_midpoint,crossing_with_midpoint_on_port_side,hasPassed,crossing_with_other_on_port_side,
248375000,120,0,3.69661,8.6,0,0,1,0,0,0,6675.04,779.142,884.385,inf,3293.06,0,0,1,
257787000,120,0,2.90248,11.9,0,1,0,0,0,0,6675.04,779.142,884.385,884.797,2695.4,1,0,1,
248375000,180,0,3.74373,8.6,0,0,1,0,0,0,6417.53,706.829,841.064,inf,3132.9,0,0,1,
257787000,180,0,2.89027,11.9,0,1,0,0,0,0,6417.53,706.829,841.064,844.217,2582.2,1,0,1,
248375000,240,0,3.7193,8.5,0,0,1,0,0,0,6153.73,713.019,1109.2,inf,3015.54,0,0,1,
257787000,240,0,2.92517,11.9,0,1,0,0,0,0,6153.73,713.019,1109.2,1109.39,2549.6,1,0,1,
248375000,300,0,3.73326,8.6,0,0,1,0,0,0,5904.32,695.666,1121.45,inf,2880.94,0,0,1,
257787000,300,0,2.94961,11.8,0,1,0,0,0,0,5904.32,695.666,1121.45,1121.92,2495.64,1,0,1,
248375000,360,1,3.72802,8.6,0,0,1,0,0,0,5638.05,635.084,1037.25,inf,2747.52,0,0,1,
257787000,360,1,2.9147,12,0,1,0,0,0,0,5638.05,635.084,1037.25,1038.11,2346.19,1,0,1,
248375000,420,1,3.68439,8.7,0,0,1,0,0,0,5389.5,646.65,1068.21,inf,2647.04,0,0,0,
257787000,420,1,2.93564,12,0,1,0,0,0,0,5389.5,646.65,1068.21,1068.27,2282.7,1,0,1,
248375000,480,0,3.73151,8.6,0,0,1,0,0,0,5123.45,560.704,1001.76,inf,2483.5,0,0,1,
257787000,480,0,2.89899,12.1,0,1,0,0,0,0,5123.45,560.704,1001.76,1003.07,2136.08,1,0,1,
248375000,540,0,3.72802,8.7,0,0,1,0,0,0,4867.05,543.969,1163.78,inf,2353.7,0,0,1,
257787000,540,0,2.93564,12.2,0,1,0,0,0,0,4867.05,543.969,1163.78,1163.91,2092.82,1,0,1,
248375000,600,1,3.70708,8.9,0,0,1,0,0,0,4606.07,514.015,1088.81,inf,2233.26,0,0,1,
257787000,600,1,2.92866,12.4,0,1,0,0,0,0,4606.07,514.015,1088.81,1088.85,1985.17,1,0,1,
248375000,660,1,3.72977,8.7,0,0,1,0,0,0,4347.97,480.499,1138.23,inf,2086.04,0,0,1,
257787000,660,1,2.93215,12.2,0,1,0,0,0,0,4347.97,480.499,1138.23,1138.47,1894.98,1,0,1,
248375000,720,0,3.72104,8.7,0,0,1,0,0,0,4089.99,456.396,1071.87,inf,1958.29,0,0,1,
257787000,720,0,2.92517,12.1,0,1,0,0,0,0,4089.99,456.396,1071.87,1072.26,1791.08,1,0,1,
248375000,780,0,3.70882,8.6,0,0,1,0,0,0,3834.64,429.954,1052.66,inf,1830.62,0,0,1,
257787000,780,0,2.91295,12,0,1,0,0,0,0,3834.64,429.954,1052.66,1052.95,1688.1,1,0,1,
248375000,840,1,3.6809,8.5,0,0,1,0,0,0,3578.75,411.733,1047.63,inf,1712.04,0,0,0,
257787000,840,1,2.90772,11.9,0,1,0,0,0,0,3578.75,411.733,1047.63,1047.63,1588.73,1,0,1,
