mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14748.4,83734.9,2400,0.950103,0.98064,0.00463737,0,0,0,0,0,1,0,0,0,0.0504319,0.89947,0.0500985,0.99999,0.99999,0
259490000,14079.6,97229.1,2400,0.94886,0.98006,0.00494,0,0,0,1,0.65826,0,0.34174,0,0,0.05091,0.89954,0.04955,0.99976,0.99976,0
255805883,14960.3,84131.9,2460,0.945924,0.97966,0.00551177,0,0,0,0,0,1,0,0,0,0.0499155,0.896395,0.053689,0.981726,0.981726,0
259490000,14271,96606.4,2460,0.89072,0.97997,0.0106854,0,0,1,1,0.151335,0,0.848665,0,0,0.107775,0.884675,0.00754942,0.962582,0.962582,0
255805883,15156.6,84536.7,2520,0.937356,0.97935,0.00595536,0,0,0,0,0,1,0,0,0,0.0508727,0.884572,0.064555,0.994679,0.994679,0
259490000,14457.5,95946.8,2520,0.948141,0.97936,0.0046847,0,0,0,0,0.468611,0,0.531389,0,0,0.0496797,0.900483,0.0498377,0.995137,0.995137,0
255805883,15374.4,84933.4,2580,0.928037,0.97947,0.00741659,0,0,0,0,0,1,0,0,0,0.0484886,0.87719,0.0743218,0.983095,0.983095,1
259490000,14652.6,95282.1,2580,0.950326,0.97982,0.00494259,0,0,0,0,0.803517,0,0.196483,0,0,0.0484189,0.902384,0.0491971,0.988544,0.988544,0
255805883,15598.2,85339.2,2640,0.92625,0.97942,0.00781658,0,0,0,0,0,1,0,0,0,0.0488237,0.876415,0.0747612,0.985156,0.969441,0
259490000,14847,94616.3,2640,0.950007,0.9802,0.00515407,0,0,0,0,0.980861,0,0.0191393,0,0,0.0484695,0.90232,0.0492101,0.990751,0.975864,0
255805883,15761.2,85745.3,2700,0.927393,0.97993,0.00781788,0,0,0,1,0,1,0,0,0,0.049338,0.875493,0.0751688,0.997813,0.997444,0
259490000,15058.6,93938.2,2700,0.604061,0.97986,0.0494948,0,0,1,0,0.808932,0,0.191068,0,0,0.3977,0.579962,0.0223376,0.987617,0.987446,0
255805883,15838.5,86167.6,2760,0.921126,0.97987,0.0077782,0,1,0,1,0,1,0,0,0,0.0537821,0.941971,0.0042474,0.99817,0.984428,0
