mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257604970,57001.2,-37378.7,9900,0.96773,0.99024,1.33999e-05,1,0,0,0,0,0.0504191,0.897855,0.0517255
257811840,61374.7,-29951.2,9900,0.970033,0.9894,4.15325e-06,0,1,0,0,0,0.0499273,0.899144,0.0509286
257604970,57315.7,-36706.3,9960,0.809832,0.99013,0.000595941,1,0,0,0,0,0.0521995,0.904517,0.0432837
257811840,61242.8,-29891.1,9960,0.821756,0.9898,7.96308e-06,0,1,0,0,0,0.0487932,0.902921,0.0482854
257604970,57627.1,-36049.3,10020,0.38212,0.98983,3.50851e-05,1,0,0,0,0,0.0496152,0.91796,0.0324251
257811840,61061.6,-29777.5,10020,0.414629,0.99003,0.00198344,0,1,0,0,0,0.0305068,0.939387,0.0301058
257604970,57926.2,-35410.7,10080,0.0111,0.98959,0.0111527,1,0,0,0,0,0.049078,0.901321,0.0496007
257811840,60878.8,-29685.3,10080,0,0.98959,5.64985e-05,0,1,0,0,0,0.048594,0.903623,0.0477835
257604970,58369.2,-34798.5,10140,0,0.99014,5.49467e-05,1,0,0,0,0,0.0480371,0.899478,0.0524854
257811840,60737,-29783.5,10140,0,0.0539825,0.00491548,0,1,0,0,0,0.0492457,0.874357,0.0763976
257604970,58848.2,-34260.8,10200,0,0.99022,5.88493e-05,1,0,0,0,0,0.0495214,0.900722,0.0497562
257811840,60581.1,-29940.8,10200,0,0.010526,0.00580949,0,1,0,0,0,0.0264676,0.933735,0.0397971
257604970,59143.8,-33595.2,10260,0,0.9897,8.09749e-05,1,0,0,0,0,0.0523935,0.8982,0.0494069
257811840,60404.1,-30076.9,10260,0.401978,0.408879,0.405817,0,1,0,0,0,0.00707726,0.971916,0.021007
257604970,59244.8,-32868.8,10320,0,0.9893,8.6506e-05,1,0,0,0,0,0.000687075,0.952079,0.0472341
257811840,60213.8,-30212.5,10320,0.265577,0.272181,0.272239,0,1,0,0,0,0.129272,0.763455,0.107273
257604970,59349.6,-32149.8,10380,0,0.986656,8.3556e-05,1,0,0,0,0,0.000788425,0.943857,0.0553546
257811840,60107.6,-30402.3,10380,0.376298,0.371352,0.381201,0,1,0,0,0,0.0456114,0.926457,0.0279314
257604970,59558,-31457.6,10440,0,0.00906459,0.00915441,1,0,0,0,0,0.206564,0.712792,0.0806433
257811840,59995.8,-30607.3,10440,0.315024,0.321724,0.321793,0,1,0,0,0,0.0609338,0.901127,0.0379391
257604970,59814.6,-30782.1,10500,0,0.0143113,0.0144547,1,0,0,0,0,0.000724272,0.722734,0.276541
257811840,59889.6,-30807.6,10500,0.487819,0.496035,0.496118,0,1,0,0,0,0.016928,0.907178,0.0758944
257604970,60218.6,-30170.5,10560,0,0.0164298,0.016603,1,0,0,0,0,0.000835482,0.998311,0.000853774
257811840,59791.9,-31011.6,10560,0.460691,0.469376,0.469467,0,1,0,0,0,0.0489718,0.852283,0.0987451
257604970,60809.1,-29747.3,10620,0,0.0375779,0.0379488,1,0,0,0,0,0.00190602,0.996226,0.0018682
257811840,59702.1,-31209.3,10620,0.23049,0.234153,0.237289,0,1,0,0,0,0.0982578,0.858143,0.043599
257604970,61225.1,-29207.4,10680,0,0.0122141,0.0123406,1,0,0,0,0,0.000612913,0.998769,0.000618191
257811840,59595.5,-31408.3,10680,0.389928,0.391073,0.396786,0,1,0,0,0,0.116918,0.865926,0.0171553
257604970,61313.9,-28519.7,10740,0,0.00620005,0.00626255,1,0,0,0,0,0.000313108,0.999369,0.000317516
257811840,59480.7,-31607.9,10740,0.203849,0.206845,0.209312,0,1,0,0,0,0.0109016,0.977872,0.0112267
257604970,61398.7,-28259.7,10800,0,0.0144556,0.0146019,1,0,0,0,0,0.000715305,0.998563,0.000722063
257811840,59409.1,-31786.7,10800,0.38318,0.387846,0.389298,0,1,0,0,0,0.0660888,0.899045,0.0348658
