mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
219022165,-35550,-11937.9,180,0.971493,0.98983,0.00102111,0,0,0,0,1,0,0,0,0.0466576,0.900551,0.0527918,0.426683,0.426683,0,0
244150372,-35664.5,-4943.49,180,0.970799,0.99005,0.000947834,0,0,0,1,0,0,0,0,0.0498545,0.898793,0.051353,0.435311,0.435311,0,0
219022165,-35607,-11648.5,240,0.970876,0.99047,0.000699832,0,0,0,0,1,0,0,0,0.0520215,0.89722,0.050758,0.478641,0.478641,0,0
244150372,-35571.2,-5106.66,240,0.970135,0.9895,0.000994869,0,0,0,1,0,0,0,0,0.0499792,0.899261,0.0507598,0.477104,0.477104,0,0
219022165,-35652.6,-11360.2,300,0.967962,0.98979,0.00116043,0,0,0,0,1,0,0,0,0.0501547,0.899861,0.0499845,0.571888,0.571888,0,0
244150372,-35474.8,-5270.98,300,0.969784,0.98983,0.000986301,0,0,0,1,0,0,0,0,0.0489244,0.900543,0.0505322,0.572612,0.572612,0,0
219022165,-35708.1,-11077.9,360,0.965465,0.99015,0.000969976,0,0,0,0,0,1,0,0,0.0466308,0.899267,0.0541026,0.990991,0.990991,0,0
244150372,-35442.1,-5456.05,360,0.959645,0.988305,0.113055,1,0,0,0,1,0,0,0,0.0520354,0.900025,0.0479397,0.11216,0.11216,1,0
219022165,-35756.4,-10790.5,420,0.969079,0.99024,0.00145432,0,0,0,1,0,0,0,0,0.0482497,0.901702,0.050048,0.810562,0.810562,0,0
244150372,-35561.6,-5609.04,420,0.905969,0.98977,0.00431103,1,0,0,0,1,0,0,0,0.0521848,0.896201,0.0516141,0.0676391,0.0676391,1,0
219022165,-35833.8,-10507.1,480,0.976955,0.965371,0.377067,0,1,0,1,0,0,0,0,0.0595352,0.923627,0.0168376,0.410276,0.410276,1,0
244150372,-35728.4,-5680.69,480,0.969885,0.99026,0.000894419,0,0,0,0,1,0,0,0,0.0504032,0.896205,0.0533916,0.999957,0.999957,1,0
219022165,-35958.2,-10242.8,540,0.972307,0.98983,0.0010402,0,0,0,1,0,0,0,0,0.0422352,0.907325,0.0504396,0.999977,0.999977,1,1
244150372,-35855.5,-5810.48,540,0.969995,0.9898,0.00114854,0,0,0,0,1,0,0,0,0.0496909,0.8906,0.0597095,0.998721,0.998721,1,0
219022165,-36116,-9994.7,600,0.968119,0.99017,0.000653834,0,0,0,1,0,0,0,0,0.0449517,0.905361,0.0496873,0.999994,0.999891,0,0
244150372,-35990.8,-5941.13,600,0.9704,0.98965,0.00112614,0,0,0,0,1,0,0,0,0.0492928,0.892744,0.0579634,0.999091,0.997343,0,0
219022165,-36269.5,-9754.03,660,0.971375,0.99015,0.000912491,0,0,0,1,0,0,0,0,0.0404814,0.909269,0.0502492,0.999835,0.995427,0,0
244150372,-36100.1,-6083.01,660,0.97062,0.9901,0.213951,0,1,0,0,1,0,0,0,0.0469189,0.932985,0.0200966,0.844494,0.837637,1,0
219022165,-36434.4,-9510.28,720,0.970519,0.99025,0.00114162,0,0,0,1,0,0,0,0,0.0315828,0.915669,0.052748,0.999994,0.996587,0,0
244150372,-36213.6,-6234.63,720,0.961616,0.99026,0.547408,0,1,0,0,1,0,0,0,0.0512265,0.894465,0.0543086,0.547408,0.542029,0,0
219022165,-36602.2,-9265.43,780,0.968379,0.9903,0.000785891,0,0,0,1,0,0,0,0,0.02733,0.917387,0.0552829,0.999983,0.998629,0,0
244150372,-36326.6,-6386.09,780,0.976198,0.9898,0.542828,0,1,0,0,1,0,0,0,0.0348313,0.920742,0.0444268,0.542346,0.541133,0,0
219022165,-36765.7,-9025.02,840,0.970222,0.99001,0.00108168,0,0,0,1,0,0,0,0,0.0243883,0.927434,0.0481778,0.999839,0.995978,0,0
244150372,-36445.8,-6535.2,840,0.949136,0.98993,0.628472,0,1,0,0,1,0,0,0,0.0529794,0.893569,0.053452,0.628384,0.623487,0,0
219022165,-36920,-8789.9,900,0.968886,0.9901,0.000657976,0,0,0,1,0,0,0,0,0.0210024,0.928128,0.0508698,0.999989,0.995853,0,0
244150372,-36557.5,-6680.86,900,0.963374,0.99033,0.54631,0,1,0,0,1,0,0,0,0.0455565,0.892526,0.0619177,0.546004,0.54174,0,0
219022165,-37084.6,-8550.98,960,0.968145,0.98975,0.00118417,0,0,0,1,0,0,0,0,0.0196353,0.929293,0.0510721,0.999974,0.988225,0,0
244150372,-36653.2,-6840.23,960,0.949668,0.98997,0.612731,0,1,0,0,1,0,0,0,0.0538265,0.914881,0.0312928,0.612388,0.605759,1,0
219022165,-37081.8,-8285.14,1020,0.252624,0.98991,0.259213,1,0,0,1,0,0,0,0,0.0394455,0.906672,0.0538824,0.999914,0.999577,1,0
244150372,-36756.9,-6997.21,1020,0.976477,0.992723,0.759488,0,1,0,0,1,0,0,0,0.0779019,0.881772,0.0403259,0.759161,0.759116,0,0
219022165,-36958.3,-8022.75,1080,0.152634,0.9903,
