mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.949834,0.97981,0.0050573,0,0,0,0,0,1,0,0,0,0.0501197,0.90086,0.0490204,0.98868,0.98868,0
259490000,13795.5,97767.6,2340,0.95086,0.97934,0.00496,0,0,0,1,1,0,0,0,0,0.04961,0.9004,0.04999,0.98901,0.98901,0
255805883,14748.4,83734.9,2400,0.950951,0.97935,0.00458521,0,0,0,0,0,1,0,0,0,0.0515999,0.898178,0.0502221,1,1,0
259490000,14079.6,97229.1,2400,0.90956,0.97985,0.0133923,0,0,1,1,0.137738,0,0.862262,0,0,0.129884,0.865655,0.00446114,0.998953,0.998942,0
255805883,14960.3,84131.9,2460,0.945865,0.97934,0.00560147,0,0,0,0,0,1,0,0,0,0.049448,0.897579,0.0529729,1,0.983253,0
259490000,14271,96606.4,2460,0.829459,0.98095,0.024786,1,0,1,1,0.251022,0,0.748978,0,0,0.241506,0.750524,0.00796975,0.998419,0.981561,0
255805883,15156.6,84536.7,2520,0.939517,0.98049,0.00640647,0,0,0,0,0,1,0,0,0,0.0480501,0.886261,0.0656886,1,0.995469,0
259490000,14457.5,95946.8,2520,0.73594,0.97982,0.0397833,1,0,1,0,0.138134,0,0.861866,0,0,0.215168,0.77186,0.0129723,0.998379,0.994191,0
255805883,15374.4,84933.4,2580,0.930541,0.98063,0.00750639,0,0,0,0,0,1,0,0,0,0.0493888,0.878053,0.0725577,1,0.988026,0
259490000,14652.6,95282.1,2580,0.411947,0.98013,0.0908763,1,0,1,0,0.541516,0,0.458484,0,0,0.137837,0.833568,0.0285953,0.994451,0.985617,0
255805883,15598.2,85339.2,2640,0.927681,0.97988,0.00760587,0,0,0,0,0,1,0,0,0,0.0489163,0.875808,0.0752759,1,0.975959,0
259490000,14847,94616.3,2640,0.132758,0.97975,0.13938,1,0,1,0,0.978096,0,0.0219037,0,0,0.0672748,0.882405,0.0503206,0.99967,0.975621,0
255805883,15761.2,85745.3,2700,0.928912,0.97982,0.00736972,0,0,0,1,0,1,0,0,0,0.0495919,0.874903,0.0755047,1,0.998401,0
259490000,15058.6,93938.2,2700,0.22596,0.97986,0.23224,1,0,1,0,0.950908,0,0.0490916,0,0,0.0732571,0.896136,0.0306067,0.999717,0.998262,0
255805883,15838.5,86167.6,2760,0.922626,0.97957,0.00827135,0,1,0,1,0,1,0,0,0,0.0519084,0.943825,0.00426657,1,0.98914,0
259490000,15271,93249.7,2760,0,0.287624,0.282794,1,0,1,0,0.97647,0,0.0235296,0,0,0.0599585,0.900451,0.03959,0.989496,0.975378,0
255805883,15891.9,86580.8,2820,0.923204,0.98022,0.00812905,0,1,0,1,0,1,0,0,0,0.0523815,0.943398,0.00422001,1,0.674432,0
259490000,15553,92588.7,2820,0.831555,0.878518,0.875341,1,0,1,1,0.99479,0,0.00520986,0,0,0.227167,0.766849,0.0059838,0.995945,0.751641,1
255805883,15156.6,84536.7,2520,0.815768,0.376353,0.258022,0,1,0,0,0,1,0,0,0,0.0493359,0.812846,0.137818,0.998803,0.993813,0
259490000,14457.5,95946.8,2520,0.950433,0.98008,0.00537812,0,0,0,0,0.470227,0,0.529773,0,0,0.0501332,0.900765,0.0491018,0.995288,0.995288,0
255805883,15374.4,84933.4,2580,0.818178,0.37428,0.259046,0,1,0,0,0,1,0,0,0,0.0451632,0.818955,0.135881,1,0.989311,0
259490000,14652.6,95282.1,2580,0.949858,0.97991,0.00520195,0,0,0,0,0.800548,0,0.199452,0,0,0.0483219,0.902317,0.049361,0.996475,0.989172,0
255805883,15598.2,85339.2,2640,0.816238,0.376368,0.259501,0,1,0,0,0,1,0,0,0,0.0472619,0.81542,0.137318,1,0.973797,0
259490000,14847,94616.3,2640,0.949849,0.98049,0.00482421,0,0,0,0,0.980133,0,0.0198672,0,0,0.0474197,0.901412,0.0511686,0.996422,0.974632,0
255805883,15761.2,85745.3,2700,0.815742,0.377989,0.259014,0,1,0,1,0,1,0,0,0,0.0429781,0.818044,0.138978,0.999248,0.9978,0
259490000,15058.6,93938.2,2700,0.603997,0.97982,0.0492974,0,0,1,0,0.804942,0,0.195058,0,0,0.391654,0.585788,0.0225574,0.987183,0.98683,0
255805883,15838.5,86167.6,2760,0.814393,0.375776,0.256871,0,1,0,1,0,1,0,0,0,0.0498207,0.810124,0.140055,1,0.988971,0
259490000,15271,93249.7,2760,0.521115,0.97937,0.0619864,0,0,1,0,0.974469,0,0.0255315,0,0,0.466413,0.505247,0.0283391,0.979443,0.967687,0
255805883,15891.9,86580.8,2820,0.815083,0.373227,0.254397,0,1,0,1,0,1,0,0,0,0.046034,0.81495,0.139016,0.999829,0.668724,0
259490000,15553,92588.7,2820,0.541832,0.97995,0.0668026,0,1,1,1,0.981359,0,0.0186408,0,0,0.460978,0.511528,0.0274936,0.956153,0.602277,0
255805883,15912.3,87013.2,2880,0.811108,0.379049,0.254707,0,1,0,0,0,1,0,0,0,0.0434479,0.813353,0.143199,0.998589,0.67979,0
259490000,15931.8,91938,2880,0.676352,0.98053,0.0492459,0,1,1,0,0.990365,0,0.00963463,0,0,0.645374,0.338732,0.0158934,0.999517,0.584836,0
255805883,15942.7,87437.8,2940,0.815953,0.375515,0.256167,0,1,0,0,0,1,0,0,0,0.0435488,0.817145,0.139306,1,0.762579,0
259490000,16292.1,91285.8,2940,0.0978158,0.97893,0.103558,0,1,1,0,0.95205,0,0.0479504,0,0,0.0445178,0.909392,0.0460904,0.998789,0.732598,0
255805883,15983.8,87875,3000,0.804901,0.395603,0.271207,0,1,0,1,0,1,0,0,0,0.0503535,0.802952,0.146695,1,0.813729,0
259490000,16670.6,90610.1,3000,0.293208,0.9798,0.29768,0,1,1,0,0.986331,0,0.013669,0,0,0.035498,0.927529,0.0369727,0.999323,0.864656,0
