mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
255805883,14531.9,83344.7,2340,0.980562,0.99895,0.00107251,0,0,0,0,0,1,0,0,0,0.0491933,0.900012,0.050795,0.988115,0.988115
259490000,13795.5,97767.6,2340,0.97899,0.99893,0.00097,0,0,0,1,1,0,0,0,0,0.05019,0.89981,0.05,0.98876,0.98876
255805883,14748.4,83734.9,2400,0.980155,0.99902,0.00108594,0,0,0,0,0,1,0,0,0,0.049931,0.899307,0.0507624,0.999778,0.999729
259490000,14079.6,97229.1,2400,0.839097,0.99901,0.0173209,0,1,1,1,1,0,0,0,0,0.835221,0.156722,0.00805744,0.995399,0.995399
255805883,14960.3,84131.9,2460,0.978436,0.99908,0.00104423,0,0,0,0,0,1,0,0,0,0.0506286,0.895624,0.0537472,0.999704,0.982899
259490000,14271,96606.4,2460,0.837904,0.99882,0.0166088,0,1,1,1,1,0,0,0,0,0.836379,0.154111,0.00950919,0.996908,0.979131
255805883,15156.6,84536.7,2520,0.975941,0.99887,0.00120134,0,0,0,0,0,1,0,0,0,0.0489227,0.886798,0.0642797,0.999673,0.994792
259490000,14457.5,95946.8,2520,0.11214,0.99903,0.114138,0,1,1,0,1,0,0,0,0,0.0820047,0.875343,0.0426519,0.999718,0.995235
255805883,15374.4,84933.4,2580,0.972222,0.99902,0.00163779,0,0,0,0,0,1,0,0,0,0.0479516,0.87581,0.0762387,0.999723,0.987575
259490000,14652.6,95282.1,2580,0,0.9989,0.00207681,0,1,1,0,1,0,0,0,0,0.0829702,0.868024,0.0490054,0.999631,0.988612
255805883,15598.2,85339.2,2640,0.972069,0.99892,0.00157385,0,0,0,0,0,1,0,0,0,0.0485718,0.872695,0.0787336,0.999785,0.974457
259490000,14847,94616.3,2640,0,0.99883,0.00213794,0,1,1,0,1,0,0,0,0,0.0828297,0.867602,0.0495688,0.999762,0.975209
255805883,15761.2,85745.3,2700,0.971399,0.99901,0.00146986,0,0,0,1,0,1,0,0,0,0.0487929,0.873053,0.0781544,0.9999,0.998187
259490000,15058.6,93938.2,2700,0,0.99895,0.00213267,0,1,1,0,1,0,0,0,0,0.0790727,0.872132,0.0487948,0.99982,0.997983
255805883,15838.5,86167.6,2760,0.969241,0.99899,0.00142969,1,0,0,1,0,1,0,0,0,0.0517947,0.946762,0.00144347,0.999887,0.988898
259490000,15271,93249.7,2760,0,0.744767,0.696077,0,1,1,0,1,0,0,0,0,0.057592,0.851876,0.0905324,0.950615,0.942453
255805883,15891.9,86580.8,2820,0.969452,0.99901,0.00175571,1,0,0,1,0,1,0,0,0,0.0532295,0.945015,0.0017556,0.999926,0.660119
259490000,15553,92588.7,2820,0,0.764857,0.765591,0,1,1,1,1,0,0,0,0,0.0512913,0.91105,0.0376592,0.99996,0.647533
255805883,15912.3,87013.2,2880,0.969503,0.99896,0.00166473,1,0,0,0,0,1,0,0,0,0.0546591,0.943654,0.00168664,0.99989,0.658597
259490000,15931.8,91938,2880,0,0.501123,0.501574,0,1,1,0,1,0,0,0,0,0.0253964,0.949668,0.0249357,0.999981,0.580345
255805883,15942.7,87437.8,2940,0.96956,0.99894,0.00171711,1,0,0,0,0,1,0,0,0,0.0529977,0.945535,0.00146769,0.999925,0.760242
259490000,16292.1,91285.8,2940,0,0.998978,1,0,1,1,0,1,0,0,0,0,0.0498329,0.900567,0.0495997,0.999975,0.758038
255805883,15983.8,87875,3000,0.969345,0.99896,0.0016804,1,0,0,1,0,1,0,0,0,0.0550468,0.94352,0.00143308,0.999979,0.801182
259490000,16670.6,90610.1,3000,0,0.999201,1,0,1,1,0,1,0,0,0,0,0.0494715,0.901902,0.0486265,0.999945,0.801276
255805883,16083.3,88312.6,3060,0.968989,0.99906,0.00168585,1,0,0,1,0,1,0,0,0,0.0526038,0.945531,0.00186555,0.99992,0.874697
259490000,17019.9,89952.4,3060,0,0.99889,1,0,1,1,0,1,0,0,0,0,0.0499011,0.899993,0.0501062,0.999967,0.876125
255805883,16242.8,88733.1,3120,0.969073,0.99888,0.00165793,1,0,0,1,0,1,0,0,0,0.0530162,0.945284,0.0017002,0.999978,0.903683
259490000,17381.8,89278.2,3120,0,0.99895,1,0,1,1,0,1,0,0,0,0,0.0500941,0.899575,0.0503308,0.999967,0.905233
255805883,16471.3,89116.5,3180,0.969015,0.99909,0.00170981,1,0,0,1,0,1,0,0,0,0.0527017,0.945323,0.00197492,0.999947,0.905514
259490000,17750.9,88581.2,3180,0,0.998978,1,0,1,1,0,1,0,0,0,0,0.0501649,0.899859,0.0499763,0.999989,0.903153
255805883,16716.5,89503,3240,0.969055,0.99886,0.00169963,1,0,0,0,0,1,0,0,0,0.0532721,0.945401,0.00132734,0.999986,0.906055
259490000,18122.3,87900.7,3240,0,0.999276,1,0,1,1,0,1,0,0,0,0,0.0504393,0.89883,0.0507308,0.999989,0.905286
255805883,16966.3,89883.7,3300,0.969227,0.99909,0.00164952,1,0,0,0,0,1,0,0,0,0.0529375,0.945427,0.00163508,0.999968,0.904852
259490000,18489.9,87213.9,3300,0,0.99911,1,0,1,1,0,1,0,0,0,0,0.0496204,0.899887,0.0504925,1,0.904181
255805883,17219.8,90260.6,3360,0.969068,0.99889,0.00170049,1,0,0,0,0,1,0,0,0,0.0512741,0.947151,0.00157518,1,0.929403
259490000,18859.3,86518.2,3360,0,0.998937,1,0,1,1,0,1,0,0,0,0,0.0501189,0.900323,0.0495586,0.999956,0.927811
255805883,17471,90636,3420,0.968789,0.99892,0.00171857,1,0,0,0,0,1,0,0,0,0.0530912,0.945164,0.00174443,0.999982,0.928964
259490000,19223.4,85829.3,3420,0,0.999067,1,0,1,1,0,1,0,0,0,0,0.0495054,0.900223,0.0502716,1,0.929318
255805883,17729.1,91019,3480,0.969393,0.99902,0.00170423,1,0,0,0,0,1,0,0,0,0.051509,0.946948,0.001543,1,0.92985
259490000,19598.3,85118.3,3480,0,0.999058,1,0,1,1,0,1,0,0,0,0,0.0500022,0.89968,0.0503178,1,0.929531
255805883,17984.8,91391.9,3540,0.969115,0.999,0.00169847,1,0,0,0,0,1,0,0,0,0.0536066,0.9448,0.00159306,1,0.904873
259490000,19962.6,84431.7,3540,0,0.998952,1,0,1,1,0,1,0,0,0,0,0.0502291,0.901309,0.0484617,1,0.905388
255805883,18247.5,91776.3,3600,0.969809,0.99901,0.00171212,1,0,0,0,0,1,0,0,0,0.0529869,0.945609,0.00140439,0.999975,0.928375
259490000,20343.3,83720.5,3600,0,0.998923,1,0,1,1,0,1,0,0,0,0,0.0500978,0.899574,0.0503279,1,0.928966
