mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision
210445000,10672.8,4060.2,240,0.979942,0.99894,0.000997718,0,0,0,0,0,1,0,0,0,0.0494559,0.900683,0.0498608,0.24272,0.24272
219829000,16449,4941.75,240,0.98049,0.99907,0.000725984,0,0,0,0,1,0,0,0,0,0.0499605,0.90041,0.0496299,0.241407,0.241407
210445000,10720.8,3857.38,300,0.980008,0.99899,0.00117943,0,0,0,0,0,1,0,0,0,0.0505447,0.899804,0.0496513,0.410505,0.242907
219829000,16401.6,4804.11,300,0.980009,0.99905,0.00099697,0,0,0,0,1,0,0,0,0,0.0494121,0.90057,0.050018,0.414262,0.244566
210445000,10769.9,3650.8,360,0.980062,0.99894,0.000992524,0,0,0,0,0,1,0,0,0,0.0494368,0.900818,0.0497455,0.534962,0.243748
219829000,16356.7,4665.92,360,0.980112,0.99891,0.000849865,0,0,0,0,1,0,0,0,0,0.0503698,0.899948,0.049682,0.536063,0.245392
210445000,10863.7,3483.05,420,0.979958,0.92936,0.0642982,1,0,0,1,0,1,0,0,0,0.0509366,0.914582,0.0344819,0.132422,0.131498
219829000,16311.9,4527.74,420,0.980155,0.99893,0.000962491,0,0,0,0,1,0,0,0,0,0.0517856,0.898164,0.0500501,0.986472,0.973441
210445000,11038.2,3477.52,480,0.981059,0.925918,0.0795458,1,1,0,1,0,1,0,0,0,0.0448756,0.897524,0.0576009,0.150904,0.0501948
219829000,16267,4389.61,480,0.979644,0.99906,0.0010519,0,0,0,0,1,0,0,0,0,0.0510399,0.898987,0.0499733,0.989412,0.330896
210445000,11253.1,3497.84,540,0.969212,0.915745,0.0995054,1,1,0,1,0,1,0,0,0,0.0532892,0.904874,0.041837,0.18208,0.130213
219829000,16227.4,4252.36,540,0.980403,0.99912,0.00095404,0,0,0,0,1,0,0,0,0,0.0499294,0.899866,0.0502046,0.991246,0.70882
