mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
210445000,10683.2,10040,240,0.94947,0.97999,0.00472849,0,0,0,0,0,1,0,0,0,0.053736,0.897038,0.0492259,0.278993,0.278993,0
219829000,16460.7,10913,240,0.951,0.98046,0.00501599,0,0,0,0,1,0,0,0,0,0.0494502,0.900067,0.0504823,0.277657,0.277657,0
210445000,10730.9,9837.07,300,0.951217,0.98019,0.00556075,0,0,0,0,0,1,0,0,0,0.0510625,0.897029,0.0519087,0.407173,0.280073,0
219829000,16413.1,10775.4,300,0.948864,0.9798,0.00511016,0,0,0,0,1,0,0,0,0,0.0496025,0.900232,0.0501655,0.405965,0.276853,0
210445000,10779.6,9630.41,360,0.950812,0.98001,0.00486475,0,0,0,0,0,1,0,0,0,0.0488307,0.902365,0.0488039,0.473504,0.278337,1
219829000,16368,10637.3,360,0.950066,0.98011,0.00490012,0,0,0,0,1,0,0,0,0,0.0505908,0.899183,0.0502267,1,0.27886,0
210445000,10873.2,9462.52,420,0.950174,0.492479,0.116618,0,1,0,1,0,1,0,0,0,0.0510855,0.91576,0.033154,0.612571,0.612571,0
219829000,16322.9,10499.2,420,0.949323,0.98014,0.00512582,0,0,0,0,1,0,0,0,0,0.0502245,0.899153,0.0506225,0.99999,0.974838,0
210445000,11047.7,9456.74,480,0.950418,0.50898,0.134384,1,1,0,1,0,1,0,0,0,0.0483999,0.92654,0.0250599,0.609936,0.22737,1
219829000,16277.8,10361.1,480,0.951132,0.97955,0.00510634,0,0,0,0,1,0,0,0,0,0.0502433,0.898407,0.0513494,1,0.361019,0
210445000,11262.6,9476.74,540,0.946859,0.97924,0.00462266,0,0,1,1,0,1,0,0,0,0.0517291,0.930297,0.0179743,0.712209,0.712209,0
219829000,16238,10223.9,540,0.950206,0.97977,0.00504623,0,0,0,0,1,0,0,0,0,0.0503337,0.901342,0.0483242,1,0.722389,0
210445000,11504.3,9421.59,600,0.9461,0.97975,0.00487617,0,1,1,1,0,1,0,0,0,0.0533825,0.943324,0.00329396,0.995645,0.995025,1
