mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219022165,-35550,-11937.9,180,0.950428,0.97953,0.0050628,0,0,0,0,0,1,0,0,0,0.0487097,0.901843,0.0494477,0.432714,0.432714,0
244150372,-35664.5,-4943.49,180,0.949336,0.98031,0.00531626,0,0,0,0,1,0,0,0,0,0.0503539,0.899957,0.0496893,0.436425,0.436425,0
219022165,-35607,-11648.5,240,0.948684,0.97999,0.00514137,0,0,0,0,0,1,0,0,0,0.0487945,0.901933,0.0492723,0.558636,0.476137,0
244150372,-35571.2,-5106.66,240,0.950074,0.98026,0.00475295,0,0,0,0,1,0,0,0,0,0.049157,0.900412,0.0504306,0.559483,0.478928,0
219022165,-35652.6,-11360.2,300,0.950061,0.98008,0.00512244,0,0,0,0,0,1,0,0,0,0.0504919,0.899274,0.0502346,0.670919,0.56972,0
244150372,-35474.8,-5270.98,300,0.94948,0.98012,0.00504011,0,0,0,0,1,0,0,0,0,0.0496627,0.899608,0.0507297,0.673048,0.572759,0
219022165,-35708.1,-11077.9,360,0.950779,0.98027,0.00490644,0,0,0,0,0,0,1,0,0,0.0504974,0.899491,0.0500118,0.994666,0.992846,0
244150372,-35442.1,-5456.05,360,0.94606,0.340152,0.169101,1,0,0,1,0,1,0,0,0,0.0559906,0.924271,0.0197384,0.820327,0.819176,0
219022165,-35756.4,-10790.5,420,0.949657,0.97993,0.00505992,0,0,0,0,1,0,0,0,0,0.050094,0.899724,0.0501815,0.994912,0.811368,0
244150372,-35561.6,-5609.04,420,0.947594,0.340074,0.170195,1,0,0,1,0,1,0,0,0,0.0472535,0.935023,0.0177239,0.825373,0.670795,0
219022165,-35833.8,-10507.1,480,0.869511,0.752315,0.70206,0,1,0,1,1,0,0,0,0,0.192046,0.766217,0.0417367,0.934134,0.933966,1
244150372,-35474.8,-5270.98,300,0.951539,0.339094,0.174831,1,0,0,0,1,0,0,0,0,0.0485072,0.938457,0.0130361,0.838397,0.486923,0
219022165,-35708.1,-11077.9,360,0.950868,0.97983,0.00556697,0,0,0,0,0,0,1,0,0,0.0501219,0.900512,0.0493657,0.992711,0.992711,0
244150372,-35442.1,-5456.05,360,0.949018,0.324569,0.176193,1,0,0,1,0,1,0,0,0,0.0544444,0.929333,0.0162222,0.844288,0.842543,0
219022165,-35756.4,-10790.5,420,0.950663,0.97896,0.00501979,0,0,0,0,1,0,0,0,0,0.048966,0.90213,0.0489038,0.993883,0.811173,0
244150372,-35561.6,-5609.04,420,0.947766,0.32587,0.177221,1,0,0,1,0,1,0,0,0,0.0436214,0.939406,0.0169722,0.844172,0.685258,0
219022165,-35833.8,-10507.1,480,0.868913,0.773323,0.681328,0,1,0,1,1,0,0,0,0,0.162682,0.792696,0.0446222,0.889914,0.889637,1
244150372,-35561.6,-5609.04,420,0.946261,0.339347,0.179144,1,0,0,1,0,1,0,0,0,0.0552051,0.924273,0.0205222,0.833599,0.677935,0
219022165,-35833.8,-10507.1,480,0.88818,0.802042,0.654873,0,1,0,1,1,0,0,0,0,0.161294,0.799389,0.0393163,0.834374,0.834374,1
244150372,-35728.4,-5680.69,480,0.946013,0.330075,0.176369,1,0,0,1,0,1,0,0,0,0.052177,0.92832,0.0195027,0.997233,0.997233,0
219022165,-35958.2,-10242.8,540,0.584096,0.97955,0.052838,0,1,0,1,1,0,0,0,0,0.565865,0.410538,0.0235973,1,1,0
244150372,-35855.5,-5810.48,540,0.949419,0.210044,0.208028,1,1,0,1,0,1,0,0,0,0.0520473,0.935117,0.0128355,0.99378,0.992995,0
219022165,-36116,-9994.7,600,0.531634,0.97934,0.0629507,0,1,0,0,1,0,0,0,0,0.500385,0.473174,0.026441,0.999954,0.99987,0
244150372,-35990.8,-5941.13,600,0.947167,0.213192,0.21162,1,1,0,0,0,1,0,0,0,0.0473707,0.940862,0.0117674,0.994209,0.991368,0
219022165,-36269.5,-9754.03,660,0.504391,0.97961,0.0619079,0,1,0,0,1,0,0,0,0,0.476671,0.493715,0.0296139,0.999948,0.992285,0
244150372,-36100.1,-6083.01,660,0.946106,0.210242,0.213249,1,1,0,1,0,1,0,0,0,0.054855,0.933873,0.0112721,0.998706,0.991369,0
219022165,-36434.4,-9510.28,720,0.631357,0.98005,0.0646903,0,1,0,0,1,0,0,0,0,0.59159,0.385251,0.0231589,0.999979,0.99868,0
244150372,-36213.6,-6234.63,720,0.947139,0.222145,0.226636,1,1,0,0,0,1,0,0,0,0.0484876,0.938075,0.0134374,0.999996,0.994944,0
219022165,-36602.2,-9265.43,780,0.192359,0.98048,0.197955,0,1,0,0,1,0,0,0,0,0.0432889,0.916,0.0407113,1,0.998331,0
244150372,-36326.6,-6386.09,780,0.950309,0.223298,0.227881,1,1,0,0,0,1,0,0,0,0.0629263,0.924456,0.0126174,1,0.993076,0
219022165,-36765.7,-9025.02,840,0,0.97993,0.00677988,0,1,0,0,1,0,0,0,0,0.0539388,0.893803,0.0522577,1,0.996429,0
244150372,-36445.8,-6535.2,840,0.950286,0.241249,0.246167,1,1,0,0,0,1,0,0,0,0.0635455,0.924173,0.0122816,0.999983,0.988671,0
219022165,-36920,-8789.9,900,0,0.97939,0.00680355,0,1,0,0,1,0,0,0,0,0.0531831,0.89414,0.0526769,1,0.996352,0
244150372,-36557.5,-6680.86,900,0.967647,0.2344,0.239156,1,1,0,0,0,1,0,0,0,0.0381863,0.950428,0.0113856,0.99997,0.998346,0
219022165,-37084.6,-8550.98,960,0,0.97999,0.00639034,0,1,0,0,1,0,0,0,0,0.0469,0.901824,0.0512763,1,0.991965,0
244150372,-36653.2,-6840.23,960,0.945018,0.22801,0.232691,1,1,0,1,0,1,0,0,0,0.0683653,0.919912,0.0117231,0.999969,0.968377,0
219022165,-37081.8,-8285.14,1020,0,0.168101,0.171562,1,1,0,1,1,0,0,0,0,0.0327444,0.55641,0.410845,0.999994,0.9999,0
244150372,-36756.9,-6997.21,1020,0.725525,0.749516,0.764945,1,1,0,0,0,1,0,0,0,0.0369616,0.923272,0.0397663,0.999912,0.999456,1
219022165,-36116,-9994.7,600,0,0.7865,0.802242,1,1,0,0,1,0,0,0,0,0.237758,0.721729,0.0405132,0.999989,0.999822,1
244150372,-35990.8,-5941.13,600,0.950293,0.97969,0.005325,0,0,0,0,0,1,0,0,0,0.0506365,0.898095,0.0512686,0.996904,0.996904,0
219022165,-36269.5,-9754.03,660,0.950297,0.97991,0.00487538,0,0,0,0,1,0,0,0,0,0.0490093,0.899605,0.0513859,0.995202,0.995202,0
244150372,-36100.1,-6083.01,660,0.94805,0.9798,0.00526535,0,1,0,1,0,1,0,0,0,0.0516804,0.945344,0.00297589,0.99743,0.992979,0
219022165,-36434.4,-9510.28,720,0.950074,0.98096,0.00502423,0,0,0,0,1,0,0,0,0,0.0482019,0.901513,0.0502848,0.996506,0.996114,0
244150372,-36213.6,-6234.63,720,0.947231,0.9805,0.00570117,0,1,0,0,0,1,0,0,0,0.0530469,0.94388,0.00307271,0.997496,0.992286,0
219022165,-36602.2,-9265.43,780,0.951503,0.98021,0.00462245,0,0,0,0,1,0,0,0,0,0.0453728,0.904253,0.0503744,0.998023,0.998023,0
244150372,-36326.6,-6386.09,780,0.946976,0.97924,0.00621311,0,1,0,0,0,1,0,0,0,0.0514394,0.945675,0.00288515,0.997118,0.994691,0
219022165,-36765.7,-9025.02,840,0.949791,0.98008,0.00523371,0,0,0,0,1,0,0,0,0,0.045147,0.905277,0.0495764,0.997985,0.995901,0
244150372,-36445.8,-6535.2,840,0.947183,0.98043,0.00617676,0,1,0,0,0,1,0,0,0,0.0528945,0.943908,0.00319712,0.997737,0.992699,0
219022165,-36920,-8789.9,900,0.949602,0.97966,0.00467083,0,0,0,0,1,0,0,0,0,0.0461038,0.904113,0.0497829,0.998239,0.996141,0
244150372,-36557.5,-6680.86,900,0.947808,0.98068,0.00621043,0,1,0,0,0,1,0,0,0,0.0535198,0.943508,0.0029719,0.997703,0.99227,0
219022165,-37084.6,-8550.98,960,0.950531,0.98074,0.00506094,0,0,0,0,1,0,0,0,0,0.0454934,0.904598,0.0499087,0.997892,0.988351,0
244150372,-36653.2,-6840.23,960,0.947565,0.97972,0.00615675,0,1,0,1,0,1,0,0,0,0.0535574,0.94296,0.00348301,0.997846,0.988901,0
219022165,-37081.8,-8285.14,1020,0.584274,0.98046,0.061833,1,0,0,1,1,0,0,0,0,0.553253,0.423067,0.02368,0.996813,0.996434,0
244150372,-36756.9,-6997.21,1020,0.856171,0.882802,0.837879,0,1,0,0,0,1,0,0,0,0.0449572,0.91053,0.0445126,0.937461,0.937263,1
219022165,-36434.4,-9510.28,720,0.152162,0.963071,0.137257,1,0,0,0,1,0,0,0,0,0.021405,0.929568,0.0490275,0.993352,0.989327,0
244150372,-36213.6,-6234.63,720,0.950956,0.98013,0.005147,0,0,0,0,0,1,0,0,0,0.0503397,0.89773,0.0519298,0.992203,0.992203,0
219022165,-36602.2,-9265.43,780,0.154215,0.957436,0.134128,1,0,0,0,1,0,0,0,0,0.0305348,0.917513,0.0519526,0.994869,0.992993,0
244150372,-36326.6,-6386.09,780,0.949865,0.97965,0.00548098,0,0,0,0,0,1,0,0,0,0.0494343,0.895382,0.0551838,0.995737,0.995006,0
219022165,-36765.7,-9025.02,840,0.14538,0.961242,0.128828,1,0,0,0,1,0,0,0,0,0.0241104,0.924141,0.0517488,0.994967,0.990846,0
244150372,-36445.8,-6535.2,840,0.949428,0.9801,0.00488954,0,0,0,0,0,1,0,0,0,0.0485463,0.896146,0.0553075,0.996108,0.991984,0
219022165,-36920,-8789.9,900,0.143905,0.970969,0.138629,1,0,0,0,1,0,0,0,0,0.0152063,0.933869,0.0509251,0.994167,0.989938,0
244150372,-36557.5,-6680.86,900,0.949465,0.9803,0.00576248,0,0,0,0,0,1,0,0,0,0.0505546,0.894717,0.054728,0.996058,0.992301,0
219022165,-37084.6,-8550.98,960,0.186835,0.932945,0.125365,1,0,0,0,1,0,0,0,0,0.066596,0.88025,0.0531536,0.979916,0.969413,0
244150372,-36653.2,-6840.23,960,0.950082,0.98036,0.00563789,0,0,0,1,0,1,0,0,0,0.0482264,0.895974,0.0557994,0.996332,0.988374,0
219022165,-37081.8,-8285.14,1020,0.1421,0.979265,0.148967,1,0,0,1,1,0,0,0,0,0.0171808,0.928597,0.0542223,0.999482,0.999071,0
244150372,-36756.9,-6997.21,1020,0.65262,0.97978,0.0522969,0,0,0,0,0,1,0,0,0,0.0243117,0.455526,0.520163,0.994214,0.993817,0
219022165,-36958.3,-8022.75,1080,0.126076,0.978509,0.133114,1,0,0,1,1,0,0,0,0,0.00203615,0.943158,0.054806,0.999758,0.998632,0
244150372,-36862.8,-7155.04,1080,0.627935,0.97967,0.0620723,0,0,0,0,0,1,0,0,0,0.0219321,0.420077,0.557991,0.997734,0.996968,0
219022165,-36826.7,-7768.89,1140,0.098886,0.971967,0.106091,1,0,0,0,1,0,0,0,0,0.00128537,0.95119,0.0475251,0.999859,0.998557,0
244150372,-36964.5,-7312.63,1140,0.592056,0.9796,0.0561645,0,0,0,0,0,1,0,0,0,0.0206288,0.442254,0.537117,0.96684,0.966349,0
219022165,-36743.7,-7499.54,1200,0.136759,0.9656,0.143564,1,0,0,1,1,0,0,0,0,0.00121854,0.936703,0.0620785,0.999803,0.999059,0
244150372,-37062.5,-7470.77,1200,0.59693,0.98024,0.0921371,0,0,0,0,0,1,0,0,0,0.0196788,0.44003,0.540291,0.999793,0.999571,0
219022165,-36721.9,-7213.36,1260,0.0952779,0.979656,0.102354,1,0,0,1,1,0,0,0,0,0.00119255,0.921071,0.0777366,0.999858,0.998676,0
244150372,-37145.7,-7575.23,1260,0.581063,0.97994,0.0055859,0,0,0,0,0,1,0,0,0,0.0207818,0.367578,0.61164,0.999841,0.999251,0
219022165,-36739.1,-6925.13,1320,0.0553019,0.98019,0.0628875,1,0,0,1,1,0,0,0,0,0.00101768,0.945284,0.0536981,0.999872,0.998849,0
244150372,-37225.5,-7669.94,1320,0.631815,0.98,0.0682691,0,0,0,0,0,1,0,0,0,0.0168503,0.390222,0.592927,0.99979,0.999413,0
219022165,-36778.6,-6638.45,1380,0.210026,0.984125,0.216328,1,0,0,0,1,0,0,0,0,0.000689195,0.957151,0.0421603,0.999582,0.998067,0
244150372,-37305.3,-7764.65,1380,0.607723,0.98051,0.104092,0,0,0,0,0,1,0,0,0,0.0196494,0.445821,0.534529,0.999834,0.999265,0
219022165,-36821.3,-6356.3,1440,0.155802,0.980927,0.162714,1,0,0,0,1,0,0,0,0,0.0013351,0.951488,0.0471773,0.9994,0.998791,0
244150372,-37385.1,-7859.37,1440,0.492298,0.98056,0.199061,0,0,0,0,0,1,0,0,0,0.0249622,0.649525,0.325512,0.999595,0.998958,0
219022165,-36866.5,-6071.68,1500,0.231104,0.982597,0.237238,1,0,0,0,1,0,0,0,0,0.00152592,0.962112,0.0363623,0.999735,0.99805,0
244150372,-37464.9,-7954.09,1500,0.548775,0.98099,0.00336995,0,0,0,0,0,1,0,0,0,0.0230181,0.402873,0.574109,0.999809,0.998777,0
