mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
255805883,14531.9,83344.7,2340,0.948929,0.98058,0.00510221,0,0,0,0,0,1,0,0,0,0.0500962,0.897884,0.0520203,0.989204,0.989204,0
259490000,13795.5,97767.6,2340,0.9496,0.97966,0.00484,0,0,0,1,1,0,0,0,0,0.04882,0.90014,0.05104,0.98858,0.98858,0
255805883,14748.4,83734.9,2400,0.94893,0.98003,0.00518065,0,0,0,0,0,1,0,0,0,0.0498593,0.899597,0.0505439,1,1,0
259490000,14079.6,97229.1,2400,0.907445,0.9795,0.0133421,0,0,1,1,0.138906,0,0.861094,0,0,0.132354,0.863348,0.00429722,0.999249,0.999234,0
255805883,14960.3,84131.9,2460,0.946686,0.98006,0.00595406,0,0,0,0,0,1,0,0,0,0.0507896,0.894188,0.0550228,1,0.98385,0
259490000,14271,96606.4,2460,0.832282,0.97967,0.0235602,1,0,1,1,0.248654,0,0.751346,0,0,0.241676,0.750968,0.0073558,0.998709,0.980984,0
255805883,15156.6,84536.7,2520,0.806692,0.390159,0.263145,0,1,0,0,0,1,0,0,0,0.0560252,0.801811,0.142164,1,0.999247,1
259490000,14457.5,95946.8,2520,0.950125,0.97992,0.00465785,0,0,0,0,0.469914,0,0.530086,0,0,0.0488663,0.902372,0.0487622,0.995289,0.995289,0
255805883,15374.4,84933.4,2580,0.800072,0.372448,0.247707,0,1,0,0,0,1,0,0,0,0.0297738,0.824338,0.145888,1,0.992687,0
259490000,14652.6,95282.1,2580,0.949773,0.97939,0.00520829,0,0,0,0,0.802993,0,0.197007,0,0,0.0488029,0.902361,0.0488363,0.995992,0.988497,0
255805883,15598.2,85339.2,2640,0.794867,0.41796,0.284916,0,1,0,0,0,1,0,0,0,0.017023,0.827593,0.155384,1,0.978725,0
259490000,14847,94616.3,2640,0.951546,0.9794,0.00480005,0,0,0,0,0.980286,0,0.0197137,0,0,0.0480085,0.901618,0.0503738,0.996516,0.97485,0
