mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
219022165,-35550,-11937.9,180,0.979868,0.98934,2.95493e-05,1,0,0,0,0,0.0512764,0.898401,0.0503229
244150372,-35664.5,-4943.49,180,0.979729,0.98948,0,1,0,0,0,0,0.0495277,0.89951,0.0509625
219022165,-35607,-11648.5,240,0.980799,0.98973,0,1,0,0,0,0,0.0499123,0.900945,0.0491427
244150372,-35571.2,-5106.66,240,0.980216,0.98959,0,1,0,0,0,0,0.0499927,0.900733,0.0492748
219022165,-35652.6,-11360.2,300,0.979734,0.98928,1.96437e-05,1,0,0,0,0,0.0501842,0.899388,0.0504282
244150372,-35474.8,-5270.98,300,0.980559,0.98978,9.82165e-06,1,0,0,0,0,0.0504667,0.899294,0.0502389
219022165,-35708.1,-11077.9,360,0.980183,0.99013,9.57388e-06,1,0,0,0,0,0.0479611,0.901598,0.0504407
244150372,-35442.1,-5456.05,360,0.0398049,0.0404327,0.0410568,1,0,0,0,0,0.0510261,0.901518,0.0474561
219022165,-35756.4,-10790.5,420,0.979577,0.98963,1.88623e-05,1,0,0,0,0,0.0487797,0.900196,0.051024
244150372,-35561.6,-5609.04,420,0,0.00121295,0.00122528,1,0,0,0,0,0.0487107,0.900264,0.051025
219022165,-35833.8,-10507.1,480,0.980436,0.98962,0,1,0,0,0,0,0.0471537,0.902811,0.0500351
244150372,-35728.4,-5680.69,480,0,0.00154924,0.00156634,1,0,0,0,0,0.0393913,0.900522,0.0600871
219022165,-35958.2,-10242.8,540,0.714337,0.99006,0.000202746,1,0,0,0,0,0.728626,0.256951,0.0144228
244150372,-35855.5,-5810.48,540,0,0.000535559,0.000547293,1,0,0,0,0,0.000273885,0.999726,5.95439e-07
219022165,-36116,-9994.7,600,0.708582,0.98967,0.000196002,1,0,0,0,0,0.723046,0.262942,0.0140119
244150372,-35990.8,-5941.13,600,0,0.00277157,0.00283043,1,0,0,0,0,2.87438e-06,0.999994,2.90294e-06
219022165,-36269.5,-9754.03,660,0.713106,0.98947,0.000197952,1,0,0,0,0,0.727436,0.258338,0.014226
244150372,-36100.1,-6083.01,660,0,0,1,1,0,0,0,0,0.0472874,0.904593,0.0481201
219022165,-36434.4,-9510.28,720,0.711938,0.98961,0.000194098,1,0,0,0,0,0.72611,0.259746,0.0141444
244150372,-36213.6,-6234.63,720,0,0,1,1,0,0,0,0,0.0500291,0.899916,0.0500545
219022165,-36602.2,-9265.43,780,0.698444,0.98987,0.000869592,1,0,0,0,0,0.711973,0.273388,0.0146384
244150372,-36326.6,-6386.09,780,0,0,1,1,0,0,0,0,0.050457,0.899159,0.0503838
219022165,-36765.7,-9025.02,840,0.705701,0.98988,0.000201568,1,0,0,0,0,0.719826,0.265389,0.0147841
244150372,-36445.8,-6535.2,840,0,0,1,1,0,0,0,0,0.0484371,0.902485,0.0490778
219022165,-36920,-8789.9,900,0.714614,0.99068,0.000562861,1,0,0,0,0,0.728223,0.25936,0.0124164
244150372,-36557.5,-6680.86,900,0,0,1,1,0,0,0,0,0.0501743,0.89933,0.0504956
219022165,-37084.6,-8550.98,960,0.704588,0.99001,0.000204584,1,0,0,0,0,0.718557,0.268654,0.0127891
244150372,-36653.2,-6840.23,960,0,0,1,1,0,0,0,0,0.0509195,0.898457,0.0506239
219022165,-37081.8,-8285.14,1020,0.0040165,0.00490736,0.00531435,1,0,0,0,0,0.0470411,0.95287,8.92646e-05
244150372,-36756.9,-6997.21,1020,0,0,1,1,0,0,0,0,0.0597814,0.890618,0.0496007
219022165,-36958.3,-8022.75,1080,0.233762,0.234358,0.23481,1,0,0,0,0,0.0331917,0.966759,4.92658e-05
244150372,-36862.8,-7155.04,1080,0,0,1,1,0,0,0,0,0.0474279,0.903757,0.0488149
219022165,-36826.7,-7768.89,1140,0.00359182,0.00453061,0.00509234,1,0,0,0,0,0.0520794,0.947856,6.44619e-05
244150372,-36964.5,-7312.63,1140,0,0,1,1,0,0,0,0,0.0499804,0.900705,0.0493144
219022165,-36743.7,-7499.54,1200,0.714185,0.990857,0.000202613,1,0,0,0,0,0.728514,0.254331,0.017155
244150372,-37062.5,-7470.77,1200,0,0,1,1,0,0,0,0,0.0482619,0.90255,0.0491883
219022165,-36721.9,-7213.36,1260,0.704249,0.989391,1.44535e-05,1,0,0,0,0,0.718778,0.266288,0.0149344
244150372,-37145.7,-7575.23,1260,0,0,1,1,0,0,0,0,0.0496685,0.901729,0.0486022
219022165,-36739.1,-6925.13,1320,0.698794,0.99029,0.000175461,1,0,0,0,0,0.713188,0.271903,0.014909
244150372,-37225.5,-7669.94,1320,0.989943,0,1,1,0,0,0,0,0.000488209,0.999023,0.000488705
219022165,-36778.6,-6638.45,1380,0.716023,0.990053,0.000236528,1,0,0,0,0,0.730632,0.256118,0.0132498
244150372,-37305.3,-7764.65,1380,0.97921,0,1,1,0,0,0,0,0.0010452,0.725439,0.273516
219022165,-36821.3,-6356.3,1440,0.701655,0.99081,0.000114568,1,0,0,0,0,0.715814,0.267051,0.0171352
244150372,-37385.1,-7859.37,1440,0.98551,0,1,1,0,0,0,0,0.000716403,0.90542,0.0938638
219022165,-36866.5,-6071.68,1500,0.711309,0.990302,0.000189712,1,0,0,0,0,0.725761,0.260427,0.0138121
244150372,-37464.9,-7954.09,1500,0.976283,0,1,1,0,0,0,0,0.0373788,0.881799,0.0808225
