mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
211127350,6154.34,22571.9,6300,0.98055,0.98999,2.96686e-05,1,0,0,0,0,0.0496445,0.898376,0.0519799
257930150,8037.89,19366.5,6300,0.980072,0.9898,7.4827e-06,0,1,0,0,0,0.0490592,0.901273,0.0496683
211127350,6272.95,22628.6,6360,0.98001,0.99018,9.78149e-06,1,0,0,0,0,0.0489083,0.901612,0.0494796
257930150,8021.1,19578.1,6360,0.979782,0.98997,1.6767e-05,0,1,0,0,0,0.050117,0.899721,0.0501623
211127350,6385.74,22682.1,6420,0.98031,0.9901,0,1,0,0,0,0,0.0511399,0.899531,0.0493289
257930150,8004.32,19789.6,6420,0.979805,0.99016,3.18016e-05,0,1,0,0,0,0.0508367,0.899853,0.04931
211127350,6520.17,22739.9,6480,0.98001,0.98974,1.93103e-05,1,0,0,0,0,0.0495396,0.900541,0.049919
257930150,7987.55,20001.1,6480,0.979244,0.99011,1.58975e-05,0,1,0,0,0,0.0496725,0.899687,0.050641
211127350,6631.84,22792.3,6540,0.980574,0.99005,1.90207e-05,1,0,0,0,0,0.0496842,0.900488,0.0498282
257930150,7970.68,20212.6,6540,0.980156,0.9904,2.70097e-06,0,1,0,0,0,0.0507581,0.898845,0.0503971
211127350,6764.48,22847.9,6600,0.979696,0.99025,9.46068e-06,1,0,0,0,0,0.0490105,0.900782,0.0502079
257930150,7953.94,20424.2,6600,0.980192,0.9901,7.47208e-06,0,1,0,0,0,0.050167,0.898908,0.0509249
211127350,6875.05,22901.4,6660,0.980898,0.99027,0,1,0,0,0,0,0.0499667,0.90019,0.049843
257930150,7937.2,20635.7,6660,0.979503,0.99016,2.48398e-06,0,1,0,0,0,0.0505961,0.898196,0.0512078
211127350,7013.39,22941.7,6720,0.0444552,0.0449912,0.045524,1,0,0,0,0,0.0516252,0.898199,0.0501758
257930150,7920.48,20847.2,6720,0.980135,0.98946,8.33701e-06,0,1,0,0,0,0.0491412,0.898226,0.0526326
211127350,7145,22974,6780,0.0634704,0.0639137,0.0644804,1,0,0,0,0,0.0519881,0.900406,0.0476055
257930150,7903.76,21058.8,6780,0.980474,0.98963,7.62738e-06,0,1,0,0,0,0.0498492,0.896029,0.0541223
211127350,7274.29,23007.9,6840,0.0582966,0.0586855,0.0591796,1,0,0,0,0,0.0496419,0.899135,0.0512228
257930150,7887.06,21270.3,6840,0.980031,0.98997,1.15402e-05,0,1,0,0,0,0.0495888,0.897525,0.0528858
211127350,7401.54,23037.8,6900,0.0535936,0.0540698,0.0546168,1,0,0,0,0,0.0499781,0.898177,0.0518452
257930150,7870.37,21481.8,6900,0.979354,0.98968,8.42135e-06,0,1,0,0,0,0.0487239,0.896808,0.0544681
211127350,7533.13,23066.8,6960,0.0485667,0.0489454,0.0494777,1,0,0,0,0,0.0501609,0.899895,0.0499441
257930150,7853.58,21693.4,6960,0.979171,0.98998,6.98476e-06,0,1,0,0,0,0.0508331,0.895097,0.0540695
211127350,7668.54,23100.2,7020,0.0472685,0.0478934,0.0484316,1,0,0,0,0,0.0513815,0.899168,0.0494508
257930150,7836.91,21904.9,7020,0.980088,0.98998,1.75576e-05,0,1,0,0,0,0.0494331,0.894676,0.0558908
211127350,7789.67,23129.8,7080,0.22397,0.223963,0.224413,1,0,0,0,0,0.0430431,0.928579,0.0283778
257930150,7820.25,22116.5,7080,0.980169,0.98974,7.1611e-06,0,1,0,0,0,0.0498388,0.892122,0.0580389
211127350,7921.08,23165,7140,0.000460865,0,0.000470321,1,0,0,0,0,2.41314e-05,0.999953,2.28901e-05
257930150,7803.61,22328,7140,0.97983,0.99038,1.02352e-05,0,1,0,0,0,0.0495039,0.892679,0.057817
211127350,8048.33,23213.8,7200,0.000839541,0,0.00085659,1,0,0,0,0,4.41508e-05,0.800084,0.199871
257930150,7786.97,22539.6,7200,0.980421,0.98977,1.43451e-05,0,1,0,0,0,0.0497279,0.891968,0.0583039
211127350,8179.58,23259.8,7260,0.0013893,0,0.00141753,1,0,0,0,0,6.8427e-05,0.999864,6.76254e-05
257930150,7770.35,22751.1,7260,0.980205,0.99035,1.27024e-05,0,1,0,0,0,0.0497977,0.891518,0.0586838
211127350,8305.35,23302.2,7320,0.000573078,0,0.000584805,1,0,0,0,0,0.0454133,0.890544,0.0640428
257930150,7753.62,22962.7,7320,0.97989,0.99008,1.34177e-05,0,1,0,0,0,0.0499393,0.890629,0.0594316
211127350,8442.12,23339.5,7380,0.000592561,0.000726167,0.00133078,1,0,0,0,0,0.0442784,0.923916,0.0318054
257930150,7733.78,23171.8,7380,0.979177,0.98996,1.29112e-05,0,1,0,0,0,0.0496218,0.891175,0.0592033
211127350,8570.32,23377.5,7440,0.100011,0.0994748,0.100022,1,0,0,0,0,0.036308,0.940939,0.0227534
257930150,7703.2,23371.4,7440,0.979839,0.98973,1.43935e-05,0,1,0,0,0,0.0494417,0.889225,0.061333
211127350,8702.41,23415.4,7500,0.000627334,0,0.000640144,1,0,0,0,0,0.0191475,0.91055,0.070302
257930150,7677.39,23567.4,7500,0.979978,0.98957,1.03087e-05,0,1,0,0,0,0.0500014,0.889541,0.0604575
211127350,8823,23466.5,7560,0.122601,0.121913,0.122614,1,0,0,0,0,0.0730039,0.859409,0.0675874
257930150,7651.48,23763.5,7560,0.979187,0.9902,1.04497e-05,0,1,0,0,0,0.0496751,0.888535,0.0617901
211127350,8949.49,23516.6,7620,0.000441718,0,0.000450803,1,0,0,0,0,2.2574e-05,0.999954,2.30105e-05
257930150,7625.59,23959.6,7620,0.98001,0.98998,1.17884e-05,0,1,0,0,0,0.0495348,0.889107,0.0613581
211127350,9070.73,23565.8,7680,0.000543043,0,0.000554226,1,0,0,0,0,2.81953e-05,0.999945,2.70559e-05
257930150,7599.7,24155.6,7680,0.980681,0.98996,1.46158e-05,0,1,0,0,0,0.0473114,0.890851,0.0618373
211127350,9202.53,23610.4,7740,0.000651841,0,0.00066519,1,0,0,0,0,3.45587e-05,0.800065,0.199901
257930150,7573.82,24351.7,7740,0.979832,0.99004,1.26236e-05,0,1,0,0,0,0.0489067,0.886682,0.0644109
211127350,9327.46,23659.6,7800,0.00162984,0,0.00166277,1,0,0,0,0,8.11225e-05,0.999835,8.36775e-05
257930150,7547.96,24547.8,7800,0.979526,0.99006,1.40851e-05,0,1,0,0,0,0.048791,0.887363,0.0638456
211127350,9452.58,23722.6,7860,0.000416382,0,0.00042476,1,0,0,0,0,2.12632e-05,0.999957,2.15344e-05
257930150,7522.99,24743.3,7860,0.9795,0.98967,1.97283e-05,0,1,0,0,0,0.0485015,0.877311,0.0741872
