mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,is_changing_course,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,start
219012521,16588.7,6614.63,3780,0.99894,0.98994,0.000210026,0,0,0,0,0,0,1,0,0,0.0705202,0.849137,0.0803424,0.999645,0.999645,1
219017895,17156.1,11371.7,3780,0.99894,0.99009,0.000175019,0,0,0,0,0,0,1,0,0,0.06993,0.85125,0.0788197,0.999653,0.999653,0
219012521,16588.8,6706.39,3840,0.99895,0.99022,0.000127087,0,0,0,0,0,0,1,0,0,0.0705002,0.848902,0.0805979,0.99982,0.999739,0
219017895,17144.7,11272.2,3840,0.99904,0.98998,0.000216803,0,0,0,0,0,0,1,0,0,0.0712576,0.848516,0.0802261,0.999741,0.999651,0
219012521,16596.4,6800.16,3900,0.99872,0.98981,0.000164027,0,0,0,0,0,0,1,0,0,0.0703467,0.848984,0.0806697,1,1,0
219017895,17129.4,11166.9,3900,0.99889,0.99021,0.000233432,0,0,0,0,0,0,1,0,0,0.0700307,0.849879,0.0800901,0.99992,0.99991,0
219012521,16600.3,6891.2,3960,0.99899,0.9899,0.00016504,0,0,0,0,0,0,1,0,0,0.0694857,0.849952,0.0805623,0.99999,0.999599,0
219017895,17111.1,11064,3960,0.99906,0.99003,0.00022894,0,0,0,0,0,0,1,0,0,0.0701395,0.848438,0.0814224,0.99994,0.999741,0
219012521,16611.6,6978.77,4020,0.99907,0.9901,0.000152752,0,0,0,0,0,0,1,0,0,0.0699211,0.850702,0.079377,0.99999,0.999247,0
219017895,17088.2,10961.1,4020,0.99905,0.98997,0.000166233,0,0,0,0,0,0,1,0,0,0.0690675,0.850296,0.0806369,0.99992,0.999278,0
219012521,16622.5,7076.71,4080,0.99902,0.99042,0.000219941,0,0,0,0,0,0,1,0,0,0.0684429,0.851849,0.0797082,1,0.999319,0
219017895,17069.5,10859.6,4080,0.99898,0.99023,0.000200982,0,0,0,0,0,0,1,0,0,0.0705931,0.848667,0.0807399,0.99991,0.999428,0
219012521,16631.4,7167.8,4140,0.99888,0.99017,0.000179218,0,0,0,0,0,0,1,0,0,0.0708082,0.850235,0.0789565,1,0.999679,0
219017895,17048.6,10758.8,4140,0.99904,0.98975,0.000198427,0,0,0,0,0,0,1,0,0,0.0687035,0.851714,0.0795825,0.99993,0.999771,0
219012521,16634.3,7261.28,4200,0.99906,0.98976,0.000183655,0,0,0,0,0,0,1,0,0,0.0697157,0.849989,0.0802952,1,0.99986,0
219017895,17031.7,10651.7,4200,0.999149,0.99012,0.000197186,0,0,0,0,0,0,1,0,0,0.0703829,0.850396,0.0792215,1,1,0
219012521,16634.5,7355.78,4260,0.998919,0.98989,0.000232575,0,0,0,0,0,0,1,0,0,0.0718401,0.847983,0.0801769,1,0.99974,0
219017895,17012.8,10549.5,4260,0.999059,0.99004,0.000177853,0,0,0,0,0,0,1,0,0,0.0697076,0.849385,0.0809078,1,0.999619,0
219012521,16645.8,7451.69,4320,0.998969,0.99011,0.000232866,0,0,0,0,0,0,1,0,0,0.0710374,0.849272,0.0796909,1,0.999667,0
219017895,16981.2,10450.2,4320,0.998929,0.99039,0.000192465,0,0,0,0,0,0,1,0,0,0.0685374,0.85033,0.0811325,1,0.999738,0
219012521,16646,7542.02,4380,0.998767,0.99019,0.000188395,0,0,0,0,0,0,1,0,0,0.0700267,0.849044,0.0809297,1,0.99968,0
219017895,16955.8,10347.1,4380,0.998919,0.99002,0.000201431,0,0,0,0,0,0,1,0,0,0.0691535,0.852718,0.0781284,1,0.99993,0
219012521,16654.3,7634.77,4440,0.99908,0.98986,0.000229037,0,0,0,1,0,0,1,0,0,0.0702793,0.847912,0.0818087,0.99999,0.99949,0
219017895,16926.7,10249.7,4440,0.998888,0.98984,0.000221206,0,0,0,0,0,0,1,0,0,0.0716134,0.848332,0.0800545,1,0.99943,0
219012521,16668.6,7725.79,4500,0.999119,0.9902,0.00020303,0,0,0,1,0,0,1,0,0,0.070329,0.848211,0.0814597,1,0.998928,0
219017895,16901.6,10148.3,4500,0.99887,0.99091,0.000197524,0,0,0,0,0,0,1,0,0,0.0687091,0.845525,0.0857662,1,0.998979,0
219012521,16688.1,7819.3,4560,0.222044,0.98975,0.222248,1,0,0,0,0,0,1,0,0,0.0654935,0.849367,0.0851396,1,0.999372,0
219017895,16874.2,10041.2,4560,0.998647,0.99017,0.000239339,0,0,0,0,0,0,1,0,0,0.0693016,0.827555,0.103144,1,0.998861,0
219012521,16702.4,7910.49,4620,0.226332,0.98952,0.203023,1,0,0,0,0,0,1,0,0,0.0687472,0.841384,0.0898686,0.976522,0.97528,0
219017895,16851.6,9939.23,4620,0.998725,0.99043,0.000275379,0,0,0,0,0,0,1,0,0,0.0671735,0.824341,0.108485,1,0.998826,0
219012521,16724.8,7998.75,4680,0.211768,0.99005,0.211988,1,0,0,0,0,0,1,0,0,0.071075,0.831118,0.0978065,1,0.999005,0
219017895,16818.9,9840.05,4680,0.998419,0.99006,0.000286176,0,0,0,0,0,0,1,0,0,0.0670237,0.815752,0.117225,1,0.998838,0
219012521,16747.3,8093.98,4740,0.227626,0.99029,0.227833,1,0,0,0,0,0,1,0,0,0.0691725,0.854361,0.0764667,1,0.995469,0
219017895,16795.5,9736.92,4740,0.998451,0.99052,0.000380995,0,0,0,0,0,0,1,0,0,0.0635985,0.794757,0.141645,1,0.999095,0
219012521,16758.6,8177.32,4800,0.310706,0.99036,0.310906,1,0,0,0,0,0,1,0,0,0.0481353,0.896469,0.055396,1,0.999373,0
219017895,16773,9640.1,4800,0.997923,0.9899,0.000496349,0,0,0,0,0,0,1,0,0,0.0612597,0.744665,0.194075,1,0.999017,0
219012521,16781,8268.19,4860,0,0.98977,0.000288219,1,0,0,0,0,0,1,0,0,0.0699457,0.849037,0.081017,1,0.999238,0
219017895,16743.3,9536.14,4860,0.997538,0.98985,0.000625587,0,0,0,0,0,0,1,0,0,0.0570165,0.681271,0.261712,1,0.998903,0
219012521,16800.7,8356.87,4920,0,0.99008,0.000285829,1,0,0,0,0,0,1,0,0,0.0683529,0.852732,0.0789147,1,0.998876,0
219017895,16722.7,9435.56,4920,0.99646,0.98984,0.000924395,0,0,0,0,0,0,1,0,0,0.046633,0.578669,0.374698,1,0.999086,0
219012521,16814.8,8451.52,4980,0,0.98978,0.000286646,1,0,0,0,0,0,1,0,0,0.0699416,0.850558,0.0795002,1,0.99882,0
219017895,16694.3,9336.61,4980,0.995844,0.98964,0.00110358,0,0,0,0,0,0,1,0,0,0.0404891,0.518705,0.440806,1,0.999132,0
219012521,16837.3,8539.89,5040,0,0.99049,0.000290579,1,0,0,1,0,0,1,0,0,0.0698889,0.850941,0.0791701,0.999984,0.998902,0
219017895,16671.8,9236.5,5040,0.99405,0.9898,0.00131792,0,0,0,0,0,0,1,0,0,0.0264926,0.319396,0.654112,1,0.998674,0
219012521,16848.6,8628.29,5100,0,0.98951,0.000284396,1,0,0,0,0,0,1,0,0,0.0705862,0.849251,0.0801624,1,0.999158,0
219017895,16642,9133.32,5100,0.992374,0.99011,0.00214289,0,0,0,0,0,0,1,0,0,0.0124161,0.128878,0.858706,1,0.999236,0
