mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
211237730,24416.9,-560.67,5460,0.979808,0.984925,2.14109e-05,0,1,0,0,0,0.0496118,0.880999,0.0693889,0.121184
261146000,31764.8,5705.41,5460,0.980165,0.989927,8.80465e-06,1,0,0,0,0,0.033591,0.917385,0.0490243,0.125984
211237730,24570.4,-651.766,5520,0.841288,0.988739,0.000182287,0,1,0,0,0,0.0480443,0.90348,0.0484756,0.0203992
261146000,31633.2,5629.99,5520,0.979516,0.989239,0,1,0,0,0,0,0.0355102,0.9139,0.0505895,0.125916
211237730,24724.3,-763.354,5580,0.838186,0.989581,0.000136162,0,1,0,0,0,0.049497,0.901866,0.0486365,0.0204906
261146000,31490.3,5556.6,5580,0.979648,0.98955,6.45665e-06,1,0,0,0,0,0.0354042,0.914838,0.0497581,0.124222
211237730,24915.7,-843.403,5640,0.841114,0.98959,0.00013837,0,1,0,0,0,0.0483904,0.901358,0.0502517,0.0198373
261146000,31357.5,5465.7,5640,0.98017,0.989823,2.2139e-05,1,0,0,0,0,0.0342537,0.914883,0.0508635,0.123979
211237730,25080.7,-875.902,5700,0.977764,0.987823,0.000114161,0,1,0,0,0,0.0519873,0.895372,0.0526412,0.00036261
261146000,31211.9,5375.29,5700,0.979811,0.990011,1.41892e-05,1,0,0,0,0,0.0370557,0.913297,0.0496471,0.12605
211237730,25228.5,-907.151,5760,0.977974,0.986941,0.000135281,0,1,0,0,0,0.0537699,0.899,0.04723,0.000416965
261146000,31075.2,5275.04,5760,0.980728,0.990074,1.24807e-05,1,0,0,0,0,0.0386729,0.909358,0.0519691,0.126677
211237730,25403.7,-957.457,5820,0.976559,0.987721,0.000136088,0,1,0,0,0,0.051903,0.897106,0.0509911,0.000402149
261146000,30942.1,5181.74,5820,0.980692,0.989621,0,1,0,0,0,0,0.0355702,0.913518,0.0509114,0.125079
211237730,25593.1,-1001.5,5880,0.977847,0.987248,0.000160846,0,1,0,0,0,0.0470259,0.904218,0.0487564,0.000384233
