mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision
219022165,-35833.8,-10507.1,480,0.790677,0.400656,0.0167793,1,0,0,0,0,0.43448,0.56552,0,0.616123
244150372,-35728.4,-5680.69,480,0.284885,0.284885,0.0344356,0,1,0,0,0,0.124999,0.832936,0.0420655,0.74955
219022165,-35958.2,-10242.8,540,0.782086,0.113253,0.0221531,1,0,0,0,0,0.747034,0.221424,0.0315415,0.974789
244150372,-35855.5,-5810.48,540,0.355688,0.35781,0.0804684,0,1,0,0,0,0.0227579,0.949518,0.0277241,0.722658
219022165,-36116,-9994.7,600,0.49442,0.0509312,0.0403717,1,0,0,0,0,0.476587,0.500217,0.023196,0.996017
244150372,-35990.8,-5941.13,600,0.266149,0.295145,0.0296089,0,1,0,0,0,0.0590004,0.904925,0.0360744,0.734464
219022165,-36269.5,-9754.03,660,0.0425053,0.0732614,0.0437384,1,0,0,0,0,0.0587775,0.896975,0.0442471,0.972608
244150372,-36100.1,-6083.01,660,0.300692,0.301157,0.0498568,0,1,0,0,0,0.14337,0.803353,0.0532767,0.748388
219022165,-36434.4,-9510.28,720,0.051731,0.0787694,0.053132,1,0,0,0,0,0.0573408,0.891054,0.0516057,0.974805
244150372,-36213.6,-6234.63,720,0.440984,0.441574,0.0479569,0,1,0,0,0,0.018266,0.962038,0.0196964,0.601171
219022165,-36602.2,-9265.43,780,0,0.0163339,0.00136425,1,0,0,0,0,0.0535181,0.879389,0.0670934,0.992269
244150372,-36326.6,-6386.09,780,0.373015,0.390305,0.0434437,0,1,0,0,0,0.0824208,0.871498,0.0460815,0.646285
219022165,-36765.7,-9025.02,840,0,0.019301,0.00153648,1,0,0,0,0,0.052727,0.89527,0.0520026,0.978966
244150372,-36445.8,-6535.2,840,0.365586,0.368939,0.0461058,0,1,0,0,0,0.0475296,0.929227,0.0232435,0.673655
219022165,-36920,-8789.9,900,0,0.0238703,0.00136119,1,0,0,0,0,0.0491503,0.921507,0.0293427,0.977472
244150372,-36557.5,-6680.86,900,0.174551,0.195933,0.0611558,0,1,0,0,0,0.0388603,0.918921,0.0422188,0.86034
219022165,-37084.6,-8550.98,960,0,0.0522848,0.00125689,1,0,0,0,0,0.0359515,0.963986,6.28623e-05,0.948948
244150372,-36653.2,-6840.23,960,0.34015,0.354462,0.0482236,0,1,0,0,0,0.0357641,0.937339,0.0268968,0.683426
219022165,-37081.8,-8285.14,1020,0,0.00107997,0.00109061,1,0,0,0,0,5.48165e-05,0.99989,5.51141e-05,0.999999
244150372,-36756.9,-6997.21,1020,0.470729,0.471131,0.0390255,0,1,0,0,0,0.031846,0.940376,0.0277784,0.567498
219022165,-36958.3,-8022.75,1080,0,0.990439,1,1,0,0,0,0,0.0494283,0.89961,0.050962,0.998047
244150372,-36862.8,-7155.04,1080,0.0829124,0.106768,0.0845824,0,1,0,0,0,0.0588219,0.936578,0.0046005,0.976765
219022165,-36826.7,-7768.89,1140,0,0.98985,1,1,0,0,0,0,0.0496602,0.901372,0.0489674,0.997949
244150372,-36964.5,-7312.63,1140,0.0777288,0.0784948,0.0792973,0,1,0,0,0,0.100842,0.894756,0.00440165,0.999805
219022165,-36743.7,-7499.54,1200,0,0.990187,1,1,0,0,0,0,0.0494392,0.90034,0.0502207,0.998692
244150372,-37062.5,-7470.77,1200,0.0590482,0.0596426,0.0602584,0,1,0,0,0,0.0288808,0.967793,0.00332584,0.999906
219022165,-36721.9,-7213.36,1260,0,0.990259,1,1,0,0,0,0,0.0498973,0.89984,0.0502628,0.997963
244150372,-37145.7,-7575.23,1260,0.0928776,0.093778,0.0947524,0,1,0,0,0,0.00465089,0.990902,0.00444689,0.999783
219022165,-36739.1,-6925.13,1320,0,0.990107,1,1,0,0,0,0,0.0497325,0.899128,0.0511394,0.998101
244150372,-37225.5,-7669.94,1320,0.0531527,0.0537008,0.0542283,0,1,0,0,0,0.0480473,0.730055,0.221898,0.999889
219022165,-36778.6,-6638.45,1380,0,0.990217,1,1,0,0,0,0,0.049914,0.898998,0.0510877,0.997828
244150372,-37305.3,-7764.65,1380,0.0434485,0.0439644,0.0443433,0,1,0,0,0,0.00226648,0.995747,0.00198609,0.999915
219022165,-36821.3,-6356.3,1440,0,0.990561,1,1,0,0,0,0,0.0487038,0.900249,0.0510475,0.998004
244150372,-37385.1,-7859.37,1440,0.0774794,0.0782826,0.0790591,0,1,0,0,0,0.00400604,0.991553,0.00444067,0.999798
219022165,-36866.5,-6071.68,1500,0,0.989841,1,1,0,0,0,0,0.0499902,0.900418,0.0495921,0.996735
244150372,-37464.9,-7954.09,1500,0.172044,0.173683,0.175573,0,1,0,0,0,0.00906372,0.982428,0.00850862,0.999329
